combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
9077,partial_two_lobe,1.3,14.0,0.4353981633974483,5.8,0.07,0.4,5.86,0.05,31.28593012120719,18.575780513798115,2.102217055050133,1.776943596976995,8.085907738471363,0.0929361604648641,1.0,0.3333333333333333,0.3333333333333333,1.0,18.575780513798115
19317,pointamp_two_lobe,1.3,14.0,0.4353981633974483,5.8,0.07,0.4,5.86,0.05,31.28593012120719,18.575780513798122,2.102217055050133,1.776943596976995,8.085907738471365,0.09293616046486049,1.0,0.3333333333333333,0.3333333333333333,1.0,18.575780513798122
9089,partial_two_lobe,1.3,14.0,0.4353981633974483,5.8,0.07,0.6,5.82,0.05,31.28593012120719,18.80371472453217,2.102217055050133,1.776943596976995,8.74133181435211,0.048295966304036424,1.0,0.3333333333333333,0.3333333333333333,1.0,18.80371472453217
19329,pointamp_two_lobe,1.3,14.0,0.4353981633974483,5.8,0.07,0.6,5.82,0.05,31.28593012120719,18.803714724532192,2.102217055050133,1.776943596976995,8.741331814352113,0.04829596630403457,1.0,0.3333333333333333,0.3333333333333333,1.0,18.803714724532192
6517,partial_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.4,5.86,0.05,31.28593012120719,19.11878431268728,2.102217055050133,1.7195220283803747,7.321424005932105,-0.21045524883886357,1.0,0.3333333333333333,0.0,1.0,19.11878431268728
16757,pointamp_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.4,5.86,0.05,31.28593012120719,19.11878431268728,2.102217055050133,1.7195220283803747,7.321424005932109,-0.2104552488388657,1.0,0.3333333333333333,0.0,1.0,19.11878431268728
6529,partial_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.6,5.82,0.05,31.28593012120719,19.3480286652274,2.102217055050133,1.7195220283803747,8.564690563120598,-0.16453599466951344,1.0,0.3333333333333333,0.0,1.0,19.3480286652274
16769,pointamp_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.6,5.82,0.05,31.28593012120719,19.348028665227414,2.102217055050133,1.7195220283803747,8.564690563120598,-0.16453599466951535,1.0,0.3333333333333333,0.0,1.0,19.348028665227414
6522,partial_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.4,5.9,0.08,31.28593012120719,19.45307029745179,2.102217055050133,1.7195220283803747,5.802780752122666,0.02706922014054864,1.0,0.3333333333333333,0.0,1.0,19.45307029745179
16762,pointamp_two_lobe,1.2,14.0,0.4353981633974483,5.8,0.07,0.4,5.9,0.08,31.28593012120719,19.453070297451827,2.102217055050133,1.7195220283803747,5.8027807521226675,0.027069220140545417,1.0,0.3333333333333333,0.0,1.0,19.453070297451827
9417,partial_two_lobe,1.3,14.0,0.5853981633974483,5.8,0.07,0.6,5.9,0.05,31.28593012120719,19.5949195061011,2.102217055050133,1.778597322823629,4.600559095851125,0.19003604690882475,1.0,0.3333333333333333,0.3333333333333333,1.0,19.5949195061011
19657,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.8,0.07,0.6,5.9,0.05,31.28593012120719,19.594919506101128,2.102217055050133,1.7785973228236291,4.600559095851124,0.190036046908824,1.0,0.3333333333333333,0.3333333333333333,1.0,19.594919506101128
