proxy_label,worst_D_by_quartic_p95,worst_D_quartic_p95,mean_D_quartic_p95
action_abs_offdiag:raw,5.6,0.001589749210574552,0.0007294236821547647
action_abs_offdiag:over_diag,5.6,0.0015595300441174362,0.000672847336333997
action_abs_offdiag:over_sqrt_diag,5.6,0.0015751080123758234,0.0006996660202340735
action_abs_offdiag:over_part,5.6,0.0016012598246914953,0.000731416973446887
action_abs_offdiag:over_tree,5.6,0.0015447437681488123,0.0006807442540372927
action_norm_offdiag:raw,20.0,0.002728128486064573,0.0011016306302150146
action_norm_offdiag:over_diag,20.0,0.0014738484461626093,0.0007093002118788526
action_norm_offdiag:over_sqrt_diag,20.0,0.0020534555583167956,0.0008940761918591345
action_norm_offdiag:over_part,20.0,0.0020874448260728836,0.000946646898755101
action_norm_offdiag:over_tree,20.0,0.00200931101639353,0.0008403117050698332
hk_mass_access_offdiag:raw,4.0,0.004296065363045479,0.0015342549594961608
hk_mass_access_offdiag:over_diag,4.0,0.004316538291217572,0.0015312254582458978
hk_mass_access_offdiag:over_sqrt_diag,4.0,0.004309879672713427,0.0015330880257918855
hk_mass_access_offdiag:over_part,4.0,0.00438016812320078,0.0015356976970512066
hk_mass_access_offdiag:over_tree,4.0,0.004239639500289593,0.0015295966368839419
hk_loop_prefactor_offdiag:raw,4.8,0.002201847205139273,0.0014761398220706015
hk_loop_prefactor_offdiag:over_diag,4.8,0.002152725769664867,0.001469470568385293
hk_loop_prefactor_offdiag:over_sqrt_diag,4.8,0.002177860890759491,0.0014728845376323961
hk_loop_prefactor_offdiag:over_part,4.8,0.002219709831407419,0.0014756124980845001
hk_loop_prefactor_offdiag:over_tree,4.8,0.002136469928116084,0.0014700062813188277
hk_curv_screen_offdiag:raw,18.4,0.0023725540577794984,0.0009502532823159598
hk_curv_screen_offdiag:over_diag,4.0,0.0014667639187297737,0.0005706386142308113
hk_curv_screen_offdiag:over_sqrt_diag,18.4,0.0017287904562123325,0.0007381406338969481
hk_curv_screen_offdiag:over_part,18.4,0.0017835844102910843,0.0007913536903060307
hk_curv_screen_offdiag:over_tree,18.4,0.0016652383737261163,0.0006955370076720142
hk_abs_offdiag:raw,18.4,0.0026108250749409434,0.0009624816520945197
hk_abs_offdiag:over_diag,18.4,0.0013579293025751846,0.0005404817013240342
hk_abs_offdiag:over_sqrt_diag,18.4,0.00192713547899237,0.0007338590198609676
hk_abs_offdiag:over_part,18.4,0.0019847041363495986,0.0007862745852113212
hk_abs_offdiag:over_tree,18.4,0.0018603847056640585,0.0006814730146461704
hk_abs_offdiag_geom:raw,9.6,0.0020169499275317125,0.0015258241127795744
hk_abs_offdiag_geom:over_diag,9.6,0.0020169359395518,0.0015264315980585677
hk_abs_offdiag_geom:over_sqrt_diag,9.6,0.0020169430353370287,0.0015261310825721284
hk_abs_offdiag_geom:over_part,9.6,0.002016927690775058,0.001525953749218116
hk_abs_offdiag_geom:over_tree,9.6,0.0020169575119436374,0.0015263318517911245
hk_loop_local_prefactor_offdiag:over_diag,9.6,0.002017169757807253,0.0015272180529722144
hk_loop_local_prefactor_offdiag:over_sqrt_diag,9.6,0.0020171731782881153,0.0015280160734454519
hk_loop_local_prefactor_offdiag:over_part,9.6,0.0020171710744125754,0.0015288627896253154
hk_loop_local_prefactor_offdiag:over_tree,9.6,0.002017175213404666,0.001527142878750657
