surface,D,mean_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_risk_score,max_risk_score,n_high_anchor_eta,high_anchor_eta_min,high_anchor_eta_max,mean_boundary_proximity
D21E41,4.0,0.04092633557208999,0.04670751947265961,0.3574517734697343,0.388124029162458,0,,,0.0784195872098495
D21E41,4.8,0.1123802238843321,0.11337115139790477,0.46040845900901545,0.47702468374110857,0,,,5.7543795449755216e-204
D21E41,5.6,0.3637052516139344,0.3638568990433555,0.8848841284665853,0.8888990030637048,41,0.2,4.0,0.0
D21E41,6.4,0.3156097582367502,0.31562951792049887,0.8758563599677391,0.8760661817430667,3,0.2,0.39,0.0
D21E41,7.2,0.26372363087554396,0.263723848729994,0.7414956023585457,0.7415155953122415,0,,,0.00013630121493429255
D21E41,8.0,0.007665271532212536,0.007665272005945134,0.1891210193848898,0.18912195911922058,0,,,0.5111009569392864
D21E41,8.8,0.005254271394298926,0.005254271530139798,0.06912919851716913,0.06912923844465363,0,,,0.1513081050121052
D21E41,9.6,3.7368482292261365e-16,1.1102230246251565e-15,0.07125057685078912,0.07125061821770404,0,,,0.22313016091070745
D21E41,10.4,0.005265120745469261,0.005265120917720301,0.11961832663912488,0.11961845476921443,0,,,0.5716993391461364
D21E41,11.2,0.0015280098023020639,0.001528010171107902,0.053495425473308836,0.0534966192087206,0,,,0.05685343071722888
D21E41,12.0,0.00024875759709945105,0.0002487579402129028,0.025697590721611426,0.025697935654058587,0,,,0.022468439659822117
D21E41,12.8,0.00011004624225718786,0.00011004894058560004,0.009695463983098661,0.009696397608793072,0,,,0.01650066308637379
D21E41,13.6,2.5299620936731718e-06,2.53025675359998e-06,0.0030865946522456627,0.0030876149506607227,0,,,0.016188675401220973
D21E41,14.4,8.213908131651565e-07,8.215388874682904e-07,0.0017071192943365874,0.001707200529252973,0,,,0.016169702196232975
D21E41,15.2,1.439749541635682e-07,1.4408378080518704e-07,0.0016255611618901861,0.0016258636312984666,0,,,0.01616520812701748
D21E41,16.0,1.1227432980219879e-08,1.1301023636970477e-08,0.0016188146197130264,0.0016198271795688994,0,,,0.016163743914680753
D21E41,16.8,5.663741823857574e-09,6.6235841452496e-09,0.0016169583231633138,0.0016178030908363702,0,,,0.016163544317891892
D21E41,17.6,3.2372124874645553e-10,3.2372124874645553e-10,0.0016164342759792483,0.0016164395478376883,0,,,0.016163502496087747
D21E41,18.4,3.2372124874645553e-10,3.2372124874645553e-10,0.0016163607853566574,0.0016163628114096095,0,,,0.016163502496087747
D21E41,19.200000000000003,3.2372124874645553e-10,3.2372124874645553e-10,0.0016163507624303852,0.0016163507624303852,0,,,0.016163502496087747
D21E41,20.0,3.2372124874645553e-10,3.2372124874645553e-10,0.0016163507624303852,0.0016163507624303852,0,,,0.016163502496087747
