case,subset,count_points,reviewer_grid_targets,drift_target_D,drift_grid_D,p95_abs_delta_base,p95_abs_delta_parent,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_parent,max_abs_delta_cf,mean_abs_improvement_vs_parent,median_abs_improvement_vs_parent,acceptance_flip_fraction_vs_base,best_point_D,best_point_eta,best_point_improvement_vs_parent,worst_point_D,worst_point_eta,worst_point_improvement_vs_parent
D60E21_monitor,all_points,1260,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,9.02385403940191,6.278141668421017,6.278141668421017,31.28639526077564,18.59026540670793,18.59026540670797,3.852820076797291e-05,0.0,0.1,7.254237288135593,4.0,0.002311694249028662,6.169491525423728,1.15,-4.263256414560601e-14
D60E21_monitor,reviewer_targets,105,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,31.28593012120719,18.575780513798115,18.575780513798147,31.28639526077564,18.59026540670793,18.59026540670797,-1.048896419455386e-15,0.0,0.0,5.627118644067797,0.5800000000000001,2.842170943040401e-14,6.169491525423728,1.15,-4.263256414560601e-14
D60E21_monitor,nonreviewer_complement,1155,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,2.920957855314017,2.920965152119379,2.920965152119375,6.145360294533631,6.14536029348217,6.14536029348217,4.203076447424762e-05,0.0,0.10909090909090909,7.254237288135593,4.0,0.002311694249028662,5.898305084745763,1.53,-2.842170943040401e-14
D60E21_monitor,drift_strip,21,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200553412129,1.205126924785977,1.202815230757238,1.2942005946140478,1.2051269574997372,1.2028152632507085,0.002311692046087002,0.0023116920460957147,0.0,7.254237288135593,4.0,0.002311694249028662,7.254237288135593,0.2,0.0023116898430739496
D60E21_monitor,drift_band,63,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.2942004668665141,2.765359708253649,2.765359708253649,1.2942005946140478,2.7653608060504506,2.7653608060504506,0.000770564015362334,0.0,0.6666666666666666,7.254237288135593,4.0,0.002311694249028662,6.983050847457627,0.2,0.0
D60E41_monitor,all_points,2460,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,9.023854039401614,6.278141668420413,6.278141668420413,31.28639526077564,18.59026540670793,18.59026540670797,3.852820076798291e-05,0.0,0.1,7.254237288135593,4.0,0.002311694249028662,6.169491525423728,1.15,-4.263256414560601e-14
D60E41_monitor,reviewer_targets,205,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,31.285939065690624,18.576058990804245,18.576058990804285,31.28639526077564,18.59026540670793,18.59026540670797,-7.971942889015758e-16,0.0,0.0,6.169491525423728,1.055,4.263256414560601e-14,6.169491525423728,1.15,-4.263256414560601e-14
D60E41_monitor,nonreviewer_complement,2255,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,2.9245748952293935,2.924582190745037,2.924582190745036,6.145360294533631,6.14536029348217,6.14536029348217,4.203076447423565e-05,0.0,0.10909090909090909,7.254237288135593,4.0,0.002311694249028662,5.898305084745763,0.295,-2.842170943040401e-14
D60E41_monitor,drift_strip,41,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200553412129,1.205126924785977,1.202815230757238,1.2942005946140478,1.2051269574997372,1.2028152632507085,0.00231169204608614,0.0023116920460957147,0.0,7.254237288135593,4.0,0.002311694249028662,7.254237288135593,0.2,0.0023116898430739496
D60E41_monitor,drift_band,123,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200468926678,2.7653597259611273,2.7653597259611273,1.2942005946140478,2.7653608060504506,2.7653608060504506,0.0007705640153620465,0.0,0.6666666666666666,7.254237288135593,4.0,0.002311694249028662,6.983050847457627,0.2,0.0
D80E41_monitor,all_points,3280,4.810127|5.620253|6.227848|6.430380|6.632911,7.254237288135593,7.240506329113924,11.467620494399805,12.336709713049702,12.336709713049704,47.62976871367853,42.79033928317449,42.79033928317453,0.00047362185738685007,0.0,0.1125,7.240506329113924,4.0,0.03788978558784084,6.025316455696203,1.245,-4.263256414560601e-14
D80E41_monitor,reviewer_targets,205,4.810127|5.620253|6.227848|6.430380|6.632911,7.254237288135593,7.240506329113924,47.61485721293723,42.77614030019015,42.77614030019018,47.62976871367853,42.79033928317449,42.79033928317453,3.1194559130931228e-15,0.0,0.0,6.227848101265822,0.865,4.263256414560601e-14,6.227848101265822,0.675,-4.263256414560601e-14
D80E41_monitor,nonreviewer_complement,3075,4.810127|5.620253|6.227848|6.430380|6.632911,7.254237288135593,7.240506329113924,7.654302322803377,7.654302319884286,7.6543023198842866,11.4342793884976,9.760437949328221,9.760437949328235,0.0005051966478790988,0.0,0.12,7.240506329113924,4.0,0.03788978558784084,6.025316455696203,1.245,-4.263256414560601e-14
D80E41_monitor,drift_strip,41,4.810127|5.620253|6.227848|6.430380|6.632911,7.254237288135593,7.240506329113924,1.9719654830207034,1.7152504518731853,1.677360669984994,1.971965537064273,1.7152504808504796,1.6773606952626388,0.03788974859094071,0.03788974859110983,0.0,7.240506329113924,4.0,0.03788978558784084,7.240506329113924,0.2,0.03788971159316823
D80E41_monitor,drift_band,123,4.810127|5.620253|6.227848|6.430380|6.632911,7.254237288135593,7.240506329113924,1.9719653722473303,1.970041417329242,1.970041417329242,1.971965537064273,1.9700428006145037,1.9700428006145037,0.012629916196980236,0.0,0.6666666666666666,7.240506329113924,4.0,0.03788978558784084,7.037974683544304,0.2,0.0
D100E41_monitor,all_points,4100,4.808081|5.616162|6.101010|6.424242|6.747475,7.254237288135593,7.232323232323233,9.458853450056113,6.644232663624733,6.644232663624721,49.39323490951149,34.18742827678271,34.18742827678271,0.0010698582071639816,0.0,0.1,7.232323232323233,4.0,0.10698592238481464,6.101010101010101,1.15,-4.263256414560601e-14
D100E41_monitor,reviewer_targets,205,4.808081|5.616162|6.101010|6.424242|6.747475,7.254237288135593,7.232323232323233,35.955648483926254,19.815121680053295,19.81512168005329,35.95610927178076,19.81536087148241,19.815360871482397,-1.1957914333523638e-15,0.0,0.0,6.101010101010101,0.865,2.842170943040401e-14,6.101010101010101,1.15,-4.263256414560601e-14
D100E41_monitor,nonreviewer_complement,3895,4.808081|5.616162|6.101010|6.424242|6.747475,7.254237288135593,7.232323232323233,5.502490593619517,5.502490593403992,5.502490593403992,49.39323490951149,34.18742827678271,34.18742827678271,0.0011261665338568856,0.0,0.10526315789473684,7.232323232323233,4.0,0.10698592238481464,6.262626262626263,1.055,-4.263256414560601e-14
D100E41_monitor,drift_strip,41,4.808081|5.616162|6.101010|6.424242|6.747475,7.254237288135593,7.232323232323233,1.3298596264490867,1.041924642067773,0.934938912855249,1.3298596348152327,1.0419246610737187,0.934938942024981,0.10698582071639648,0.10698582071689611,0.0,7.232323232323233,4.0,0.10698592238481464,7.232323232323233,0.2,0.10698571904873777
D100E41_monitor,drift_band,123,4.808081|5.616162|6.101010|6.424242|6.747475,7.254237288135593,7.232323232323233,1.3298596093120256,2.0419410654236554,2.0419410654236554,1.3298596348152327,2.0419421483908957,2.0419421483908957,0.035661940238798824,0.0,0.3333333333333333,7.232323232323233,4.0,0.10698592238481464,7.070707070707071,0.2,0.0
