level,uniform_p95_rel_E1_vs_uniform_fine,uniform_p95_rel_E2_vs_uniform_fine,uniform_p95_rel_delta_omega12_vs_uniform_fine,prolate_p95_rel_E1_vs_prolate_fine,prolate_p95_rel_E2_vs_prolate_fine,prolate_p95_rel_delta_omega12_vs_prolate_fine,crossmesh_p95_rel_E1_vs_uniform_fine,crossmesh_p95_rel_E2_vs_uniform_fine,crossmesh_p95_rel_delta_omega12_vs_uniform_fine
coarse,6.092257232929271,6.307498017307155,1.2723882848663255,0.022630921384763632,0.02544595800756042,0.021524580520225482,0.5910125548261961,0.7054452329596319,0.2875546223145323
mid,3.8112371346891556,4.373820484338842,1.2453774914283637,0.003317555473619425,0.003724756440246228,0.0032313149713219264,0.5611933059089204,0.6703326854218395,0.27552293500806685
fine,0.0,0.0,0.0,0.0,0.0,0.0,0.5560739710317809,0.6642993367506247,0.27339838593465327
