beta_peak,center_D,sigma_D,grid,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
0.2,6.35,0.03,D21,5.6,14.0718852915032,14.072583544233808,0.0
0.2,6.35,0.03,D21,6.4,1.5599162486280775,1.5599249528955568,0.0
0.2,6.35,0.03,D21,7.2,0.7570349297825913,0.7570349676045995,0.0
0.2,6.35,0.03,D60,5.898305084745763,41.81649667127765,41.81697740614127,0.0
0.2,6.35,0.03,D60,6.169491525423728,31.555427898717184,31.5565485238036,0.0
0.2,6.35,0.03,D60,6.4406779661016955,21.96385048638632,21.963931379983094,0.0
0.2,6.35,0.05,D21,5.6,14.0718852915032,14.072583544233808,0.0
0.2,6.35,0.05,D21,6.4,4.284825686938362,4.284826402874685,0.0
0.2,6.35,0.05,D21,7.2,0.7570349297825913,0.7570349676045995,0.0
0.2,6.35,0.05,D60,5.898305084745763,41.81649667127765,41.81697740614127,0.0
0.2,6.35,0.05,D60,6.169491525423728,31.559602041099254,31.56072254048547,0.0
0.2,6.35,0.05,D60,6.4406779661016955,19.874443529103473,19.87451879090338,0.0
0.2,6.35,0.08,D21,5.6,14.0718852915032,14.072583544233808,0.0
0.2,6.35,0.08,D21,6.4,5.870929777020528,5.870933689268192,0.0
0.2,6.35,0.08,D21,7.2,0.7570349297825913,0.7570349676045995,0.0
0.2,6.35,0.08,D60,5.898305084745763,41.81649667466902,41.81697740953242,0.0
0.2,6.35,0.08,D60,6.169491525423728,31.7764026826938,31.777516653342147,0.0
0.2,6.35,0.08,D60,6.4406779661016955,16.215849516491602,16.21591491690043,0.0
0.2,6.35,0.1,D21,5.6,14.071885291504437,14.072583544235059,0.0
0.2,6.35,0.1,D21,6.4,6.302758760822904,6.302763934651416,0.0
0.2,6.35,0.1,D21,7.2,0.7570349297825913,0.7570349676045995,0.0
0.2,6.35,0.1,D60,5.898305084745763,41.816497724404115,41.81697845922308,0.0
0.2,6.35,0.1,D60,6.169491525423728,32.106276089254,32.107380126089474,0.0
