beta_peak,center_D,sigma_D,D,eta,ref_D_eff,mu_mumu,target_mu,chi2_mumu,target_chi2,abs_delta_mu,abs_delta_chi2
0.25,5.56,0.03,5.627118644067797,0.2,9.960551777234437,58.47891709201297,44.29403558125418,20362.51735248056,11499.364302786871,14.184881510758792,8863.15304969369
0.25,5.56,0.03,5.627118644067797,0.39,9.960551777234437,58.48192675083317,44.296173235880694,20364.66475992177,11500.510489266797,14.185753514952474,8864.154270654972
0.25,5.56,0.03,5.627118644067797,0.5800000000000001,9.960551777234437,58.48493668181236,44.29831085750326,20366.81247479079,11501.656715168638,14.186625824309097,8865.155759622152
0.25,5.56,0.03,5.627118644067797,0.77,9.960551777234437,58.487946284963144,44.30044844608468,20368.96006896773,11502.802980469807,14.187497838878464,8866.157088497925
0.25,5.56,0.03,5.627118644067797,0.96,9.960551777234437,58.49095608969713,44.30258600165074,20371.107920223283,11503.949285181485,14.18837008804639,8867.158635041798
0.25,5.56,0.03,5.627118644067797,1.15,9.960551777234437,58.49396524006182,44.30472352415427,20373.255417708664,11505.09562927573,14.18924171590755,8868.159788432935
0.25,5.56,0.03,5.627118644067797,1.34,9.960551777234437,58.49697441538148,44.30686101360546,20375.40304619204,11506.242012755354,14.190113401776017,8869.161033436687
0.25,5.56,0.03,5.627118644067797,1.53,9.960551777234437,58.49998386276163,44.30899846998715,20377.550982047742,11507.3884356085,14.19098539277448,8870.162546439242
0.25,5.56,0.03,5.627118644067797,1.72,9.960551777234437,58.50299358226791,44.31113589327407,20379.699225353317,11508.534897818963,14.191857688993842,8871.164327534354
0.25,5.56,0.03,5.627118644067797,1.91,9.960551777234437,58.506003573955105,44.313273283464014,20381.847776178583,11509.681399382916,14.192730290491092,8872.166376795667
0.25,5.56,0.03,5.627118644067797,2.1,9.960551777234437,58.50901251405085,44.31541064053281,20383.995689562602,11510.82794028473,14.193601873518041,8873.167749277873
0.25,5.56,0.03,5.627118644067797,2.29,9.960551777234437,58.51202053457616,44.31754796447279,20386.14305963655,11511.97452051764,14.194472570103372,8874.16853911891
0.25,5.56,0.03,5.627118644067797,2.4800000000000004,9.960551777234437,58.515028826899915,44.319685255267416,20388.29073686005,11513.12114007012,14.195343571632499,8875.16959678993
0.25,5.56,0.03,5.627118644067797,2.6700000000000004,9.960551777234437,58.51803739108968,44.32182251290478,20390.438721311988,11514.267798933124,14.196214878184897,8876.170922378864
0.25,5.56,0.03,5.627118644067797,2.8600000000000003,9.960551777234437,58.52104622719766,44.32395973736624,20392.58701306032,11515.414497093989,14.19708648983142,8877.172515966333
0.25,5.56,0.03,5.627118644067797,3.0500000000000003,9.960551777234437,58.5240553352872,44.32609692864255,20394.73561218096,11516.561234545095,14.197958406644652,8878.174377635865
0.25,5.56,0.03,5.627118644067797,3.24,9.960551777234437,58.52706471540969,44.32823408671694,20396.88451874129,11517.70801127479,14.198830628692754,8879.176507466502
0.25,5.56,0.03,5.627118644067797,3.43,9.960551777234437,58.53007436763045,44.33037121157733,20399.033732818658,11518.854827273924,14.199703156053118,8880.178905544733
0.25,5.56,0.03,5.627118644067797,3.62,9.960551777234437,58.53308429200448,44.33250830320546,20401.183254483058,11520.001682530035,14.200575988799024,8881.181571953022
0.25,5.56,0.03,5.627118644067797,3.81,9.960551777234437,58.536094488589214,44.334645361588194,20403.333083806214,11521.148577033417,14.20144912700102,8882.184506772797
0.25,5.56,0.03,5.627118644067797,4.0,9.960551777234437,58.539104957448444,44.33678238671618,20405.483220864433,11522.29551077638,14.202322570732264,8883.187710088054
0.25,5.56,0.03,5.898305084745763,0.2,9.966101694915254,76.24192697514606,73.28983990446632,35008.212708456835,32300.931759311225,2.952087070679738,2707.28094914561
0.25,5.56,0.03,5.898305084745763,0.39,9.966101694915254,76.24551039944117,73.29120449498502,35011.565168455345,32302.15802337346,2.954305904456149,2709.4071450818847
0.25,5.56,0.03,5.898305084745763,0.5800000000000001,9.966101694915254,76.24909417853935,73.29256906733613,35014.91812092407,32303.384294385596,2.95652511120322,2711.5338265384744
0.25,5.56,0.03,5.898305084745763,0.77,9.966101694915254,76.25267762769651,73.2939336216711,35018.270925224104,32304.610572482805,2.9587440060254124,2713.660352741299
0.25,5.56,0.03,5.898305084745763,0.96,9.966101694915254,76.25626135111477,73.29529815797706,35021.62414666499,32305.83685765261,2.960963193137715,2715.7872890123763
0.25,5.56,0.03,5.898305084745763,1.15,9.966101694915254,76.25984437177493,73.29666267615853,35024.976871039755,32307.063149808284,2.9631816956163988,2717.913721231471
0.25,5.56,0.03,5.898305084745763,1.34,9.966101694915254,76.26342746510474,73.29802717630976,35028.329823893735,32308.289449033593,2.9654002887949815,2720.040374860142
0.25,5.56,0.03,5.898305084745763,1.53,9.966101694915254,76.26701091314902,73.29939165838354,35031.68326918483,32309.5157552852,2.9676192547654807,2722.1675138996325
0.25,5.56,0.03,5.898305084745763,1.72,9.966101694915254,76.27059471597293,73.30075612237763,35035.037207021705,32310.74206856015,2.9698385935952984,2724.2951384615553
0.25,5.56,0.03,5.898305084745763,1.91,9.966101694915254,76.27417887362975,73.30212056828817,35038.39163750189,32311.96838885405,2.9720583053415766,2726.4232486478395
0.25,5.56,0.03,5.898305084745763,2.1,9.966101694915254,76.2777618752119,73.30348499615062,35041.74514650584,32313.19471619785,2.9742768790612786,2728.5504303079906
0.25,5.56,0.03,5.898305084745763,2.29,9.966101694915254,76.28134387142222,73.30484940592164,35045.09787493863,32314.421050551675,2.976494465500579,2730.676824386952
0.25,5.56,0.03,5.898305084745763,2.4800000000000004,9.966101694915254,76.28492622207371,73.30621379761986,35048.45109553388,32315.647391931347,2.978712424453846,2732.8037036025307
0.25,5.56,0.03,5.898305084745763,2.6700000000000004,9.966101694915254,76.28850892721387,73.307578171227,35051.804808383684,32316.8737403195,2.9809307559868756,2734.931068064183
0.25,5.56,0.03,5.898305084745763,2.8600000000000003,9.966101694915254,76.29209198690909,73.30894252676417,35055.15901359782,32318.10009573419,2.983149460144915,2737.058917863629
0.25,5.56,0.03,5.898305084745763,3.0500000000000003,9.966101694915254,76.2956754012072,73.31030686420101,35058.51371126871,32319.326458147218,2.9853685370061953,2739.1872531214904
0.25,5.56,0.03,5.898305084745763,3.24,9.966101694915254,76.29925917017263,73.31167118356616,35061.868901504306,32320.55282758336,2.9875879866064707,2741.316073920945
0.25,5.56,0.03,5.898305084745763,3.43,9.966101694915254,76.30284329384436,73.31303548482741,35065.22458438877,32321.779204012782,2.989807809016952,2743.4453803759898
0.25,5.56,0.03,5.898305084745763,3.62,9.966101694915254,76.30642777229964,73.31439976801113,35068.58076004213,32323.005587458232,2.992028004288514,2745.5751725839
0.25,5.56,0.03,5.898305084745763,3.81,9.966101694915254,76.31001260558652,73.3157640331047,35071.93742855706,32324.23197790746,2.9942485724818226,2747.705450649599
0.25,5.56,0.03,5.898305084745763,4.0,9.966101694915254,76.31359779375681,73.31712828008988,35075.29459002977,32325.458375343136,2.9964695136669377,2749.836214686635
0.25,5.56,0.03,6.169491525423729,0.2,9.966101694915254,101.7163354270087,72.85711943387253,62896.04470940074,31913.24948616701,28.859215993136175,30982.79522323373
0.25,5.56,0.03,6.169491525423729,0.39,9.966101694915254,101.71989748142053,72.8576226618424,62900.51144176703,31913.69897801407,28.862274819578133,30986.812463752958
0.25,5.56,0.03,6.169491525423729,0.5800000000000001,9.966101694915254,101.72345980128593,72.8581258854363,62904.97866562644,31914.14846911787,28.865333915849632,30990.83019650857
0.25,5.56,0.03,6.169491525423729,0.77,9.966101694915254,101.72702174102969,72.85862910442187,62909.44557140652,31914.59795927079,28.868392636607823,30994.847612135727
0.25,5.56,0.03,6.169491525423729,0.96,9.966101694915254,101.73058387038783,72.8591323191635,62913.912873580775,31915.047448798232,28.871451551224325,30998.865424782543
0.25,5.56,0.03,6.169491525423729,1.15,9.966101694915254,101.73414526849294,72.85963552943858,62918.37941724402,31915.496937501248,28.87450973905436,31002.88247974277
0.25,5.56,0.03,6.169491525423729,1.34,9.966101694915254,101.7377066662023,72.86013873538302,62922.84611895535,31915.94642550117,28.877567930819282,31006.89969345418
0.25,5.56,0.03,6.169491525423729,1.53,9.966101694915254,101.74126832919283,72.86064193687325,62927.31331194422,31916.39591268754,28.880626392319584,31010.91739925668
0.25,5.56,0.03,6.169491525423729,1.72,9.966101694915254,101.74483025760105,72.86114513404799,62931.780996417285,31916.84539918418,28.883685123553064,31014.935597233103
0.25,5.56,0.03,6.169491525423729,1.91,9.966101694915254,101.74839245138315,72.86164832683708,62936.249172355056,31917.294884928353,28.88674412454607,31018.954287426703
0.25,5.56,0.03,6.169491525423729,2.1,9.966101694915254,101.75195348690409,72.86215151515749,62940.71605398599,31917.744369845783,28.889801971746593,31022.971684140208
0.25,5.56,0.03,6.169491525423729,2.29,9.966101694915254,101.7555135063635,72.8626546991532,62945.181819536905,31918.193854065008,28.892858807210303,31026.987965471897
0.25,5.56,0.03,6.169491525423729,2.4800000000000004,9.966101694915254,101.7590737908761,72.86315787871023,62949.64807601571,31918.64333748414,28.895915912165876,31031.004738531567
0.25,5.56,0.03,6.169491525423729,2.6700000000000004,9.966101694915254,101.76263434051147,72.86366105391085,62954.11482354505,31919.092820176575,28.898973286600622,31035.02200336848
0.25,5.56,0.03,6.169491525423729,2.8600000000000003,9.966101694915254,101.76619515528736,72.86416422471666,62958.58206218267,31919.542302107944,28.902030930570703,31039.039760074727
0.25,5.56,0.03,6.169491525423729,3.0500000000000003,9.966101694915254,101.76975623522823,72.86466739112022,62963.049791994585,31919.991783271504,28.905088844108008,31043.05800872308
0.25,5.56,0.03,6.169491525423729,3.24,9.966101694915254,101.7733175803839,72.86517055314152,62967.518013078756,31920.441263685032,28.90814702724238,31047.076749393724
0.25,5.56,0.03,6.169491525423729,3.43,9.966101694915254,101.77687919076558,72.8656737107654,62971.986725484676,31920.8907433349,28.911205480000177,31051.095982149774
0.25,5.56,0.03,6.169491525423729,3.62,9.966101694915254,101.78044106642113,72.86617686401031,62976.45592930778,31921.340222237504,28.91426420241082,31055.115707070272
0.25,5.56,0.03,6.169491525423729,3.81,9.966101694915254,101.78400320737107,72.86668001284127,62980.92562460928,31921.789700361533,28.9173231945298,31059.135924247745
0.25,5.56,0.03,6.169491525423729,4.0,9.966101694915254,101.7875656136448,72.86718315729819,62985.39581146149,31922.239177742525,28.920382456346616,31063.15663371896
0.25,5.56,0.03,6.4406779661016955,0.2,9.966101694915254,78.47601793108856,45.73786443452171,37129.45337570927,12286.538891337656,32.73815349656685,24842.914484371617
0.25,5.56,0.03,6.4406779661016955,0.39,9.966101694915254,78.47622944196618,45.737983507291375,37129.65715619134,12286.60488433026,32.73824593467481,24843.052271861077
0.25,5.56,0.03,6.4406779661016955,0.5800000000000001,9.966101694915254,78.47644095403476,45.73810257960763,37129.860938380036,12286.670877248802,32.73833837442713,24843.190061131234
0.25,5.56,0.03,6.4406779661016955,0.77,9.966101694915254,78.47665246303025,45.73822165138581,37130.06471816715,12286.736870046356,32.73843081164444,24843.327848120796
0.25,5.56,0.03,6.4406779661016955,0.96,9.966101694915254,78.47686397247853,45.73834072259768,37130.268498949736,12286.802862707273,32.73852324988085,24843.465636242465
0.25,5.56,0.03,6.4406779661016955,1.15,9.966101694915254,78.47707547646753,45.73845979316265,37130.472275031694,12286.868855186878,32.738615683304886,24843.603419844818
0.25,5.56,0.03,6.4406779661016955,1.34,9.966101694915254,78.47728697966835,45.73857886303054,37130.67605091344,12286.934847457364,32.73870811663781,24843.741203456077
0.25,5.56,0.03,6.4406779661016955,1.53,9.966101694915254,78.47749848386297,45.73869793242382,37130.87982831186,12287.000839642023,32.738800551439155,24843.878988669836
0.25,5.56,0.03,6.4406779661016955,1.72,9.966101694915254,78.4777099890408,45.73881700115645,37131.083607216744,12287.066831637749,32.738892987884356,24844.016775578995
0.25,5.56,0.03,6.4406779661016955,1.91,9.966101694915254,78.47792149517807,45.73893606924289,37131.287387605196,12287.132823452552,32.73898542593518,24844.154564152646
0.25,5.56,0.03,6.4406779661016955,2.1,9.966101694915254,78.47813299305346,45.73905513674126,37131.49116059272,12287.198815118632,32.73907785631221,24844.29234547409
0.25,5.56,0.03,6.4406779661016955,2.29,9.966101694915254,78.47834448371623,45.73917420367656,37131.69492719016,12287.264806649857,32.739170280039666,24844.430120540303
0.25,5.56,0.03,6.4406779661016955,2.4800000000000004,9.966101694915254,78.47855597529635,45.739293269983506,37131.898695230564,12287.330798010027,32.73926270531284,24844.567897220535
0.25,5.56,0.03,6.4406779661016955,2.6700000000000004,9.966101694915254,78.4787674678638,45.73941233567354,37132.10246478136,12287.396789205492,32.73935513219026,24844.705675575868
0.25,5.56,0.03,6.4406779661016955,2.8600000000000003,9.966101694915254,78.47897896143671,45.73953140077024,37132.30623586001,12287.462780249312,32.73944756066647,24844.843455610695
0.25,5.56,0.03,6.4406779661016955,3.0500000000000003,9.966101694915254,78.47919045597585,45.73965046526172,37132.51000842873,12287.528771134896,32.739539990714135,24844.98123729384
0.25,5.56,0.03,6.4406779661016955,3.24,9.966101694915254,78.47940195151779,45.739769529157535,37132.71378252276,12287.594761867544,32.73963242236025,24845.11902065522
0.25,5.56,0.03,6.4406779661016955,3.43,9.966101694915254,78.47961344801698,45.739888592403986,37132.91755809824,12287.66075241748,32.73972485561299,24845.25680568076
0.25,5.56,0.03,6.4406779661016955,3.62,9.966101694915254,78.47982494551316,45.74000765506223,37133.12133519344,12287.726742818604,32.73981729045093,24845.39459237484
0.25,5.56,0.03,6.4406779661016955,3.81,9.966101694915254,78.4800364439836,45.74012671713229,37133.32511378648,12287.79273307093,32.7399097268513,24845.53238071555
0.25,5.56,0.03,6.4406779661016955,4.0,9.966101694915254,78.48024794347046,45.74024577860031,37133.52889391801,12287.858723166766,32.74000216487015,24845.670170751244
0.25,5.56,0.03,6.711864406779661,0.2,9.966101694915254,29.2526486083096,21.2976797472918,4848.5627156123155,2474.485370786164,7.9549688610178,2374.0773448261516
0.25,5.56,0.03,6.711864406779661,0.39,9.966101694915254,29.25269744966551,21.297700117949084,4848.579720141272,2474.490437398944,7.954997331716427,2374.0892827423286
0.25,5.56,0.03,6.711864406779661,0.5800000000000001,9.966101694915254,29.252746291219154,21.297720488349047,4848.5967247688895,2474.4955039529086,7.955025802870107,2374.101220815981
0.25,5.56,0.03,6.711864406779661,0.77,9.966101694915254,29.252795131631164,21.297740858418138,4848.613729028855,2474.500570429766,7.955054273213026,2374.1131585990893
0.25,5.56,0.03,6.711864406779661,0.96,9.966101694915254,29.2528439721278,21.29776122863928,4848.6307333481,2474.505636949629,7.955082743488518,2374.1250963984708
0.25,5.56,0.03,6.711864406779661,1.15,9.966101694915254,29.252892811004433,21.297781598744447,4848.647737133139,2474.510703445832,7.955111212259986,2374.1370336873074
0.25,5.56,0.03,6.711864406779661,1.34,9.966101694915254,29.252941649533273,21.29780196873038,4848.664740826908,2474.515769917566,7.955139680802894,2374.148970909342
0.25,5.56,0.03,6.711864406779661,1.53,9.966101694915254,29.252990488269216,21.297822338734797,4848.681744622597,2474.5208363990846,7.955168149534419,2374.1609082235123
0.25,5.56,0.03,6.711864406779661,1.72,9.966101694915254,29.253039327209965,21.297842708698894,4848.698748519407,2474.525902875761,7.955196618511071,2374.172845643646
0.25,5.56,0.03,6.711864406779661,1.91,9.966101694915254,29.253088166304526,21.29786307852958,4848.715752499582,2474.530969324442,7.955225087774945,2374.1847831751397
0.25,5.56,0.03,6.711864406779661,2.1,9.966101694915254,29.253137002982985,21.29788344831199,4848.732755668376,2474.5360357663017,7.955253554670996,2374.196719902074
0.25,5.56,0.03,6.711864406779661,2.29,9.966101694915254,29.253185837562075,21.29790381807337,4848.749758136053,2474.541102208117,7.955282019488706,2374.208655927936
0.25,5.56,0.03,6.711864406779661,2.4800000000000004,9.966101694915254,29.253234672272725,21.297924187687222,4848.766760679347,2474.546168618427,7.955310484585503,2374.2205920609194
0.25,5.56,0.03,6.711864406779661,2.6700000000000004,9.966101694915254,29.25328350719355,21.29794455730186,4848.783763325626,2474.5512350341173,7.95533894989169,2374.2325282915085
0.25,5.56,0.03,6.711864406779661,2.8600000000000003,9.966101694915254,29.253332342305214,21.297964926847666,4848.800766068161,2474.556301437874,7.955367415457548,2374.2444646302865
0.25,5.56,0.03,6.711864406779661,3.0500000000000003,9.966101694915254,29.25338117760384,21.29798529635069,4848.817768905598,2474.561367836176,7.95539588125315,2374.2564010694223
0.25,5.56,0.03,6.711864406779661,3.24,9.966101694915254,29.25343001308495,21.298005665775957,4848.834771836384,2474.566434220326,7.955424347308995,2374.268337616058
