D,mode,beta,gamma,D_eff,uniform_omega1,uniform_omega2,uniform_delta_omega12,exact_omega1,exact_omega2,exact_delta_omega12,lorentz_E1,lorentz_E2,lorentz_omega1,lorentz_omega2,lorentz_delta_omega12,lorentz_rel_omega1_vs_exact,lorentz_rel_omega2_vs_exact,lorentz_rel_delta_vs_exact
6.0,length_contraction,0.2,1.0206207261596576,5.878775382679627,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.7220045683389035,-0.7047863536971365,0.5272527208664708,0.5433356663268697,0.0160829454603989,0.2692272244584388,0.2653946810065104,0.11286783323638092
12.0,length_contraction,0.2,1.0206207261596576,11.757550765359253,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.694112413371609,-0.6939876409488475,0.5530710502533929,0.5531838383857147,0.00011278813232185048,0.234417327557909,0.2345320845796773,0.5588155870525382
18.0,length_contraction,0.2,1.0206207261596576,17.636326148038883,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.6491814635528859,-0.6491801086482314,0.5922993638753246,0.5923005076409851,1.143765660516216e-06,0.17741485083384956,0.177417492120905,0.6910831578823164
6.0,length_contraction,0.4,1.0910894511799618,5.499090833947008,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.3588086973793907,-0.3109077450100035,0.8007442179751343,0.8301158081797964,0.029371590204662068,0.10983225218242315,0.12234025090228233,0.6201312454683086
12.0,length_contraction,0.4,1.0910894511799618,10.998181667894016,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.49941704399989195,-0.49873964807384286,0.7075188732465785,0.7079974236719772,0.00047855042539868275,0.020624584246154577,0.020308847773556814,0.8719078341753327
18.0,length_contraction,0.4,1.0910894511799618,16.497272501841024,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.6498501270096899,-0.649846846473475,0.5917346305484495,0.5917374025076706,2.771959221048448e-06,0.17819915228048144,0.17819952831163233,0.2513283807989094
6.0,length_contraction,0.6,1.25,4.8,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.7395492079417487,-0.6961570518024836,0.5103437979031893,0.5512195099935383,0.040875712090349015,0.29266300786224797,0.2547354994902289,1.25469638779822
12.0,length_contraction,0.6,1.25,9.6,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.7350182215253274,-0.7343782125141145,0.5147638084351625,0.5153850865963095,0.0006212781611470986,0.2874437163946593,0.2868360922711525,1.4302046249032543
18.0,length_contraction,0.6,1.25,14.4,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.7398262054868887,-0.7398165038506472,0.5100723424310627,0.5100818524015069,9.50997044424362e-06,0.29161170942519854,0.2916021445884504,1.5685244274096581
6.0,length_contraction,0.8,1.666666666666667,3.599999999999999,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.34614155820588965,-0.17383857698516544,0.8086151382419886,0.9089342237009422,0.10031908545895363,0.12074135520236212,0.22890499690524396,4.533581387195654
