combo_id,mode,kappa,center_D,width_D,power,region,D,eta,mu_full,mu_base,mu_cf,abs_delta_base,abs_delta_cf,abs_improvement
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,0.2,11.04256012523663,19.843547917856863,19.84349983078771,8.800987792620234,8.80093970555108,4.808706915326866e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,0.39,11.052161669693014,19.861021470449572,19.860973341036583,8.808859800756558,8.80881167134357,4.812941298837359e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,0.5800000000000001,11.061764893323978,19.87851191256123,19.878463740763475,8.816747019237251,8.816698847439497,4.817179775429281e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,0.77,11.07136978607142,19.895993426829776,19.89594521266889,8.824623640758356,8.824575426597471,4.821416088418573e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,0.96,11.080976337871572,19.913488776565693,19.91344052000815,8.83251243869412,8.83246418213658,4.825655754103764e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,1.15,11.090584538655236,19.930961071162425,19.930912772264097,8.84037653250719,8.840328233608862,4.829889832791423e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,1.34,11.100194378347563,19.9484395089474,19.948391167693398,8.848245130599835,8.848196789345835,4.834125400066114e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,1.53,11.10980584686784,19.965934769182383,19.96588638553194,8.856128922314543,8.856080538664102,4.838365044079751e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,1.72,11.119418934130268,19.98344689106172,19.98339846497398,8.864027956931453,8.863979530843713,4.84260877406939e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,1.91,11.129033630043503,20.00097591391144,20.00092744534544,8.871942283867936,8.871893815301936,4.8468565999826296e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,2.1,11.138649924510688,20.018464557650542,20.018416046704136,8.879814633139855,8.879766122193448,4.8510946406565836e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,2.29,11.148267807429823,20.035918319219885,20.035869765977605,8.887650511790062,8.887601958547782,4.85532422800361e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,2.4800000000000004,11.157887268693388,20.053388739769705,20.05334014419118,8.895501471076317,8.89545287549779,4.8595578526544614e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,2.6700000000000004,11.167508298188464,20.070875858040207,20.070827220084972,8.903367559851743,8.903318921896508,4.8637955234909214e-05
