case,D,is_reviewer_target,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_cf,slice_max_abs_delta_base,slice_max_abs_delta_runtime,slice_max_abs_delta_cf,slice_mean_abs_improvement_vs_runtime,slice_improved_fraction_vs_runtime,slice_worsened_fraction_vs_runtime,slice_acceptance_flip_fraction_vs_base
D60E21_fullmap,4.0,0.0,1.333326390970993,1.3333263909707966,1.3333263909707966,1.3523368800160696,1.352336880015871,1.352336880015871,0.0,0.0,0.0,0.0
D60E21_fullmap,4.271186440677966,0.0,5.514676703853695,5.514676703849833,5.514676703849833,5.580494506900999,5.580494506897104,5.580494506897104,0.0,0.0,0.0,0.0
D60E21_fullmap,4.5423728813559325,0.0,6.081348709700777,6.081348708655916,6.081348708655916,6.145360294533631,6.14536029348217,6.14536029348217,0.0,0.0,0.0,0.0
D60E21_fullmap,4.813559322033898,1.0,8.950884564633627,8.950884564268902,8.950884564268902,8.958857939127418,8.95885793876238,8.95885793876238,0.0,0.0,0.0,0.0
D60E21_fullmap,5.084745762711864,0.0,2.903841565645237,2.903839007124965,2.903839007124965,2.9125952233449084,2.9125926631324184,2.9125926631324184,0.0,0.0,0.0,0.0
D60E21_fullmap,5.3559322033898304,0.0,3.0724203823840277,3.072427625136907,3.072427625136907,3.0827241868456383,3.0827314259213203,3.0827314259213203,0.0,0.0,0.0,0.0
D60E21_fullmap,5.627118644067797,1.0,10.271915904250342,10.26544987759138,10.26544987759138,10.272608773798765,10.26614241459675,10.26614241459675,0.0,0.0,0.0,0.0
D60E21_fullmap,5.898305084745763,0.0,1.3699978524761036,1.4830522423094408,1.4830522423094408,1.3721439395038004,1.485193015950884,1.485193015950884,0.0,0.0,0.0,0.0
D60E21_fullmap,6.169491525423728,1.0,25.887561191706766,18.58747931966137,18.58747931966137,25.89060277919198,18.59026540670793,18.59026540670793,0.0,0.0,0.0,0.0
D60E21_fullmap,6.4406779661016955,1.0,31.28630580743782,4.809317775030706,4.809317775030706,31.28639526077564,4.809335874306569,4.809335874306569,0.0,0.0,0.0,0.0
D60E21_fullmap,6.711864406779661,1.0,7.462467784829663,0.8134211570183147,0.8134211570183147,7.462495924022775,0.8134381962222292,0.8134381962222292,0.0,0.0,0.0,0.0
D60E21_fullmap,6.983050847457627,0.0,0.5161120274032021,2.765360451863181,2.765360451863181,0.5161164426578493,2.7653608060504506,2.7653608060504506,0.0,0.0,0.0,1.0
D60E21_fullmap,7.254237288135593,0.0,1.294200553412129,1.2028152307552689,1.202815230757238,1.2942005946140478,1.2028152632487394,1.2028152632507085,-1.9690915564751776e-12,0.0,1.0,0.0
D60E21_fullmap,7.525423728813559,0.0,1.1032836506099986,1.8527293001330492,1.8524773007862239,1.1032839069548035,1.8527293192346554,1.8524773198643483,0.00025199913550375116,1.0,0.0,1.0
D60E21_fullmap,7.796610169491526,0.0,0.9818588341817898,0.7787137734043075,0.822565906365361,0.9818589810163156,0.7787139100297158,0.8225660451945718,-0.04385211312347752,0.0,1.0,0.0
D60E21_fullmap,8.067796610169491,0.0,0.8135717925518255,1.2880245717936885,0.5529474442525688,0.8135718001117427,1.2880245791031224,0.5529474517309629,0.7350771289668786,1.0,0.0,1.0
D60E21_fullmap,8.338983050847457,0.0,0.5079246071905708,0.2935865664414512,0.2932958965277681,0.5079246183217183,0.2935865748186066,0.29329590490629576,0.00029066992312926353,1.0,0.0,1.0
D60E21_fullmap,8.610169491525424,0.0,0.31249331257705215,0.8889170685686596,0.8889170682795937,0.31249331945437286,0.8889170718679815,0.8889170715789156,2.890658929153406e-10,1.0,0.0,1.0
D60E21_fullmap,8.881355932203391,0.0,0.1330705564889445,0.9088499288053373,0.9088499288053373,0.13307055698865256,0.90884993306706,0.9088499330670599,-1.586032892321652e-17,0.23809523809523808,0.38095238095238093,0.0
D60E21_fullmap,9.152542372881356,0.0,0.10046985243762552,0.4961812958220859,0.4961812958220859,0.1004698525576353,0.49618129657846266,0.49618129657846266,0.0,0.0,0.0,0.0
D60E21_fullmap,9.423728813559322,0.0,0.5387253544168138,0.7767677482022203,0.7767677482022202,0.5387253576420243,0.7767677497874862,0.7767677497874863,1.057355261547768e-17,0.42857142857142855,0.3333333333333333,0.0
D60E21_fullmap,9.694915254237287,0.0,0.2291026819975992,0.17438576625114854,0.17438576625114854,0.2291026837257173,0.1743857675356728,0.1743857675356728,0.0,0.0,0.0,0.0
D60E21_fullmap,9.966101694915254,0.0,0.017394033334696024,0.7227162162916481,0.7227162162916481,0.017394033696644162,0.7227162282816924,0.7227162282816924,1.057355261547768e-17,0.19047619047619047,0.047619047619047616,1.0
D60E21_fullmap,10.23728813559322,0.0,0.05471170313048779,0.0789760286998108,0.0789760286998108,0.05471170402455994,0.07897603016307131,0.07897603016307131,0.0,0.0,0.0,0.0
D60E21_fullmap,10.508474576271189,0.0,0.06364250925315751,0.405389364857925,0.405389364857925,0.06364250941462873,0.40538937010628173,0.40538937010628173,5.28677630773884e-18,0.09523809523809523,0.047619047619047616,0.0
D60E21_fullmap,10.779661016949152,0.0,0.03907493861485256,0.12677562227143108,0.12677562227143108,0.03907493884396851,0.12677562401915293,0.12677562401915293,0.0,0.0,0.0,0.0
D60E21_fullmap,11.050847457627118,0.0,0.010928827986557504,0.13544639689514432,0.13544639689514432,0.0109288302380052,0.1354464233521962,0.1354464233521962,0.0,0.0,0.0,0.0
D60E21_fullmap,11.322033898305085,0.0,0.021375266806630405,0.09804033530562942,0.09804033530562942,0.021375272485834595,0.09804036111291779,0.09804036111291779,0.0,0.0,0.0,0.0
D60E21_fullmap,11.593220338983052,0.0,0.01749834146565299,0.04743884476560939,0.04743884476560939,0.0174983425121457,0.047438847659601005,0.047438847659601005,0.0,0.0,0.0,0.0
D60E21_fullmap,11.864406779661016,0.0,0.006766781795992605,0.04834940368839781,0.04834940368839781,0.006766784457507502,0.0483494227665092,0.0483494227665092,0.0,0.0,0.0,0.0
D60E21_fullmap,12.135593220338984,0.0,0.0034439416111127982,0.000987167368170297,0.000987167368170297,0.0034439480782956014,0.0009871692406887012,0.0009871692406887012,0.0,0.0,0.0,0.0
D60E21_fullmap,12.40677966101695,0.0,0.015192439369097598,0.0162757469043094,0.0162757469043094,0.0151924927802413,0.0162758041178416,0.0162758041178416,0.0,0.0,0.0,0.0
D60E21_fullmap,12.677966101694915,0.0,0.0049617590794693,0.0049776561783001,0.0049776561783001,0.0049617953158126995,0.004977692530713,0.004977692530713,0.0,0.0,0.0,0.0
D60E21_fullmap,12.94915254237288,0.0,0.0003877730133272999,0.0008093941149295999,0.0008093941149295999,0.00038777636048980006,0.0008094011070853001,0.0008094011070853001,0.0,0.0,0.0,0.0
D60E21_fullmap,13.220338983050848,0.0,4.869891658190002e-05,0.00013119114263819998,0.00013119114263819998,4.8701645389600005e-05,0.0001311984978862,0.0001311984978862,0.0,0.0,0.0,0.0
D60E21_fullmap,13.491525423728811,0.0,5.2522273508700005e-05,0.0001854884387216259,0.0001854884387216259,5.252231211120003e-05,0.00018548857454804403,0.00018548857454804403,3.8721506160196585e-21,0.14285714285714285,0.047619047619047616,0.0
D60E21_fullmap,13.76271186440678,0.0,2.884426447249998e-05,9.589692810849215e-05,9.589692810849215e-05,2.8844265244699994e-05,9.589693092621336e-05,9.589693092621336e-05,0.0,0.0,0.0,0.0
D60E21_fullmap,14.033898305084746,0.0,4.715456284784842e-06,3.369825072117122e-05,3.369825072117122e-05,4.717545160441776e-06,3.371317122703692e-05,3.371317122703692e-05,0.0,0.0,0.0,0.0
D60E21_fullmap,14.305084745762713,0.0,1.613113941846085e-05,4.807199408522048e-05,4.807199408522048e-05,1.613278041181554e-05,4.807688399851269e-05,4.8076883998512695e-05,3.226792180016382e-22,0.14285714285714285,0.09523809523809523,0.0
D60E21_fullmap,14.576271186440678,0.0,4.761698045614947e-06,2.2785139760974488e-07,2.2785139760974488e-07,4.763718044150575e-06,2.279482445552471e-07,2.279482445552471e-07,0.0,0.0,0.0,0.0
D60E21_fullmap,14.847457627118644,0.0,2.1618388584842847e-07,2.0899030322595666e-05,2.0899030322595666e-05,2.1646119236115897e-07,2.0925839793922974e-05,2.0925839793922974e-05,-3.226792180016382e-22,0.047619047619047616,0.14285714285714285,0.0
D60E21_fullmap,15.11864406779661,0.0,1.837313426581807e-06,1.9235328230442156e-06,1.9235328230442156e-06,1.8383202113093436e-06,1.924586850356315e-06,1.924586850356315e-06,0.0,0.0,0.0,0.0
D60E21_fullmap,15.389830508474576,0.0,2.7373586372719416e-06,9.079655378228689e-06,9.079655378228689e-06,2.751499116241792e-06,9.12655845414009e-06,9.12655845414009e-06,0.0,0.0,0.0,0.0
