width_power_base,trigger_lo,trigger_hi,turnoff_lo,turnoff_hi,tail_reboost_max,objective_width_focus,d4p0_max_abs_delta_mu,d4p0_acceptance_mismatch,d4p8_max_abs_delta_mu,d6p4_max_abs_delta_mu,d7p2_max_abs_delta_mu,width_focus_acceptance_mismatch
0.8,2.5,5.0,30.0,60.0,0.0,12.58390842241157,0.9786627326303692,0.3902439024390244,12.58390842241157,41.61379577039803,0.3602270741826179,0.13008130081300814
0.8,2.0,4.0,30.0,60.0,0.05,12.58390842241157,0.7122486736370541,0.3902439024390244,12.58390842241157,41.61379577039803,0.5134792410126541,0.13008130081300814
0.8,2.0,4.0,30.0,60.0,0.0,12.58390842241157,0.9786627326303692,0.3902439024390244,12.58390842241157,41.61379577039803,0.5134792410126541,0.13008130081300814
0.8,4.0,8.0,30.0,60.0,0.0,12.58390842241157,0.9786627326303692,0.3902439024390244,12.58390842241157,41.61379577039803,1.022838568768722,0.13008130081300814
0.8,4.0,8.0,30.0,60.0,0.15,12.58390842241157,0.1306880131025432,0.1951219512195122,12.58390842241157,41.61379577039803,1.022838568768722,0.06504065040650407
0.8,3.0,6.0,30.0,60.0,0.05,12.58390842241157,0.7122486736370541,0.3902439024390244,12.58390842241157,41.61379577039803,1.0201585204067576,0.13008130081300814
0.8,3.0,6.0,30.0,60.0,0.15,12.58390842241157,0.1306880131025432,0.1951219512195122,12.58390842241157,41.61379577039803,1.0201585204067576,0.06504065040650407
0.8,2.0,4.0,30.0,60.0,0.15,12.58390842241157,0.1306880131025432,0.1951219512195122,12.58390842241157,41.61379577039803,0.5134792410126541,0.06504065040650407
0.8,2.5,5.0,30.0,60.0,0.15,12.58390842241157,0.1306880131025432,0.1951219512195122,12.58390842241157,41.61379577039803,0.3602270741826179,0.06504065040650407
0.8,4.0,8.0,30.0,60.0,0.05,12.58390842241157,0.7122486736370541,0.3902439024390244,12.58390842241157,41.61379577039803,1.022838568768722,0.13008130081300814
0.8,3.0,6.0,30.0,60.0,0.0,12.58390842241157,0.9786627326303692,0.3902439024390244,12.58390842241157,41.61379577039803,1.0201585204067576,0.13008130081300814
