feature,label,corr_d60_p95_abs_delta_mu,corr_d21_p95_abs_delta_mu,abs_corr_sum,eta_flatness_p90_rel_std,eta_flatness_max_rel_std,value_D4p814,value_D5p627,value_D6p169,value_D6p4,value_D6p441,value_D6p712,d60_pointamp_band_mean,d60_width_band_mean,d21_guard_value,high_trigger_separation,low_trigger_separation,best_monotone_separation,separable_monotone
projected_logdet_part_kernel,logdet_part_kernel,-0.14950266961256822,-0.08146135248630601,0.23096402209887423,0.002055067670940237,0.21481088316751507,1.3864131390232495,1.375234091717754,1.3987625544852902,1.4087620893442474,1.4116418559976516,1.4308403003536787,1.405202205241471,1.3974958436982272,1.4087620893442474,0.9775811836859365,0.9742089226632011,0.9775811836859365,0.0
projected_logdet_schur_response_weight,logdet_schur_weight,-0.16730172304632895,-0.1701607297645127,0.33746245281084164,0.0025161758086975437,0.16920543276473002,0.6371912549071741,0.5948058962999607,0.6099425033221904,0.6163755215376414,0.620733322930257,0.6497853322143602,0.6153379131262237,0.6272608278071651,0.6163755215376414,0.938683089757671,0.9582309734752079,0.9582309734752079,0.0
projected_logdet_part_action,logdet_part_action,-0.11245610476275783,-0.043762434498385884,0.1562185392611437,0.006169400315758332,1.414213562373095,0.3267192446759959,0.31861369783835536,0.3355243747046463,0.34271136794274065,0.34471552907393177,0.35807660328187246,0.340119951889289,0.33446984859874124,0.34271136794274065,0.9370184246316887,0.9242800830421007,0.9370184246316887,0.0
eymh_parented_prefactor_diag,eymh_prefactor_diag,0.10283931187401064,0.25199428938977897,0.3548336012637896,0.0025161758086975935,0.16920543276473013,0.03931666358428664,0.045048342703650414,0.04808117525582041,0.049370121122213693,0.04962549262714233,0.05132796932666655,0.04885333394148137,0.04523099187153454,0.049370121122213693,0.9367441550203833,0.7922674718755871,0.9367441550203833,0.0
parent_blockdet_det_ratio,blockdet_det_ratio,0.20673850487696815,0.17600574777171415,0.3827442526486823,0.0050622399602328035,0.3958997484115237,2.463617768443789,2.826876920601592,2.6902202390172385,2.6321415083873045,2.601460480765671,2.39692029662145,2.645840359891455,2.5624716618889436,2.6321415083873045,0.9202595492597713,0.8909754903550448,0.9202595492597713,0.0
parent_blockdet_action,blockdet_action,0.17984353026650562,0.17195928696878943,0.35180281723529505,0.0058709041306711585,1.4142135623730951,0.9014535836006703,1.0390853961650166,0.9890589042359195,0.9677977766026018,0.9545581694962944,0.8662941221209117,0.9718085368661069,0.9356110339621996,0.9677977766026018,0.9186522811496636,0.8758771782052277,0.9186522811496636,0.0
projected_logdet_schur_response_action,logdet_schur_action,0.1798435302665058,0.17195928696878968,0.3518028172352955,0.005870904130671181,1.4142135623730951,0.9014535836006703,1.039085396165017,0.9890589042359198,0.967797776602602,0.9545581694962945,0.8662941221209118,0.9718085368661071,0.9356110339621998,0.967797776602602,0.9186522811496632,0.8758771782052276,0.9186522811496632,0.0
projected_schur_share,schur_share,0.29946314397002405,0.294252848873135,0.593715992843159,0.0074372585873988895,1.414213562373095,0.6374098426696896,0.6932569829361234,0.6600136726290106,0.6458853530899302,0.6364249039495697,0.5733552430138337,0.6482192882892901,0.6346740228732156,0.6458853530899302,0.9180216277867769,0.86870206904958,0.9180216277867769,0.0
projected_schur_gain,schur_gain,0.3665982203770447,0.3060731339024486,0.6726713542794933,0.005647074004315117,0.16974153220138508,1.7770161676636604,2.0557207665828554,1.9242725455997443,1.8684073970409472,1.8437986441704493,1.6797402917004653,1.8840355948850966,1.8374924086489937,1.8684073970409472,0.8969110368210775,0.8729222352319823,0.8969110368210775,0.0
parent_blockdet_schur_norm,blockdet_schur_norm,0.36659822037704465,0.3060731339024485,0.6726713542794931,0.005647074004315118,0.16974153220138508,1.7770161676636604,2.0557207665828554,1.9242725455997443,1.8684073970409472,1.8437986441704493,1.6797402917004651,1.8840355948850966,1.8374924086489937,1.8684073970409472,0.8969110368210775,0.8729222352319822,0.8969110368210775,0.0
projected_schur_action,schur_action,0.3276410747238748,0.2815744182630481,0.6092154929869229,0.013038330747346505,1.414213562373095,0.5747343389246745,0.7204716983266615,0.6535345295312733,0.6250864086598612,0.6098426404223626,0.5082175188390393,0.6316885849768179,0.6011411853634585,0.6250864086598612,0.84644912747962,0.7776444791731847,0.84644912747962,0.0
projected_logdet_part_share,logdet_part_share,-0.17194519796536992,-0.04020376558754798,0.2121489635529179,0.00800292341904345,1.414213562373095,0.36259015733031047,0.3067430170638766,0.3399863273709893,0.3541146469100697,0.3635750960504302,0.42664475698616633,0.3517807117107098,0.36532597712678444,0.3541146469100697,0.7968838754111612,0.8436854459947096,0.8436854459947096,0.0
