ref_D,refamp2_peak,center_D,sigma_D,D,eta,target_mu,mu_new,delta_mu,acceptance_mismatch
9.694915254237287,0.0,5.9,0.1,5.627118644067797,0.2,44.29403558125418,58.29525916150112,14.001223580246943,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,0.39,44.296173235880694,58.29825936823605,14.002086132355359,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,0.5800000000000001,44.29831085750326,58.301259846275244,14.002948988771983,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,0.77,44.30044844608468,58.304259997515594,14.003811551430914,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,0.96,44.30258600165074,58.30726034970606,14.004674348055325,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,1.15,44.30472352415427,58.31026004958234,14.00553652542807,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,1.34,44.30686101360546,58.313259774335215,14.006398760729752,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,1.53,44.30899846998715,58.31625977029414,14.007261300306986,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,1.72,44.31113589327407,58.31926003752456,14.008124144250488,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,1.91,44.313273283464014,58.322260576081106,14.008987292617093,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,2.1,44.31541064053281,58.3252600663488,14.009849425815986,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,2.29,44.31754796447279,58.32825863993406,14.010710675461276,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,2.4800000000000004,44.319685255267416,58.33125748446414,14.011572229196723,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,2.6700000000000004,44.32182251290478,58.33425660000641,14.012434087101632,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,2.8600000000000003,44.32395973736624,58.33725598661293,14.013296249246693,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,3.0500000000000003,44.32609692864255,58.34025564434683,14.014158715704284,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,3.24,44.32823408671694,58.343255573259334,14.015021486542395,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,3.43,44.33037121157733,58.34625577341555,14.01588456183822,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,3.62,44.33250830320546,58.34925624487031,14.016747941664853,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,3.81,44.334645361588194,58.3522569876809,14.017611626092709,0.0
9.694915254237287,0.0,5.9,0.1,5.627118644067797,4.0,44.33678238671618,58.35525800191087,14.018475615194689,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,0.2,73.28983990446632,60.251653720638146,-13.038186183828174,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,0.39,73.29120449498502,60.25448559082204,-13.036718904162981,0.0
