kappa_scale,D,ratio_pred,ratio_target,abs_err
0.25,4.0,0.06842502309821376,0.1671041995173436,0.09867917641912984
0.25,5.0,0.11740392636448871,0.1660526654195183,0.04864873905502959
0.25,6.0,0.0027500606955852876,0.1553160416942103,0.152565980998625
0.25,7.0,0.1092237345527753,0.1547727178721497,0.04554898331937439
0.25,8.0,0.040053104267741675,0.145175252262609,0.10512214799486733
0.25,9.0,0.02046492163752233,0.1362545551058513,0.11578963346832896
0.25,10.0,0.06140711047000352,0.1359890175348428,0.07458190706483928
0.25,11.0,0.0007380011291099126,0.12780929390848,0.1270712927793701
0.25,12.0,0.06712713035521228,0.127530149580544,0.06040301922533173
0.25,13.0,0.01382021168300497,0.1205635009661166,0.10674328928311162
0.25,14.0,0.06308241802148024,0.1201739038398078,0.05709148581832757
0.25,15.0,0.027955793897474265,0.1139474861009023,0.08599169220342803
0.25,16.0,0.05398398178927585,0.1138273296819945,0.05984334789271864
0.25,17.0,0.03578803300464667,0.1080421135069169,0.07225408050227024
0.25,18.0,0.004132410860860053,0.1027615021141444,0.09862909125328435
0.25,19.0,0.036274298665082236,0.1028771386824079,0.06660284001732567
0.25,20.0,0.011834151320659642,0.0980417547176356,0.08620760339697596
0.5,4.0,0.12327345307633167,0.1671041995173436,0.043830746441011925
0.5,5.0,0.19236263763257772,0.1660526654195183,0.026309972213059418
0.5,6.0,0.005477030242614941,0.1553160416942103,0.14983901145159534
0.5,7.0,0.1822362836546746,0.1547727178721497,0.0274635657825249
0.5,8.0,0.07541861336571776,0.145175252262609,0.06975663889689124
0.5,9.0,0.03963147603809025,0.1362545551058513,0.09662307906776105
0.5,10.0,0.11048506391354737,0.1359890175348428,0.025503953621295428
0.5,11.0,0.0014726442048352492,0.12780929390848,0.12633664970364475
0.5,12.0,0.12045012494246239,0.127530149580544,0.0070800246380816195
0.5,13.0,0.027041811373181512,0.1205635009661166,0.09352168959293508
0.5,14.0,0.11353836902918324,0.1201739038398078,0.006635534810624566
0.5,15.0,0.053575868249903215,0.1139474861009023,0.060371617850999086
0.5,16.0,0.09897481269694954,0.1138273296819945,0.014852516985044958
0.5,17.0,0.06744954233039807,0.1080421135069169,0.040592571176518835
0.5,18.0,0.008208258425419624,0.1027615021141444,0.09455324368872478
0.5,19.0,0.0685240077969363,0.1028771386824079,0.034353130885471594
0.5,20.0,0.023226757793142632,0.0980417547176356,0.07481499692449296
0.75,4.0,0.16656564634932916,0.1671041995173436,0.0005385531680144329
0.75,5.0,0.23921980651844257,0.1660526654195183,0.07316714109892428
0.75,6.0,0.008181054056702676,0.1553160416942103,0.14713498763750762
0.75,7.0,0.23141459928614214,0.1547727178721497,0.07664188141399245
0.75,8.0,0.10650798520679325,0.145175252262609,0.038667267055815746
0.75,9.0,0.05756144287896837,0.1362545551058513,0.07869311222688294
0.75,10.0,0.1510965271222808,0.1359890175348428,0.015107509587438006
0.75,11.0,0.0022062427320815145,0.12780929390848,0.1256030511763985
0.75,12.0,0.16209801403291363,0.127530149580544,0.03456786445236962
0.75,13.0,0.03968424537739183,0.1205635009661166,0.08087925558872476
0.75,14.0,0.15495638824466476,0.1201739038398078,0.034782484404856956
0.75,15.0,0.07700658613061227,0.1139474861009023,0.03694089997029003
0.75,16.0,0.13609611432630161,0.1138273296819945,0.02226878464430712
0.75,17.0,0.09548311055647539,0.1080421135069169,0.012559002950441517
0.75,18.0,0.012228123362057811,0.1027615021141444,0.0905333787520866
0.75,19.0,0.09708401959315494,0.1028771386824079,0.0057931190892529655
0.75,20.0,0.03419017530075253,0.0980417547176356,0.06385157941688308
1.0,4.0,0.20005471311841608,0.1671041995173436,0.032950513601072484
1.0,5.0,0.27465781938104916,0.1660526654195183,0.10860515396153086
1.0,6.0,0.010862276739339488,0.1553160416942103,0.1444537649548708
1.0,7.0,0.2613787248865063,0.1547727178721497,0.10660600701435663
