region,D_min,D_max,peak_D_E_part,peak_D_E_tree,peak_D_xi_target,corr_Epart_xi,corr_Etree_xi,eta_var_frac_E_part,eta_var_frac_E_tree,eta_var_frac_xi
full,4.0,20.0,18.0,6.0,9.2,0.8299568955794816,0.8887671912997499,0.043420659140601954,0.02637424410108888,0.03249575329062108
high-D,17.200000000000003,20.0,18.0,17.200000000000003,17.200000000000003,0.9899922504272985,0.9880449710194025,0.30242761131220625,0.26551765261898647,0.2796592050652544
low-D,4.0,9.6,9.6,6.0,9.2,-0.2983551861003383,0.7542721917620904,0.0005170530241218646,0.00035017050242409323,0.00024125298804244635
transition,10.0,16.8,13.2,10.8,10.0,-0.6050416456941483,0.6890728150696948,0.0005836370298969324,0.001389564065672917,0.0005209255728117931
