D,eta,gap_cv,c_tree_diag_cv,tree_diag_gap_headroom,tree_diag_susceptibility,tree_diag_compressibility,tree_diag_pressure_fraction,tree_diag_screen,diag_dispersion_screen,eymh_loop_prefactor_diag,tree_diag_recon_residual,abs_mu_diff_vs_const
4.0,0.2,0.0529284688818641,0.8794894425499511,0.9497321323849565,0.8352793836830217,0.738157279449201,0.45512383079615415,0.738157279449201,0.719365279995994,0.0422231203520771,0.0,1.1206078065484348e-07
4.8,0.2,0.3330127461264275,1.0296902220130235,0.7501803736730036,0.7724533955171681,0.7511256409565624,0.43581027149759327,0.7511256409565624,0.650572103114179,0.0339687809967384,0.0,3.45160431791669e-06
5.6,0.2,0.0489632309804584,1.1143805860015703,0.9533222618921611,1.062363820855729,0.696333612351461,0.5151195003095652,0.696333612351461,0.6798877662616724,0.0438364055482439,0.0,7.620429086330205e-05
6.4,0.2,0.2368422574530327,1.0740913062068649,0.8085105388129687,0.8684141407156377,0.731582700409796,0.4647867524611105,0.731582700409796,0.6578187829087174,0.0443922488046886,0.0,0.000646382952147917
7.2,0.2,0.5397550802947837,0.5919366112864753,0.6494539377058276,0.38443556307224525,0.8498917755867975,0.2776839697899207,0.8498917755867975,0.6849167760304733,0.0438341549649706,0.0,6.176204798480356e-05
8.0,0.2,0.5891268740470006,0.5580450552791809,0.6292763758083822,0.3511645699238713,0.8602919827877128,0.2598977043511857,0.8602919827877128,0.6824433238982924,0.0460056557608796,0.0,7.070844131851217e-05
8.8,0.2,0.1526414316992487,0.7386124276866068,0.8675724926231209,0.6407998249704842,0.780678464925257,0.39054113440194405,0.780678464925257,0.7271518047685539,0.0425742187425198,0.0,6.944641498085602e-06
9.6,0.2,0.1066533286499557,0.8851615251699383,0.9036253487078326,0.7998543918444424,0.7453861415266694,0.4443995000199839,0.7453861415266694,0.7085581807704207,0.0391067708277571,0.0,1.9317880628477724e-14
10.4,0.2,0.1910896609391989,0.9172112440472516,0.8395673581881982,0.7700606210652617,0.7516331566998592,0.4350475977494049,0.7516331566998592,0.68870573967378,0.0406454635476514,0.0,6.191759849505374e-06
11.2,0.2,0.263616892757297,0.9184677656480013,0.7913791005262146,0.7268561942408374,0.7609776709350862,0.4209129843382116,0.7609776709350862,0.6769618612453999,0.0408548876661451,0.0,3.444050288015088e-06
12.0,0.2,0.324701506182844,0.8771178989054502,0.754887040841013,0.6621249351734221,0.7756542341883732,0.39836050898564834,0.7756542341883732,0.6739212528366479,0.0397447039527705,0.0,1.0299384482978513e-06
12.8,0.2,0.1142870052001219,0.7916713924836573,0.897434857746011,0.7104735034951574,0.7646132585185753,0.4153665648976063,0.7646132585185753,0.7243413723270806,0.0372231013185129,0.0,3.864752559992746e-08
13.6,0.2,0.1152775579450587,0.6819962957925976,0.8966377857029043,0.6115036485170576,0.7877426386557543,0.3794615352436696,0.7877426386557543,0.745921064847076,0.0375176753407169,0.0,3.4219493000103244e-09
14.4,0.2,0.1959995823623919,0.6958086696085115,0.8361206933072295,0.5817800272422496,0.795109525246571,0.3678008428621725,0.795109525246571,0.7270452513938361,0.0362877889325018,0.0,6.079558187443729e-10
15.2,0.2,0.2635129579283289,0.8180925978636038,0.791444198276852,0.647474640232387,0.7790953834150505,0.3930103835413554,0.7790953834150505,0.693107791299799,0.0371205952526775,0.0,4.051330791161748e-11
16.0,0.2,0.3217878591111364,0.786802702341457,0.7565510555320659,0.5952564149519112,0.7917439439612242,0.373141527200726,0.7917439439612242,0.6886584343965517,0.0378417138317903,0.0,7.660203385997678e-12
16.8,0.2,0.3729068193667717,0.8324265017386813,0.7283815521152643,0.6063241073583004,0.7890116420959563,0.37746062863704266,0.7890116420959563,0.6733841352201668,0.036388859618348,0.0,4.454248815303273e-12
17.6,0.2,0.2679119024066777,0.6787167217905434,0.7886983299879569,0.5353027450111023,0.8070547292918159,0.3486626639277137,0.8070547292918159,0.7167347272310843,0.0361985046360608,0.0,4.034350757563207e-12
18.4,0.2,0.20297833384972,0.0,0.8312701666037846,0.0,1.0,0.0,1.0,0.9117401859103199,5.35013104793351e-17,0.0,4.034350757563207e-12
