scenario,grid,D,eta,mu_mumu_full,mu_mumu_cmp,abs_delta_mu_mumu,chi2_mumu_full,chi2_mumu_cmp,accept_full,accept_cmp,acceptance_mismatch
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,4.0,72.86718315729819,17.8364070229794,55.030776134318785,31922.239177742525,1688.471723906541,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,3.81,72.86668001284127,17.836263234977594,55.03041677786368,31921.789700361533,1688.4421820592256,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,3.62,72.86617686401031,17.836119446260327,55.03005741774999,31921.340222237504,1688.4126403233554,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,3.43,72.8656737107654,17.835975656817688,55.02969805394772,31920.8907433349,1688.3830986968978,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,3.24,72.86517055314152,17.835831866658094,55.02933868648343,31920.441263685032,1688.3535571815855,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,3.0500000000000003,72.86466739112022,17.835688075777167,55.02897931534305,31919.991783271504,1688.3240157765235,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,2.8600000000000003,72.86416422471666,17.835544284178702,55.02861994053796,31919.542302107944,1688.2944744824954,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,2.6700000000000004,72.86366105391085,17.83540049185755,55.0282605620533,31919.092820176575,1688.2649332984463,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,2.4800000000000004,72.86315787871023,17.83525669881568,55.02790117989454,31918.64333748414,1688.2353922247858,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,2.29,72.8626546991532,17.835112905063458,55.02754179408974,31918.193854065008,1688.205851263646,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,2.1,72.86215151515749,17.83496911057897,55.027182404578525,31917.744369845783,1688.1763104105307,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,1.91,72.86164832683708,17.834825315391903,55.02682301144518,31917.294884928353,1688.1467696715413,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,1.72,72.86114513404799,17.834681519464763,55.02646361458322,31916.84539918418,1688.1172290389788,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,1.53,72.86064193687325,17.83453772281954,55.02610421405371,31916.39591268754,1688.087688517366,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,1.34,72.86013873538302,17.83439392547427,55.025744809908744,31915.94642550117,1688.05814811041,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,1.15,72.85963552943858,17.834250127392718,55.025385402045856,31915.496937501248,1688.0286078106724,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,0.96,72.8591323191635,17.834106328607046,55.02502599055646,31915.047448798232,1687.9990676247637,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,0.77,72.85862910442187,17.833962529082417,55.02466657533945,31914.59795927079,1687.9695275455308,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,0.5800000000000001,72.8581258854363,17.833818728876253,55.02430715656004,31914.14846911787,1687.9399875847744,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,0.39,72.8576226618424,17.833674927894688,55.02394773394771,31913.69897801407,1687.9104477232156,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.169491525423728,0.2,72.85711943387253,17.833531126197784,55.02358830767474,31913.24948616701,1687.880907973196,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,4.0,73.31712828008988,18.389358720269627,54.92776955982025,32325.458375343136,1803.98943578751,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,3.81,73.3157640331047,18.38898545400751,54.92677857909719,32324.23197790746,1803.9101672279924,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,3.62,73.31439976801113,18.38861218462197,54.92578758338916,32323.005587458232,1803.830899746788,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,3.43,73.31303548482741,18.388238912117888,54.924796572709525,32321.779204012782,1803.751633344977,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,3.24,73.31167118356616,18.38786563649851,54.92380554706765,32320.55282758336,1803.6723680232935,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,3.0500000000000003,73.31030686420101,18.38749235775708,54.92281450644393,32319.326458147218,1803.593103780345,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,2.8600000000000003,73.30894252676417,18.387119075902,54.92182345086217,32318.10009573419,1803.5138406179603,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,2.6700000000000004,73.307578171227,18.386745790925676,54.92083238030132,32316.8737403195,1803.4345785345697,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,2.4800000000000004,73.30621379761986,18.386372502836196,54.919841294783666,32315.647391931347,1803.355317531935,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,2.29,73.30484940592164,18.385999211628004,54.91885019429364,32314.421050551675,1803.27605760892,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,2.1,73.30348499615062,18.38562591730592,54.9178590788447,32313.19471619785,1803.1967987665907,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,1.91,73.30212056828817,18.385252619865085,54.91686794842309,32311.96838885405,1803.117541003961,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,1.72,73.30075612237763,18.384879319316987,54.91587680306065,32310.74206856015,1803.038284323512,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,1.53,73.29939165838354,18.384506015652157,54.914885642731385,32309.5157552852,1802.9590287232772,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,1.34,73.29802717630976,18.384132708871665,54.9138944674381,32308.289449033593,1802.879774203527,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,1.15,73.29666267615853,18.383759398976217,54.912903277182316,32307.063149808284,1802.8005207644565,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,0.96,73.29529815797706,18.3833860859783,54.911912071998756,32305.83685765261,1802.7212684087583,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,0.77,73.2939336216711,18.38301276985302,54.91092085181808,32304.610572482805,1802.6420171311927,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,0.5800000000000001,73.29256906733613,18.382639450625483,54.90992961671065,32303.384294385596,1802.5627669371315,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,0.39,73.29120449498502,18.382266128298625,54.9089383666864,32302.15802337346,1802.4835178272424,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,5.898305084745763,0.2,73.28983990446632,18.38189280283319,54.90794710163313,32300.931759311225,1802.4042697932357,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,4.0,45.74024577860031,17.198067518892664,28.542178259707647,12287.858723166766,1559.868358321821,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,3.81,45.74012671713229,17.198011772810684,28.542114944321607,12287.79273307093,1559.8573498366557,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,3.62,45.74000765506223,17.197956026573227,28.542051628489002,12287.726742818604,1559.8463413596332,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,3.43,45.739888592403986,17.19790028018831,28.541988312215675,12287.66075241748,1559.8353328923367,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,3.24,45.739769529157535,17.197844533654948,28.541924995502587,12287.594761867544,1559.8243244345715,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,3.0500000000000003,45.73965046526172,17.19778878694716,28.541861678314557,12287.528771134896,1559.813315981209,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,2.8600000000000003,45.73953140077024,17.1977330400873,28.54179836068294,12287.462780249312,1559.802307536662,False,False,False
large_full_vs_cell_direct_runtime_extreme,D60xE21,6.4406779661016955,2.6700000000000004,45.73941233567354,17.19767729307269,28.541735042600852,12287.396789205492,1559.791299100403,False,False,False
