kappa_scale,kappa_env_eff,f_R3_gt_0p90,f_hmumu_chi2_le_4,f_winner_gt_3,delta_f_R3_gt_0p90,delta_f_hmumu_chi2_le_4,delta_f_winner_gt_3,ratio_min,ratio_max,ratio_mean,ratio_dynamic_range,anchor_rmse,holdout_rmse,holdout_max_abs_err,overall_rmse,gate_candidate,gate_stable
0.25,107636.60864140408,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.0007380011291099126,0.11740392636448871,0.043203783047831575,0.11666592523537879,0.10719553281531499,0.08279611758154178,0.1270712927793701,0.09065668150215511,0,1
0.5,215273.21728280815,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.0014726442048352492,0.19236263763257772,0.077138044397998,0.19088999342774246,0.09425807513864094,0.05935844365959205,0.12633664970364475,0.07141594057041753,1,1
0.75,322909.82592421223,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.0022062427320815145,0.23921980651844257,0.1042105930044156,0.23701356378636107,0.08786031016417305,0.058625013410459975,0.1256030511763985,0.06853074744841042,1,1
1.0,430546.4345656163,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.0029380300200817443,0.27465781938104916,0.12633342915701323,0.2717197893609674,0.08614892245087857,0.06945420275473618,0.12487126388839825,0.07475246191530673,1,1
1.25,538183.0432070204,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.003668009420086466,0.29563650629867083,0.14473220570050516,0.29196849687858434,0.08756206252389563,0.08294100095533469,0.13358309755945097,0.08432642794203228,0,1
1.5,645819.6518484245,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.004396184277835912,0.3054888728996881,0.15985591095656806,0.30109268862185223,0.09042621675780665,0.0949793837675067,0.15061984168321102,0.09366319619846702,0,1
2.0,861092.8691312326,0.9272222222222222,0.15,0.0002777777777777778,0.0002777777777778212,0.0,7.779150587583494e-17,0.005847133722029379,0.3320887255327232,0.18455855063231172,0.3262415918106938,0.09809476961648908,0.11664763654182671,0.16603606011320488,0.1115117963847164,0,0
