D,k_bg_med,E_part_med,E_part_smooth_fit,E_tree_med,E_tree_smooth_fit,E_tree_twofreq_global_fit,E_tree_piecewise_best_fit,xi_target_med,xi_recon_smooth_tree_smooth,xi_recon_smooth_tree_twofreq_global,xi_recon_smooth_tree_piecewise_best
4.0,1.052928468881864,0.3949498233383917,0.3740884716417868,0.8871122031006866,1.0083839033705542,0.8570923951785095,0.8940095702488798,0.1294646066993198,0.1331808318683151,0.12216566379997058,0.12501141361507134
4.4,1.8125821682390852,0.39259367114345767,0.38319988574696545,0.9563847221198736,0.9887418333056442,0.9287746286107197,0.9356054766127891,0.09737282767958508,0.097782242643409,0.09386100621617838,0.09431630952289186
4.8,1.3330127461264274,0.3866248413496567,0.3922051168809099,1.0292175379602213,0.9701863326108592,1.0163258021149002,1.0185996258875425,0.12148306025067343,0.1186680221071218,0.12187015864284886,0.12202471603933365
5.2,1.0431821344051455,0.37956121180859226,0.40108643859545684,1.0790411281870225,0.95267031547854,1.0916509166783386,1.1091830717466817,0.13989035653569795,0.13664295652244127,0.14638376548345772,0.14752319800728875
5.6,1.0489632309804584,0.3740576674985092,0.4098260298014048,1.1143064750811726,0.9361498067452123,1.1235720211021745,1.1595150770918004,0.14022569045281166,0.137086321944057,0.150337767914468,0.15262204776386928
6.0,1.0466846439401756,0.3692493534995811,0.41840603286918454,1.1693809168569975,0.9205837591254715,1.0920816608789368,1.1317375738768145,0.14230186658640012,0.13803749208176003,0.15062225625105033,0.1532501982920191
6.4,1.2368422574530327,0.40876208937352154,0.4268086131742528,1.0740829653405333,0.9059338842202496,0.9990820181369505,1.018752438523754,0.13486053880486842,0.12646989390493743,0.1336630922062989,0.13510612849690481
6.800000000000001,1.4295826956645792,0.4442592631967599,0.4350160198169514,0.8655712839744574,0.8921644963303446,0.8699221332867973,0.850535103916118,0.11600650506671412,0.1164872811159071,0.11468181453539344,0.11307939053426987
7.2,1.5397550802947837,0.4653975001957116,0.44301064723386674,0.5919361404002297,0.8792423681871068,0.7444233182902038,0.6823372854960392,0.08818996286634301,0.11158808526800391,0.10005402792860114,0.09427176205835838
7.6,1.5648642560227741,0.4744778656885882,0.45077509740665134,0.5746129275723644,0.8671365977867103,0.6612324647315412,0.5705059573862691,0.08642620295646347,0.11078567718207206,0.09229325475801911,0.08301313722984606
8.0,1.5891268740470006,0.48137654338687397,0.4582922423649728,0.5580450355574558,0.8558184855830026,0.642633498368314,0.5479069094558386,0.0844543244868782,0.11000449851586154,0.09049274007752084,0.08057370418974039
8.4,1.3761974030753696,0.4851361173527553,0.46554528667281064,0.6107347084495436,0.8452614213569991,0.686707084470423,0.6109327682944229,0.10040767747102863,0.12086915081543491,0.10574384507471854,0.09766293986071452
8.8,1.1526414316992488,0.4893167977386246,0.4725178295818491,0.7386124190984011,0.8354407801388074,0.7701055547918096,0.7239594849597752,0.12831275132780268,0.13484627979978484,0.12852445029369797,0.12379410852131807
