case,case_label,n_points,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
D21E21_holdout,D21 x E21 holdout,105,0.0,0.5835560976639954,0.5847296668955835
D60E21_release,D60 x E21 release,105,0.0,0.4739298739207793,0.5498755509337592
