label,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
gnorm_bandpass_only,4.0,0.2,90.18134075062119,1.8414344787177772,49263.29040923693,1.2179024937552234,88.33990627190342,1.0
gnorm_bandpass_only,4.0,0.295,90.67828964420704,1.8553977041522351,49816.33126121828,1.2961691809195433,88.8228919400548,1.0
gnorm_bandpass_only,4.0,0.39,91.17535274404419,1.869411360343974,50372.587251984754,1.3771689076248776,89.30594138370022,1.0
gnorm_bandpass_only,4.0,0.485,91.6725095990984,1.8834750003050624,50932.0374332457,1.4609254744998763,89.78903459879334,1.0
gnorm_bandpass_only,4.0,0.5800000000000001,92.16973977353354,1.8975881710511824,51494.66036596871,1.5474624248128812,90.27215160248235,1.0
gnorm_bandpass_only,4.0,0.675,92.6670228493571,1.9117504136610723,52060.43412365668,1.636803036764242,90.75527243569603,1.0
gnorm_bandpass_only,4.0,0.77,93.16433842905924,1.9259612633374992,52629.336295768226,1.7289703158223635,91.23837716572174,1.0
gnorm_bandpass_only,4.0,0.865,93.66166613823913,1.9402202494696392,53201.34399127436,1.823986987106496,91.7214458887695,1.0
gnorm_bandpass_only,4.0,0.96,94.15898562822386,1.9545268956969832,53776.4338423565,1.9218754878208313,92.20445873252687,1.0
gnorm_bandpass_only,4.0,1.055,94.65627657867627,1.9688807199746967,54354.582008241014,2.0226579597433085,92.68739585870158,1.0
gnorm_bandpass_only,4.0,1.15,95.15351870019259,1.983281234640386,54935.764179171,2.1263562417725805,93.1702374655522,1.0
gnorm_bandpass_only,4.0,1.245,95.65069173688768,1.997727946482298,55519.95558051141,2.232991862537155,93.65296379040538,1.0
gnorm_bandpass_only,4.0,1.34,96.14777546896968,2.012220356808913,56107.13097698933,2.342586033070207,94.13555511216077,1.0
gnorm_bandpass_only,4.0,1.435,96.64474971529984,2.0267579615199205,56697.26467706316,2.455159639553789,94.61799175377992,1.0
gnorm_bandpass_only,4.0,1.53,97.14159433594065,2.041340251178509,57290.33053742389,2.570733236135707,95.10025408476214,1.0
gnorm_bandpass_only,4.0,1.625,97.6382892346896,2.0559667110850164,57886.30196762355,2.689327037823084,95.58232252360457,1.0
gnorm_bandpass_only,4.0,1.72,98.134814361598,2.070636821351888,58485.15193483015,2.8109609134560283,96.06417754024612,1.0
