mode,family,D,slice_p95_abs_log_B_sum_ratio,slice_p95_abs_log_B2_ratio,slice_p95_share_l1
release_tuned,direct_runtime,4.0,0.8287077766746024,0.9345773856120406,0.5280910437280788
release_tuned,direct_runtime,4.8,1.13195096273757,1.4737876084865515,0.6074156622508973
release_tuned,direct_runtime,5.6,1.5935521890484645,2.0857632246689377,0.7258163460529434
release_tuned,direct_runtime,6.4,1.646382992957794,2.1997428968033956,0.7369131263239941
release_tuned,direct_runtime,7.2,0.9214061096189027,1.0971427849973938,0.5645996558288813
release_tuned,direct_runtime,8.0,0.8508203835359631,1.0170282979345975,0.5347847489058155
release_tuned,direct_runtime,8.8,0.8554661446643412,1.22150172135051,0.5630109950866861
release_tuned,direct_runtime,9.600000000000001,0.976175303679065,1.4373230088487923,0.6077628024941495
release_tuned,direct_runtime,10.4,1.1363748317217213,1.6059115727084856,0.6337286867607556
release_tuned,direct_runtime,11.2,1.4052175413387578,1.8559427879942911,0.6507946987303262
release_tuned,direct_runtime,12.0,1.2833205785789048,1.735787670581385,0.645230775600155
release_tuned,direct_runtime,12.8,0.9660395505256203,1.4364435940570193,0.615737966800875
release_tuned,direct_runtime,13.600000000000001,0.6874300012096111,1.0935730114225688,0.5192253781500878
release_tuned,direct_runtime,14.4,0.7260262236948416,1.1154819372069855,0.5234962932127504
release_tuned,direct_runtime,15.200000000000001,1.0943061116891801,1.540515438631729,0.6216011194135358
release_tuned,direct_runtime,16.0,1.0074444661705526,1.4502174128993326,0.6095787245628546
release_tuned,direct_runtime,16.8,1.0393199888044315,1.4803775638510168,0.6143989547994573
release_tuned,direct_runtime,17.6,0.6943649913355031,1.0021401040039737,0.522403049858102
release_tuned,direct_runtime,18.4,0.49332442907754487,0.5225652438649957,0.4251678463361135
release_tuned,direct_runtime,19.200000000000003,0.47525370266096384,0.48658547033085436,0.40561480448058573
release_tuned,direct_runtime,20.0,0.4556884945823191,0.44823211271902685,0.38982879561851286
release_tuned,sum_anchor,4.0,0.0,0.1058696089374382,0.5280910437280788
release_tuned,sum_anchor,4.8,0.0,0.3418366457489816,0.6074156622508973
release_tuned,sum_anchor,5.6,0.0,0.49221103562047314,0.7258163460529434
release_tuned,sum_anchor,6.4,2.2204460492503128e-16,0.5533599038456016,0.7369131263239942
release_tuned,sum_anchor,7.2,1.1102230246251565e-16,0.17573667537849116,0.5645996558288813
release_tuned,sum_anchor,8.0,0.0,0.16620791439863447,0.5347847489058155
release_tuned,sum_anchor,8.8,0.0,0.36603557668616904,0.5630109950866861
