channel,layer_N,mu_ref,mu_min,mu_p10,mu_p50,mu_p90,mu_max,mu_mean,mu_std,f_mu_gt_0p8,f_mu_gt_1p0,f_mu_gt_1p2,obs_mu,obs_sigma,f_chi2_le_1,f_chi2_le_4,best_chi2,best_D,best_eta,obs_source
ee,1,1.0,1.0356587865408605e-07,1.7199831669037996e-07,0.008421749934874727,6.399086712108118,32.86745576153772,3.5837272377311904,8.820969784650165,0.23809523809523808,0.23809523809523808,0.23809523809523808,nan,nan,nan,nan,nan,nan,nan,
mumu,2,1.0,2.6370243970438456e-08,6.83707403780938e-08,0.01850390520959254,24.245207726035694,104.01957878217502,9.379220473499997,24.794201384770464,0.38095238095238093,0.2857142857142857,0.2857142857142857,1.4,0.4,0.0,0.14285714285714285,1.2202841448315864,8.8,4.0,"ATLAS Collaboration, arXiv:2507.03595"
tautau,3,1.0,3.054875639651407e-06,5.073422584222526e-06,0.002728808612189334,23.54477458832895,100.64082214793794,8.81852570233557,22.629847744973308,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,
