focus_D,beta_d4p0,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
4.0,1.309,0.2,1.7726299150899285,1.8414344787177772,0.8678315851245463,1.2179024937552234,0.0688045636278487,0.0
4.0,1.309,0.295,1.788839214577394,1.8553977041522351,0.9449745924572791,1.2961691809195433,0.06655848957484123,0.0
4.0,1.309,0.39,1.8051400729350253,1.869411360343974,1.0258654918612358,1.3771689076248776,0.06427128740894861,0.0
4.0,1.309,0.485,1.8215321925459473,1.8834750003050624,1.1105586834537104,1.4609254744998763,0.06194280775911509,0.0
4.0,1.309,0.5800000000000001,1.8380152646426373,1.8975881710511824,1.1991085753747477,1.5474624248128812,0.05957290640854507,0.0
4.0,1.309,0.675,1.8545889693190352,1.9117504136610723,1.2915695689158921,1.636803036764242,0.05716144434203718,0.0
4.0,1.309,0.77,1.8712529755457492,1.9259612633374992,1.3879960435045162,1.7289703158223635,0.054708287791749965,0.0
4.0,1.309,0.865,1.888006941188119,1.9402202494696392,1.488442341548652,1.823986987106496,0.052213308281520154,0.0
4.0,1.309,0.96,1.9048505130274171,1.9545268956969832,1.59296275315029,1.9218754878208313,0.04967638266956609,0.0
4.0,1.309,1.055,1.921783326785036,1.9688807199746967,1.7016115006928731,2.0226579597433085,0.047097393189660774,0.0
4.0,1.309,1.15,1.9388050071496876,1.983281234640386,1.8144427233098437,2.1263562417725805,0.04447622749069846,0.0
4.0,1.309,1.245,1.9559151678076367,1.997727946482298,1.9315104612412064,2.232991862537155,0.041812778674661155,0.0
4.0,1.309,1.34,1.9731134114759505,2.012220356808913,2.052868640085014,2.342586033070207,0.03910694533296266,0.0
4.0,1.309,1.435,1.9903993299387128,2.0267579615199205,2.1785710549505075,2.455159639553789,0.03635863158120767,0.0
4.0,1.309,1.53,2.0077725040863,2.041340251178509,2.3086713545208224,2.570733236135707,0.03356774709220911,0.0
4.0,1.309,1.625,2.0252325039576125,2.0559667110850164,2.4432230250319122,2.689327037823084,0.030734207127403934,0.0
4.0,1.309,1.72,2.042778888785289,2.070636821351888,2.58227937417532,2.8109609134560283,0.027857932566599075,0.0
4.0,1.309,1.815,2.06041120704392,2.0853500569798915,2.725893514932547,2.935654378764629,0.024938849935971508,0.0
4.0,1.309,1.91,2.078128996501164,2.100105887935608,2.874118349347972,3.0634265895131625,0.021976891434444035,0.0
4.0,1.309,2.005,2.095931784271875,2.1149037792301515,3.027006552248975,3.1942963347347084,0.018971994958276284,0.0
4.0,1.309,2.1,2.1138190868751012,2.129743190999092,3.1846105549200217,3.328282030059609,0.015924104123990812,0.0
4.0,1.309,2.1950000000000003,2.131790410294042,2.144623578583578,3.3469825287395145,3.465401711141339,0.012833168289536179,0.0
4.0,1.309,2.29,2.149845250038841,2.159544392612591,3.5141743687863274,3.605673027182685,0.009699142573749597,0.0
4.0,1.309,2.385,2.167983091212325,2.1745050790863396,3.6862376774252383,3.749113234565858,0.006521987874014812,0.0
4.0,1.309,2.4800000000000004,2.1862034085785336,2.1895050794607793,3.8632237478781546,3.8957391905898224,0.0033016708822457552,0.0
4.0,1.309,2.575,2.2045056666341005,2.2045438307331704,4.0451835477898666,4.045567347317527,3.8164099069870616e-05,0.0
4.0,1.309,2.6700000000000004,2.2228893196824795,2.2196207655287057,4.232167702796838,4.198613745536636,0.003268554153773806,0.0
4.0,1.309,2.765,2.241353811910845,2.234735312188143,4.424226480105685,4.35489400883648,0.006618499722701898,0.0
4.0,1.309,2.8600000000000003,2.2598985774698908,2.2498868948564748,4.621409772092137,4.51442333780488,0.010011682613416006,0.0
4.0,1.309,2.955,2.2785230405562373,2.265074933572471,4.823767079926101,4.677216504346346,0.013448106983766195,0.0
4.0,1.309,3.0500000000000003,2.2972266154976024,2.280298844359258,5.031347497233016,4.843287846126531,0.01692777113834465,0.0
4.0,1.309,3.145,2.3160087068406185,2.2955580393157105,5.24419969379889,5.0126512611437475,0.020450667524908095,0.0
4.0,1.309,3.24,2.334868709441267,2.3108519267087737,5.4623718993273735,5.185320202431784,0.02401678273249308,0.0
4.0,1.309,3.3350000000000004,2.3538060085579913,2.3261799110666166,5.685911887258293,5.361307672896037,0.02762609749137468,0.0
4.0,1.309,3.43,2.3728199799472574,2.3415413932725633,5.914866958653639,5.540626220285248,0.031278586674694075,0.0
4.0,1.309,3.5250000000000004,2.391909989961787,2.356935770659859,6.149283926162451,5.723287932302366,0.03497421930192779,0.0
4.0,1.309,3.62,2.411075395651194,2.3723624371071432,6.389209098070114,5.909304431855894,0.03871295854405066,0.0
4.0,1.309,3.715,2.4303155448650973,2.3878207831346545,6.634688262441639,6.098686872454763,0.042494761730442754,0.0
4.0,1.309,3.81,2.449629776358713,2.4033101960011223,6.885766671367763,6.291445933748815,0.04631958035759087,0.0
4.0,1.309,3.905,2.4690174199007586,2.4188300598013246,7.142489025320468,6.487591817217316,0.05018736009943403,0.0
4.0,1.309,4.0,2.4884777963837577,2.4343797555642395,7.4048994576277565,6.687134242007098,0.05409804081951819,0.0
