scope,n_points,chi2_threshold,R_e_over_mu_min,R_e_over_mu_p10,R_e_over_mu_p50,R_e_over_mu_p90,R_e_over_mu_max,R_e_over_mu_mean,R_e_over_mu_std,R_tau_over_mu_min,R_tau_over_mu_p10,R_tau_over_mu_p50,R_tau_over_mu_p90,R_tau_over_mu_max,R_tau_over_mu_mean,R_tau_over_mu_std
all_grid,3600,4.0,7.254055602799285e-44,0.016015237931524085,0.1263722104706848,0.8099921129542248,1.0,0.23785415723358877,0.28804524297748496,0.001138901552647041,0.002592619969896319,0.010099516533475916,0.03841273654578819,1.0,0.08567595837650714,0.25642171340236536
chi2_accept,540,4.0,0.013051669169607245,0.016694878288388927,0.06391473370950157,0.35389343612454643,0.35389362925276674,0.11138818067820438,0.10194196255070938,0.005231181317079099,0.0052311817041509265,0.009715220451745367,0.051743278672061174,0.06692558142198354,0.015999592847189836,0.015689524177984276
