alpha,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
0.65,4.0,1.1685469137401878,1.2000879971083165,1.0
0.65,4.8,1.2116595578459453,1.213831838269762,0.0
0.65,5.6,31.957916197537845,31.961318083741062,0.0
0.65,6.4,19.721748712346326,19.721818664795016,0.0
0.65,7.2,0.9078222345075431,0.9078222897320436,0.0
0.65,8.0,0.32080445609826647,0.3208044562197636,1.0
0.65,8.8,0.3123510398567778,0.31235104004495207,0.0
0.65,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.65,10.4,0.1349397647362906,0.13493976547398556,0.0
0.65,11.2,0.039736839838910576,0.03973684018516886,0.0
0.65,12.0,0.007340172027631924,0.007340173740574562,0.0
0.65,12.8,0.0018768931197162067,0.0018768994424804512,0.0
0.65,13.600000000000001,6.051674193785034e-05,6.051723470362698e-05,0.0
0.65,14.4,1.8853159114969146e-05,1.885332334245914e-05,0.0
0.65,15.200000000000001,3.626305486093835e-06,3.6267865883908716e-06,0.0
0.65,16.0,3.425139654922755e-07,3.427022960745988e-07,0.0
0.65,16.8,1.5878462118212638e-07,1.625079343982236e-07,0.0
0.65,17.6,1.0659400723618875e-08,1.0659400723618875e-08,0.0
0.65,18.4,1.0659400723618875e-08,1.0659400723618875e-08,0.0
0.65,19.200000000000003,1.0659400723618875e-08,1.0659400723618875e-08,0.0
0.65,20.0,1.0659400723618875e-08,1.0659400723618875e-08,0.0
0.675,4.0,1.1323043745019485,1.1628677053667116,1.0
0.675,4.8,1.0150036342861128,1.0168173094986575,0.0
0.675,5.6,30.844249553950423,30.84753266803625,0.0
0.675,6.4,17.170892477677185,17.17094921018755,0.0
0.675,7.2,0.8867271419626759,0.8867272004093043,0.0
0.675,8.0,0.32106951079525164,0.3210695109197963,1.0
0.675,8.8,0.31011520460143965,0.31011520478573606,0.0
0.675,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.675,10.4,0.13462846726274197,0.1346284679984054,0.0
0.675,11.2,0.039691366076056056,0.03969136642472389,0.0
0.675,12.0,0.007340472074452989,0.007340473787654411,0.0
0.675,12.8,0.0018768936833304629,0.0018769000060952798,0.0
0.675,13.600000000000001,6.0516736653008614e-05,6.0517229418752404e-05,0.0
0.675,14.4,1.8853158197447076e-05,1.8853322424964637e-05,0.0
0.675,15.200000000000001,3.6263052214680794e-06,3.626786323804374e-06,0.0
0.675,16.0,3.4251394871490363e-07,3.427022792880035e-07,0.0
0.675,16.8,1.5878461832338783e-07,1.625079314724556e-07,0.0
0.675,17.6,1.0659400195006398e-08,1.0659400195006398e-08,0.0
0.675,18.4,1.0659400195006398e-08,1.0659400195006398e-08,0.0
0.675,19.200000000000003,1.0659400195006398e-08,1.0659400195006398e-08,0.0
0.675,20.0,1.0659400195006398e-08,1.0659400195006398e-08,0.0
0.7,4.0,1.095381643607819,1.1249489011936498,1.0
0.7,4.8,0.820896897648284,0.8223565461355893,0.0
0.7,5.6,29.68300365454353,29.68616315226995,0.0
0.7,6.4,14.458005124285439,14.458047969343994,0.0
0.7,7.2,0.8654624325911251,0.8654624943498375,0.0
0.7,8.0,0.32133453043078486,0.32133453055837613,1.0
0.7,8.8,0.30787543730489014,0.3078754374852968,0.0
0.7,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.7,10.4,0.13431690069168206,0.13431690142531189,0.0
0.7,11.2,0.039645873891761635,0.03964587424284116,0.0
0.7,12.0,0.007340772118353029,0.007340773831813231,0.0
0.7,12.8,0.0018768942469440638,0.0018769005697094531,0.0
0.7,13.600000000000001,6.051673136816665e-05,6.0517224133877585e-05,0.0
0.7,14.4,1.8853157279924972e-05,1.8853321507470095e-05,0.0
0.7,15.200000000000001,3.6263049568423163e-06,3.626786059217868e-06,0.0
0.7,16.0,3.425139319375313e-07,3.427022625014076e-07,0.0
0.7,16.8,1.5878461546464922e-07,1.6250792854668755e-07,0.0
0.7,17.6,1.0659399666393915e-08,1.0659399666393915e-08,0.0
0.7,18.4,1.0659399666393915e-08,1.0659399666393915e-08,0.0
0.7,19.200000000000003,1.0659399666393915e-08,1.0659399666393915e-08,0.0
0.7,20.0,1.0659399666393915e-08,1.0659399666393915e-08,0.0
0.725,4.0,1.0577659553768495,1.0863184756210313,1.0
0.725,4.8,0.6293063036494815,0.6304164454555643,0.0
0.725,5.6,28.47214576753196,28.475176607525384,0.0
0.725,6.4,11.572794389095673,11.572822647727811,0.0
0.725,7.2,0.8440267425748444,0.8440268077368347,0.0
0.725,8.0,0.3215995150095039,0.3215995151401412,1.0
0.725,8.8,0.3056317310520636,0.30563173122856857,0.0
0.725,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.725,10.4,0.13400506479049262,0.1340050655220868,0.0
0.725,11.2,0.03960036327856482,0.03960036363205817,0.0
0.725,12.0,0.007341072159332071,0.007341073873051048,0.0
0.725,12.8,0.0018768948105570094,0.001876901133322971,0.0
0.725,13.600000000000001,6.0516726083324454e-05,6.0517218849002536e-05,0.0
0.725,14.4,1.8853156362402834e-05,1.8853320589975523e-05,0.0
0.725,15.200000000000001,3.6263046922165444e-06,3.6267857946313535e-06,0.0
0.725,16.0,3.4251391516015887e-07,3.4270224571481164e-07,0.0
0.725,16.8,1.5878461260591056e-07,1.6250792562091944e-07,0.0
0.725,17.6,1.0659399137781424e-08,1.0659399137781424e-08,0.0
0.725,18.4,1.0659399137781424e-08,1.0659399137781424e-08,0.0
0.725,19.200000000000003,1.0659399137781424e-08,1.0659399137781424e-08,0.0
0.725,20.0,1.0659399137781424e-08,1.0659399137781424e-08,0.0
0.75,4.0,1.0194443045447252,1.0469630736650366,1.0
0.75,4.8,0.44019923634909264,0.44096433382176947,0.0
0.75,5.6,27.209556316592053,27.21245325234522,0.0
0.75,6.4,8.504314241533798,8.504327182000289,0.0
0.75,7.2,0.8224186971298961,0.8224187657876105,0.0
0.75,8.0,0.3218644645360462,0.3218644646697286,1.0
0.75,8.8,0.30338407891573266,0.303384079088324,0.0
0.75,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.75,10.4,0.13369295932635433,0.1336929600559108,0.0
0.75,11.2,0.039554834229000004,0.039554834584909326,0.0
0.75,12.0,0.007341372197390138,0.007341373911367886,0.0
0.75,12.8,0.001876895374169299,0.001876901696935833,0.0
0.75,13.600000000000001,6.051672079848202e-05,6.0517213564127256e-05,0.0
0.75,14.4,1.885315544488066e-05,1.8853319672480914e-05,0.0
0.75,15.200000000000001,3.6263044275907656e-06,3.626785530044832e-06,0.0
0.75,16.0,3.425138983827863e-07,3.427022289282155e-07,0.0
0.75,16.8,1.5878460974717193e-07,1.6250792269515133e-07,0.0
0.75,17.6,1.0659398609168928e-08,1.0659398609168928e-08,0.0
0.75,18.4,1.0659398609168928e-08,1.0659398609168928e-08,0.0
0.75,19.200000000000003,1.0659398609168928e-08,1.0659398609168928e-08,0.0
0.75,20.0,1.0659398609168928e-08,1.0659398609168928e-08,0.0
0.775,4.0,0.9804034417673068,1.0068690897091397,1.0
0.775,4.8,0.25354350259632347,0.25396796112349485,0.0
0.775,5.6,25.893025170596598,25.895782742142508,0.0
0.775,6.4,5.240949430879878,5.240950058518514,0.0
0.775,7.2,0.8006369104182807,0.8006369826654325,0.0
0.775,8.0,0.32212937901504873,0.32212937915177564,1.0
0.775,8.8,0.30113247395648784,0.30113247412515354,0.0
0.775,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.775,10.4,0.13338058406624662,0.1333805847937633,0.0
0.775,11.2,0.03950928673559863,0.039509287093926065,0.0
0.775,12.0,0.0073416722325272635,0.0073416739467637784,0.0
0.775,12.8,0.0018768959377809334,0.00187690226054804,0.0
0.775,13.600000000000001,6.0516715513639347e-05,6.051720827925173e-05,0.0
0.775,14.4,1.8853154527358453e-05,1.885331875498627e-05,0.0
0.775,15.200000000000001,3.6263041629649767e-06,3.6267852654583007e-06,0.0
0.775,16.0,3.425138816054135e-07,3.4270221214161914e-07,0.0
0.775,16.8,1.5878460688843322e-07,1.6250791976938317e-07,0.0
0.775,17.6,1.065939808055643e-08,1.065939808055643e-08,0.0
0.775,18.4,1.065939808055643e-08,1.065939808055643e-08,0.0
0.775,19.200000000000003,1.065939808055643e-08,1.065939808055643e-08,0.0
0.775,20.0,1.065939808055643e-08,1.065939808055643e-08,0.0
0.8,4.0,0.9406298690398042,0.9660226628004982,0.8
0.8,4.8,0.0693073265497599,0.06939549528629563,0.0
0.8,5.6,24.520247774835777,24.522860300084638,0.0
0.8,6.4,1.7704071762455798,1.770411181362519,0.0
0.8,7.2,0.7786799854590526,0.7786800613906357,0.0
0.8,8.0,0.3223942584511468,0.3223942585909172,1.0
0.8,8.8,0.29887690922271587,0.29887690938744393,0.0
0.8,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.8,10.4,0.13306793877694745,0.1330679395024223,0.0
0.8,11.2,0.0394637207908891,0.039463721151636794,0.0
0.8,12.0,0.007341972264743477,0.007341973979238754,0.0
0.8,12.8,0.0018768965013919124,0.0018769028241595914,0.0
0.8,13.600000000000001,6.051671022879643e-05,6.0517202994375964e-05,0.0
0.8,14.4,1.8853153609836213e-05,1.8853317837491597e-05,0.0
0.8,15.200000000000001,3.6263038983391815e-06,3.6267850008717625e-06,0.0
0.8,16.0,3.425138648280404e-07,3.4270219535502257e-07,0.0
0.8,16.8,1.5878460402969446e-07,1.6250791684361496e-07,0.0
0.8,17.6,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,18.4,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,19.200000000000003,1.065939755194392e-08,1.065939755194392e-08,0.0
0.8,20.0,1.065939755194392e-08,1.065939755194392e-08,0.0
0.825,4.0,0.9001098350299727,0.9244096718580668,0.8
0.825,4.8,0.11254065573206554,0.11278448314670086,0.0
0.825,5.6,23.088821116952023,23.09128268267758,0.0
0.825,6.4,1.92090020350917,1.920937955983618,0.0
0.825,7.2,0.7565465140387274,0.7565465937510316,0.0
0.825,8.0,0.32265910284897636,0.32265910299178957,1.0
0.825,8.8,0.2966173777505777,0.2966173779113561,0.0
0.825,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.825,10.4,0.13275502322503324,0.13275502394846417,0.0
0.825,11.2,0.039418136387396774,0.039418136750566865,0.0
0.825,12.0,0.007342272294038802,0.007342274008792837,0.0
0.825,12.8,0.001876897065002236,0.0018769033877704872,0.0
0.825,13.600000000000001,6.051670494395329e-05,6.0517197709499966e-05,0.0
0.825,14.4,1.8853152692313943e-05,1.885331691999689e-05,0.0
0.825,15.200000000000001,3.6263036337133757e-06,3.626784736285214e-06,0.0
0.825,16.0,3.425138480506672e-07,3.427021785684258e-07,0.0
0.825,16.8,1.587846011709557e-07,1.6250791391784675e-07,0.0
0.825,17.6,1.0659397023331404e-08,1.0659397023331404e-08,0.0
0.825,18.4,1.0659397023331404e-08,1.0659397023331404e-08,0.0
0.825,19.200000000000003,1.0659397023331404e-08,1.0659397023331404e-08,0.0
0.825,20.0,1.0659397023331404e-08,1.0659397023331404e-08,0.0
0.85,4.0,0.858829330323708,0.8820157307907572,0.8
0.85,4.8,0.2920314016300519,0.2926029863633346,0.0
0.85,5.6,21.59623952052717,21.598543972988296,0.0
0.85,6.4,5.846503696882662,5.846560049541104,0.0
0.85,7.2,0.7342350766209622,0.7342351602115871,0.0
0.85,8.0,0.32292391221317207,0.3229239123590273,1.0
0.85,8.8,0.2943538725639874,0.29435387272080393,0.0
0.85,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.85,10.4,0.13244183717687855,0.13244183789826353,0.0
0.85,11.2,0.039372533517643984,0.03937253388323862,0.0
0.85,12.0,0.00734257232041327,0.007342574035426059,0.0
0.85,12.8,0.0018768976286119038,0.0018769039513807275,0.0
0.85,13.600000000000001,6.051669965910989e-05,6.0517192424623724e-05,0.0
0.85,14.4,1.8853151774791635e-05,1.8853316002502147e-05,0.0
0.85,15.200000000000001,3.626303369087563e-06,3.626784471698659e-06,0.0
0.85,16.0,3.425138312732939e-07,3.42702161781829e-07,0.0
