case,g_mode,g_fp_blend,n_max,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,mean_tail_prob,max_tail_prob,ref_n_max,delta_f_R3_gt_0p90_vs_ref,delta_f_hmumu_chi2_le_4_vs_ref,delta_f_winner_gt_3_vs_ref
baseline_fp_2d_full,fp_2d_full,1.0,20,0.9272222222222222,0.9263888888888889,0.15,2.2079807637329057e-05,0.0002777777777777778,0.0890926060351153,1.0,40,0.0,0.0,0.0
baseline_fp_2d_full,fp_2d_full,1.0,30,0.9272222222222222,0.9263888888888889,0.15,2.2079807637329057e-05,0.0002777777777777778,0.08909260603511532,1.0,40,0.0,0.0,0.0
baseline_fp_2d_full,fp_2d_full,1.0,40,0.9272222222222222,0.9263888888888889,0.15,2.2079807637329057e-05,0.0002777777777777778,0.08909260603511532,1.0,40,0.0,0.0,0.0
first_principles_fp_2d,fp_2d,0.01,20,0.9272222222222222,0.915,0.14916666666666667,2.4910079732809114e-05,0.0002777777777777778,0.08171568826013163,1.0,40,0.0,0.0,0.0
first_principles_fp_2d,fp_2d,0.01,30,0.9272222222222222,0.915,0.14916666666666667,2.4910079732809114e-05,0.0002777777777777778,0.08171568996025205,1.0,40,0.0,0.0,0.0
first_principles_fp_2d,fp_2d,0.01,40,0.9272222222222222,0.915,0.14916666666666667,2.4910079732809114e-05,0.0002777777777777778,0.08171568996025243,1.0,40,0.0,0.0,0.0
