gap_id,status,priority,label,why_open,target_statement
derive_projected_hessian,OPEN,1,Derive the projected 2x2 kernel from the EYMH fluctuation Hessian,"The audits show the projected log-det / Schur form is exact and uniquely selected, but they still start from exported witnesses rather than a parent-action-side Hessian reduction.","Show that the low-mode projected fluctuation operator of the parent EYMH action reduces to the observed participation block, shell-background/tree block, and background-normalized Schur response."
derive_geomean_mixed_entry,OPEN,2,Explain the geometric-mean mixed block from symmetry/minimality,"The geometric-mean mixed entry is uniquely selected by the minimal symmetric-excess and ratio-warp rejection audits, but it is not yet derived as the unavoidable mixed bilinear of the parent action.",Derive why the mixed block must scale as sqrt((K11-1)(K22-Kbg)) once the parent block is projected and normalized.
derive_linear_excess_coordinates,OPEN,3,Derive linear excess variables as natural fixed-point normal coordinates,"The excess-coordinate, Box-Cox, and normal-coordinate audits uniquely select the identity/background anchors and zero-second-jet coordinates, but this remains an exact selection statement rather than a parent-action derivation.",Show that the parent action naturally organizes the projected kernel around identity/background fixed points in zero-second-jet tangent-normalized linear excess coordinates.
