beta,norm_lo,norm_hi,side_lo,side_hi,objective,global_max_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch
0.15,0.8,1.2,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,0.8,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,0.8,1.2,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,0.8,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,0.8,1.2,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,0.8,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,1.0,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,1.0,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.15,1.0,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.2,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.2,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.2,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,0.8,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,1.0,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,1.0,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.3,1.0,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.2,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.2,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.2,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,0.8,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,1.0,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,1.0,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.45,1.0,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.2,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.2,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.2,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,0.8,1.4,0.08,0.2,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,1.0,1.4,0.02,0.12,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
0.6,1.0,1.4,0.05,0.15,71.166517748727,106.09235690795059,106.09235690795059,11.552547774642058,1.4225558630165218,1.9888941834723983,0.6097560975609756
