alpha,beta,lambda,j_exact,gamma_var,abs_gap,rel_gap
0.9,0.9,-0.2,0.0008613978550933431,0.0007503863840490384,0.00011101147104430474,0.12887363300002097
0.9,0.9,-0.1,0.0008020372600165014,0.0007481402670754132,5.3896992941088184e-05,0.06720011105217143
0.9,0.9,-0.05,0.0007875735287487833,0.0007479998847645616,3.957364398422174e-05,0.050247554723039406
0.9,0.9,0.0,0.0007827855356371696,0.0007479905259438382,3.479500969333143e-05,0.044450246088169075
0.9,0.9,0.05,0.0007875735287487833,0.0007479998847645616,3.957364398422174e-05,0.050247554723039406
0.9,0.9,0.1,0.0008020372600165014,0.0007481402670754132,5.3896992941088184e-05,0.06720011105217143
0.9,0.9,0.2,0.0008613978550933431,0.0007503863840490384,0.00011101147104430474,0.12887363300002097
0.9,0.95,-0.2,0.0004605569287196205,0.00039155386147947017,6.900306724015034e-05,0.14982527226760772
0.9,0.95,-0.1,0.00041623863985214797,0.00038930774450584497,2.6930895346303e-05,0.06470061346507647
0.9,0.95,-0.05,0.00040554532818736465,0.0003891673621949934,1.6377965992371254e-05,0.040385044171448385
0.9,0.95,0.0,0.00040201499903032376,0.00038915800337426996,1.2856995656053806e-05,0.03198138300079697
0.9,0.95,0.05,0.00040554532818736465,0.0003891673621949934,1.6377965992371254e-05,0.040385044171448385
0.9,0.95,0.1,0.00041623863985214797,0.00038930774450584497,2.6930895346303e-05,0.06470061346507647
0.9,0.95,0.2,0.0004605569287196205,0.00039155386147947017,6.900306724015034e-05,0.14982527226760772
0.9,1.0,-0.2,0.00018931604758793533,0.00015126374702793127,3.805230056000406e-05,0.2009988114838979
0.9,1.0,-0.1,0.00016083484365319326,0.0001490176300543061,1.1817213598887152e-05,0.07347421323931837
0.9,1.0,-0.05,0.00015410819436025458,0.00014887724774345453,5.230946616800058e-06,0.03394333856492936
0.9,1.0,0.0,0.00015190072610767814,0.0001488678889227311,3.0328371849470525e-06,0.019965916310348376
0.9,1.0,0.05,0.00015410819436025458,0.00014887724774345453,5.230946616800058e-06,0.03394333856492936
0.9,1.0,0.1,0.00016083484365319326,0.0001490176300543061,1.1817213598887152e-05,0.07347421323931837
0.9,1.0,0.2,0.00018931604758793533,0.00015126374702793127,3.805230056000406e-05,0.2009988114838979
0.9,1.05,-0.2,4.27740943199769e-05,2.9516040694422583e-05,1.3258053625554315e-05,0.3099552155651925
0.9,1.05,-0.1,3.081396306186136e-05,2.7269923720797412e-05,3.5440393410639507e-06,0.11501407118419087
0.9,1.05,-0.05,2.822253888327036e-05,2.7129541409945837e-05,1.0929974733245212e-06,0.038727822392067776
0.9,1.05,0.0,2.739390353180189e-05,2.71201825892224e-05,2.7372094257949205e-07,0.009992038639609223
