combo_id,mode,peak,center_D,width_D,s_min,power,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,joint_objective
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,31.28593012120719,74.42612637917533,2.102217055050133,2.1362617798819814,-9.703758147217181,-0.011425565678992871,0.22857142857142856,0.3333333333333333,0.0,74.69848417783012
2,partial_cloud,0.5,6.169492525423729,0.05,0.75,2.0,31.28593012120719,75.84673923108119,2.102217055050133,2.135882774037436,-9.986165202132776,-0.011299193622542622,0.22857142857142856,0.3333333333333333,0.0,76.11606498297961
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,31.28593012120719,74.42612638797985,2.102217055050133,3.147826446856725,-10.601739667931376,-0.34829867391367136,0.2,0.3333333333333333,0.0,82.7910015224326
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,31.28593012120719,85.25292464613788,2.102217055050133,2.1360470735652712,-11.727784367043201,-0.011350755834152878,0.22857142857142856,0.3333333333333333,0.0,85.52356479425899
1,partial_cloud,0.5,6.169492525423729,0.05,0.6,2.0,31.28593012120719,92.45237201557781,2.102217055050133,2.1356152203854912,-13.139824766263779,-0.011204409135657619,0.22857142857142856,0.3333333333333333,0.0,92.71955733826067
4,partial_cloud,0.5,6.169492525423729,0.12,0.75,2.0,31.28593012120719,75.84673923934045,2.102217055050133,5.502707366347584,-11.080706704410034,-1.1330340186285972,0.2,0.3333333333333333,0.0,103.05066172972006
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,31.28593012120719,85.2529246570745,2.102217055050133,4.749713620032166,-12.857312606381596,-0.8605600576168073,0.2,0.3333333333333333,0.0,106.43289717693077
10,partial_cloud,1.0,6.169492525423729,0.05,0.75,2.0,31.28593012120719,125.8186889688624,2.102217055050133,2.1347105912504203,-19.97233040837431,-0.010908382484996221,0.22857142857142856,0.3333333333333333,0.0,126.07863725846471
26,pointamp_cloud,1.0,6.169492525423729,0.05,0.75,2.0,31.28593012120719,132.41660036526523,2.102217055050133,2.135468597491645,-21.293297042369193,-0.011161124781336967,0.22857142857142856,0.3333333333333333,0.0,132.68261270479732
3,partial_cloud,0.5,6.169492525423729,0.12,0.6,2.0,31.28593012120719,92.45237202658161,2.102217055050133,7.461931962960859,-14.751595899319582,-1.750528202267404,0.2,0.3333333333333333,0.0,135.33009128986743
25,pointamp_cloud,1.0,6.169492525423729,0.05,0.6,2.0,31.28593012120719,158.21678617620265,2.102217055050133,2.1350391815096748,-26.113032348619967,-0.011011503918268323,0.22857142857142856,0.3333333333333333,0.0,158.479363187879
9,partial_cloud,1.0,6.169492525423729,0.05,0.6,2.0,31.28593012120719,159.02995453785564,2.102217055050133,2.1341754839465197,-26.27964953663632,-0.01071881351122685,0.22857142857142856,0.3333333333333333,0.0,159.28562196902675
28,pointamp_cloud,1.0,6.169492525423729,0.12,0.75,2.0,31.28593012120719,132.41660038599443,2.102217055050133,8.664008672953745,-23.11420347449553,-2.1866853179679744,0.2,0.3333333333333333,0.0,184.91093332922333
12,partial_cloud,1.0,6.169492525423729,0.12,0.75,2.0,31.28593012120719,125.81868898538093,2.102217055050133,13.142400555149756,-22.161413412928827,-3.6790582918871806,0.2,0.3333333333333333,0.0,214.1401569861779
