surface,n_points,frac_acceptance_flip,max_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_grad_log_mu_rt,p95_grad_log_mu_rt,max_curv_log_mu_rt,p95_curv_log_mu_rt,risk_score_p95,n_high_anchor_candidates,high_anchor_D_min,high_anchor_D_max,high_anchor_D_count,worst_D,worst_eta,worst_abs_delta_mu_mumu,worst_boundary_proximity,worst_risk_score
D21E41,861,0.0,0.3638568990433555,0.31562754195618936,1.876562538592852,1.818999004818479,2.148259878716649,1.6955731133576997,0.8760450837495216,44,5.6,6.4,2,5.6,0.2,0.36355354921352045,0.0,0.8888990030637048
D60E21,1260,0.0,2.9358317578355013,1.0062712124073725,4.191864052682187,2.020307934440125,6.863397085502894,4.9965926672687395,0.8357034396288401,63,5.627118644067797,6.711864406779661,3,5.627118644067797,4.0,2.9358317578355013,0.0,1.701405361735674
