layer,mode,p95_abs_delta_log_amp_point,p95_abs_delta_log_amp_ref,p95_abs_delta_log_partial,p95_abs_delta_log_width,p95_abs_delta_log_mu,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_path_closure_residual,max_abs_path_closure_residual,max_abs_mu_identity_residual,dominant_fraction_partial,dominant_fraction_width,acceptance_mismatch,corr_abs_mu_vs_abs_delta_log_partial,corr_abs_mu_vs_abs_delta_log_width
1,cell_direct_runtime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,release_tuned,0.013265128967346725,0.0035166395371815616,0.03356353700905696,0.00582549005054666,0.034120030693512556,0.3757889401845347,0.7373905552736808,1.7902346272080647e-16,2.220446049250313e-16,0.0,0.9047619047619048,0.09523809523809523,0.0,0.4514488034502817,0.36454333748423107
1,release_sumanchor,0.804342580193015,0.026717327053518147,1.6621198144930664,1.6734908320771351,1.5224059529906413,10.920015490430586,12.889272425910134,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.8095238095238095,0.19047619047619047,0.0,0.3717043203460541,0.7444463926973595
1,release_eftsumanchor,0.804342580193015,0.026717327053518147,1.6621198144930664,1.6734908320771351,1.5224059529906413,10.920015490430586,12.889272425910134,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.8095238095238095,0.19047619047619047,0.0,0.3717043203460541,0.7444463926973595
1,release_fullsumanchor,0.804342580193015,0.026717327053518147,1.6621198144930664,1.6734908320771351,1.5224059529906413,10.920015490430586,12.889272425910134,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.8095238095238095,0.19047619047619047,0.0,0.3717043203460541,0.7444463926973595
1,tailm2_detlin,0.8042275533259303,0.026717327053518147,1.6618897607588972,0.33872435612485013,1.5221818343375222,19.780947741855144,58.7703861176806,2.220446049250313e-16,4.440892098500626e-16,0.0,0.8571428571428571,0.14285714285714285,0.0,0.33589492484582656,0.11147327169639024
2,cell_direct_runtime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,release_tuned,0.01125818504848304,0.0024917571545870557,0.01753285578779188,0.00582549005054666,0.017639782003260628,0.3107841041832572,1.0145871023443789,2.220446049250313e-16,4.0679265511656126e-16,0.0,0.8095238095238095,0.19047619047619047,0.0,-0.1710969270601349,0.9341357953446568
2,release_sumanchor,0.33777512120048986,0.10644189811252298,0.5613987451559262,1.6734908320771351,1.8879922399153746,49.24087962881938,51.78203746770311,2.220446049250313e-16,4.440892098500626e-16,0.0,0.7619047619047619,0.23809523809523808,0.14285714285714285,-0.004428760938549311,0.9537308361426248
2,release_eftsumanchor,0.33777512120048986,0.10644189811252298,0.5613987451559262,1.6734908320771351,1.8879922399153746,49.24087962881938,51.78203746770311,2.220446049250313e-16,4.440892098500626e-16,0.0,0.7619047619047619,0.23809523809523808,0.14285714285714285,-0.004428760938549311,0.9537308361426248
2,release_fullsumanchor,0.33777512120048986,0.10644189811252298,0.5613987451559262,1.6734908320771351,1.8879922399153746,49.24087962881938,51.78203746770311,2.220446049250313e-16,4.440892098500626e-16,0.0,0.7619047619047619,0.23809523809523808,0.14285714285714285,-0.004428760938549311,0.9537308361426248
2,tailm2_detlin,0.33777512120048986,0.10644189811252298,0.5028511018130546,0.33872435612485013,1.471704664763902,7.905935701647654,66.14646155556899,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.8095238095238095,0.19047619047619047,0.02857142857142857,-0.12682915449773635,0.9833620996146957
3,cell_direct_runtime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,release_tuned,0.006739739858332868,0.00406501828313594,0.018824114233032065,0.00582549005054666,0.011517099994767828,0.02210877601330772,0.02273497426327431,2.3626933742804106e-16,3.0531133177191805e-16,0.0,1.0,0.0,0.0,0.2864646996421822,0.6638425321738016
3,release_sumanchor,0.638000327573175,0.3727046656841417,1.950049068072539,1.6734908320771351,1.130937170624731,1.8747054968523766,3.607948888206824,2.220446049250313e-16,3.3306690738754696e-16,0.0,1.0,0.0,0.0,0.6369167131142308,0.7997456438424376
3,release_eftsumanchor,0.638000327573175,0.3727046656841417,1.950049068072539,1.6734908320771351,1.130937170624731,1.8747054968523766,3.607948888206824,2.220446049250313e-16,3.3306690738754696e-16,0.0,1.0,0.0,0.0,0.6369167131142308,0.7997456438424376
3,release_fullsumanchor,0.638000327573175,0.3727046656841417,1.950049068072539,1.6734908320771351,1.130937170624731,1.8747054968523766,3.607948888206824,2.220446049250313e-16,3.3306690738754696e-16,0.0,1.0,0.0,0.0,0.6369167131142308,0.7997456438424376
3,tailm2_detlin,0.638000327573175,0.3727046656841417,1.950049068072539,0.33872435612485013,1.9338483338445531,80.53037870075437,118.04555672147961,2.220446049250313e-16,4.440892098500626e-16,0.0,0.9523809523809523,0.047619047619047616,0.0,0.7128685963519932,0.3852115854645454
