row_type,case,y2_raw_ref,amp_abs,amp_over_release,y2_over_release,n_points,f_hmumu_chi2_le_4,best_chi2,best_mu_mumu,best_D,best_eta,strict_adoption_safe,y2_raw_release,y2_raw_direct,rel_y2_direct_vs_release,amp_abs_release,amp_abs_direct,rel_amp_direct_vs_release,mean_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,acceptance_mismatch,acceptance_gain_fraction,acceptance_loss_fraction,n_acceptance_flips,n_acceptance_gains,n_acceptance_losses,f_hmumu_chi2_le_4_release,f_hmumu_chi2_le_4_direct,delta_f_hmumu_chi2_le_4,adoption_verdict
case,release_interpolated_y2,0.0001659813802779,520717137.269355,1.0,1.0,441,0.09523809523809523,0.21091053929442585,1.5836999898941426,8.8,4.0,True,,,,,,,,,,,,,,,,,,,
case,direct_inserted_history_y2,0.000184400649653,421886589.8045907,0.8102030058333926,1.1109719014522044,441,0.14285714285714285,0.03284202092394336,1.3275105294002574,8.8,0.2,False,,,,,,,,,,,,,,,,,,,
delta,direct_inserted_history_y2_minus_release,,,,,441,,,,,,False,0.0001659813802779,0.000184400649653,0.11097190145220437,520717137.269355,421886589.8045907,-0.18979699416660745,0.24504398546954703,0.8176932633664507,3.137008780667415,0.047619047619047616,0.047619047619047616,0.0,21.0,21.0,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,diagnostic_only_acceptance_topology_changes
