family_label,c4_target,c4_proxy,abs_c4_gap,rel_c4_gap,corr_xi,corr_quartic,p95_abs_xi_resid,p95_abs_quartic_resid,max_abs_xi_resid,max_abs_quartic_resid,mean_xi_proxy,mean_xi_target,rank_score,n_components,coeff_1,coeff_2,component_1,component_2
blend::hk_curv_screen_offdiag:over_diag+action_abs_offdiag:over_diag,0.0014974113157501156,0.0013835344611219963,0.00011387685462811931,0.07604914790634773,0.6311804657835947,0.34026286407358836,0.04300229418204202,0.0010730859422860392,0.08786461175823998,0.0014732532603991054,0.11103899038901922,0.11592162866948753,0.011937536342424662,2,0.10493385184079407,0.4778341749501214,hk_curv_screen_offdiag:over_diag,action_abs_offdiag:over_diag
blend::hk_abs_offdiag:over_diag+action_abs_offdiag:over_diag,0.0014974113157501156,0.0014042550185728536,9.315629717726202e-05,0.062211562178956924,0.7377756888520458,0.38613821454253805,0.043912492463348704,0.0009500102736461726,0.04790671565243779,0.0009829271541226428,0.11312078269813346,0.11592162866948753,0.012021289686660611,2,0.12747218785973063,0.4350636787276383,hk_abs_offdiag:over_diag,action_abs_offdiag:over_diag
single::hk_curv_screen_offdiag:over_diag,0.0014974113157501156,0.0013347887039296513,0.00016262261182046437,0.10860249960045208,0.5843717750894655,0.07945828147452479,0.06948186484386186,0.0012069323855451717,0.0872970220877528,0.001468556160250192,0.1098398849110263,0.11592162866948753,0.0187400212083311,1,0.19977205129009548,,hk_curv_screen_offdiag:over_diag,
blend::hk_curv_screen_offdiag:over_diag+hk_abs_offdiag:over_diag,0.0014974113157501156,0.0013585063767422715,0.00013890493900784416,0.09276338274381271,0.9747446183402686,0.050031414547147976,0.07324378909876908,0.001341163160386241,0.07334179104603855,0.0013447545784601952,0.11198062521292222,0.11592162866948753,0.019791015374086354,2,0.026110988385654732,0.19278070170642403,hk_curv_screen_offdiag:over_diag,hk_abs_offdiag:over_diag
single::hk_abs_offdiag:over_diag,0.0014974113157501156,0.001357982510932354,0.00013942880481776173,0.09311323038046901,0.9915850396810143,0.06690597667179114,0.07370018238219384,0.0013579292207921586,0.07370018460153772,0.0013579293025751846,0.11196528227899842,0.11592162866948753,0.01992240362115838,1,0.2211005342805654,,hk_abs_offdiag:over_diag,
single::action_abs_offdiag:over_diag,0.0014974113157501156,0.0013321798214191857,0.00016523149433092998,0.11034476138452223,0.5597419507626907,0.2652511343100896,0.09145493628973411,0.0015002453009502047,0.09564194127877435,0.001559553123737607,0.1041353562555134,0.11592162866948753,0.024529210867714663,1,0.9328094103404673,,action_abs_offdiag:over_diag,
