zeta_part,zeta_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
0.0,0.0,0.0328883508855363,0.11980197819140737,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0
0.125,0.0,0.03288982037119414,0.11980197819140737,0.000990200241782535,0.0006585315928335778,0.00011822974383268736,0.001399514948179328,0.00947186852082002,0.9998312265051761,0.0,0.0,0.0020994781304852217,0.009634856104015432
-0.125,0.0,0.03288688260250914,0.11980197819140737,0.000990200241782091,0.0006585315928337998,0.00011816218377846965,0.0013995149481793277,0.00947186852082002,0.9997921111491205,0.0,0.0,0.002114170160138984,0.00995759314907646
0.25,0.0,0.03289129106052667,0.11980197819140737,0.001980400483564626,0.0013170631856675996,0.00023652711212407418,0.0027990298963586555,0.018943737041640013,0.9993874955004326,0.0,0.0,0.004184566338168383,0.018976459311819627
-0.25,0.0,0.03288541552107003,0.11980197819140737,0.001980400483564182,0.0013170631856675996,0.00023625687182127209,0.002799029896358655,0.018943737041639985,0.9990699594086356,0.0,0.0,0.004243345177993463,0.020272706504912752
0.5,0.0,0.032894236054397855,0.11980197819140737,0.003960800967128808,0.002634126371334977,0.00047332498013086255,0.005598059792717311,0.03788747408327997,0.9979585519542511,0.0,0.0,0.008312730820810244,0.03687748212356706
-0.5,0.0,0.03288248495879151,0.11980197819140737,0.003960800967128808,0.002634126371334977,0.0004722440175458642,0.005598059792717311,0.03788747408327996,0.9952637643913516,0.0,0.0,0.00854801798277438,0.04215029158458555
-1.0,0.125,0.03287799538822617,0.11980197819140737,0.007292627895613357,0.004772769591838255,0.0008686617291827625,0.009942748096348507,0.06975842832979795,0.9647528298476148,0.0,0.0,0.008619988965688968,0.09111316379365259
1.0,-0.125,0.03289776460171272,0.11980197819140737,0.005885625797897198,0.0038519359878541604,0.0007037375845311278,0.008652243842394193,0.05629959615045835,0.9925541012182761,0.0,0.0,0.009419108016928246,0.06700675316770283
-0.5,0.125,0.032884094287965966,0.11980197819140737,0.0029800764040550654,0.0019503556531637045,0.0003554132596049753,0.004118840144558014,0.028506246201683044,0.9941197984089768,0.0,0.0,0.012778127974958975,0.04003805771242497
0.5,-0.125,0.032892118435818136,0.11980197819140737,0.00227657535519743,0.0014899388511719902,0.0002973592854196294,0.0035287145005403753,0.022631994314728926,0.9967909460967366,0.0,0.0,0.015088264349881753,0.034088281020913935
