mode,D,slice_p95_abs_delta_log_partial,slice_p95_abs_delta_log_width,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_dominant_fraction_partial,slice_dominant_fraction_width,slice_acceptance_mismatch
cell_direct_runtime,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,9.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,13.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,15.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,19.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_direct_runtime,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_eftsumanchor,4.0,0.2128837962475409,0.7440368401364676,1.9088192713612009,1.960338806498766,0.0,1.0,1.0
release_eftsumanchor,4.8,0.09942671221994316,0.5220172048147521,7.3387523791222184,7.352066063976986,0.0,1.0,0.0
release_eftsumanchor,5.6,0.21450140783824,1.6734908320771351,49.24087962881938,49.246163058758064,0.0,1.0,0.0
release_eftsumanchor,6.4,0.4626664461759334,2.4633983026630615,51.78178065267282,51.78203746770311,0.0,1.0,0.0
release_eftsumanchor,7.2,0.1850374444585904,0.3203381602759484,1.4009786191128535,1.400978619251136,0.0,1.0,1.0
release_eftsumanchor,8.0,0.15036077784400592,0.005291552522931736,0.3139007121985153,0.31390071224049976,1.0,0.0,1.0
release_eftsumanchor,8.8,0.1950874297206595,0.07028402861733679,0.36912497796711585,0.3691249782520316,1.0,0.0,0.0
