row_type,case,gamma_eta_mode_active,n_points,eta_eff_min,eta_eff_max,f_R3_ge_0p90,f_R3_ge_0p95,f_hmumu_chi2_le_4,best_chi2,best_D,best_eta,winner_gt_3_fraction,acceptance_mismatch,winner_mismatch,max_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_R3,p95_abs_delta_R3
case,baseline_eta_scan,scan,1260,0.2,4.0,0.926984126984127,0.9253968253968254,0.15,0.0005096471648422107,4.0,0.2,0.0,,,,,,
case,eta_scaled_amp_profile,scaled_amp,1260,0.19992251513670709,4.677883302538805,0.926984126984127,0.9261904761904762,0.15,0.00017353651210241097,4.0,0.2,0.0,,,,,,
case,eta_scaled_prob_profile,scaled_prob,1260,0.19984506033364946,5.47064804804284,0.926984126984127,0.9261904761904762,0.15,4.676382179615634e-06,4.0,0.2,0.0,,,,,,
case,eta_closed_amp_profile,closed_amp,1260,0.9996125756835353,1.1694708256347013,0.9166666666666666,0.9166666666666666,0.15,0.0013887860867123417,9.423728813559322,0.2,0.0,,,,,,
case,eta_closed_prob_profile,closed_prob,1260,0.9992253016682472,1.36766201201071,0.9166666666666666,0.9166666666666666,0.15,0.001388787459338508,9.423728813559322,0.2,0.0,,,,,,
delta,eta_scaled_amp_profile_minus_baseline,scaled_amp-vs-scan,1260,0.19992251513670709,4.677883302538805,,,,,,,,0.0,0.0,0.08450660687167644,0.00978955209078698,0.0014033443972151227,3.231584142966977e-05
delta,eta_scaled_prob_profile_minus_baseline,scaled_prob-vs-scan,1260,0.19984506033364946,5.47064804804284,,,,,,,,0.0,0.0,0.18453532523868343,0.020734141034895757,0.00291993080054731,6.839160516725049e-05
delta,eta_closed_amp_profile_minus_baseline,closed_amp-vs-scan,1260,0.9996125756835353,1.1694708256347013,,,,,,,,0.0,0.005555555555555556,0.33877732591285237,0.04556168829172242,0.962973173861792,0.00119392635825463
delta,eta_closed_prob_profile_minus_baseline,closed_prob-vs-scan,1260,0.9992253016682472,1.36766201201071,,,,,,,,0.0,0.005555555555555556,0.31594249416722553,0.04403547765129854,0.962973173861792,0.001169167918466123
