peak2,center2_D,sigma2_D,D,eta,target_mu,mu_new,delta_mu,extra_refamp2_beta
0.25,5.95,0.08,5.898305084745763,0.2,90.79702562735869,61.01010202001263,-29.78692360734606,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,0.39,90.79862216474444,61.01296953780106,-29.78565262694338,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,0.5800000000000001,90.80021867571749,61.01583733950902,-29.78438133620847,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,0.77,90.80181516046262,61.018704877192505,-29.78311028327012,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,0.96,90.80341161896216,61.02157263434442,-29.781838984617735,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,1.15,90.80500805110192,61.02443982913722,-29.7805682219647,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,1.34,90.8066044569945,61.02730708208152,-29.779297374912986,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,1.53,90.80820083658355,61.030174618874454,-29.778026217709098,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,1.72,90.80979718986694,61.03304243956815,-29.776754750298792,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,1.91,90.81139351683984,61.03591054420524,-29.775482972634606,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,2.1,90.81298981754493,61.038777723731485,-29.774212093813446,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,2.29,90.81458609192988,61.04164409874189,-29.77294199318799,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,2.4800000000000004,90.81618234001765,61.04451075738221,-29.771671582635435,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,2.6700000000000004,90.81777856178608,61.04737769969049,-29.77040086209559,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,2.8600000000000003,90.8193747572609,61.050244925719824,-29.76912983154108,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,3.0500000000000003,90.82097092640565,61.05311243550848,-29.76785849089717,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,3.24,90.82256706925467,61.055980229108044,-29.76658684014663,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,3.43,90.8241631857692,61.05884830654967,-29.765314879219524,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,3.62,90.82575927598117,61.061716667895226,-29.764042608085944,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,3.81,90.82735533987562,61.0645853131831,-29.76277002669252,0.20289375340826735
0.25,5.95,0.08,5.898305084745763,4.0,90.82895137743073,61.06745424245481,-29.76149713497592,0.20289375340826735
0.25,5.95,0.08,6.169491525423729,0.2,86.94702113806258,72.1041954290182,-14.842825709044376,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,0.39,86.94756859275853,72.10672048132531,-14.840848111433218,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,0.5800000000000001,86.94811604148249,72.10924572180589,-14.838870319676602,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,0.77,86.94866348396428,72.1117706928276,-14.836892791136677,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,0.96,86.9492109206282,72.1142957982623,-14.8349151223659,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,1.15,86.94975835121514,72.11682038532979,-14.83293796588535,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,1.34,86.95030577588408,72.11934497211672,-14.830960803767354,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,1.53,86.95085319449171,72.12186974695494,-14.828983447536771,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,1.72,86.95140060719876,72.12439470994121,-14.82700589725755,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,1.91,86.95194801392257,72.12691986104443,-14.825028152878147,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,2.1,86.952495414569,72.12944419108497,-14.823051223484029,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,2.29,86.95304280930395,72.1319678008646,-14.821075008439351,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,2.4800000000000004,86.9535901979959,72.1344915985339,-14.819098599461995,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,2.6700000000000004,86.95413758073872,72.13701558414216,-14.817121996596555,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,2.8600000000000003,86.95468495748898,72.139539757702,-14.815145199786983,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,3.0500000000000003,86.9552323282378,72.14206411923074,-14.81316820900706,0.005798907469517618
0.25,5.95,0.08,6.169491525423729,3.24,86.9557796930088,72.14458866876366,-14.811191024245133,0.005798907469517618
