profile,r3_ge_95,r3_ge_90,hmumu_chi2_le_4,best_chi2,best_D,best_eta
linear_interp_3knots,0.0,0.8,0.09416666666666666,3.045043359054686e-07,9.966101694915254,1.359322033898305
expfit_dense_interp,0.0,0.8,0.09416666666666666,3.045043359054686e-07,9.966101694915254,1.359322033898305
