combo_id,peak,center_D,width_D,s_min,power,region,p95_abs_delta_base,p95_abs_delta_hybrid,p95_abs_delta_cloud,max_abs_delta_base,max_abs_delta_hybrid,max_abs_delta_cloud,mean_cloud_improvement_vs_base,mean_cloud_improvement_vs_hybrid,improved_fraction_vs_base,improved_fraction_vs_hybrid,p95_abs_cloud_shift_vs_base,acceptance_flip_fraction_vs_base
1,0.5,5.9,0.15,0.55,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.21137223621518,31.28639526077564,32.17805183432292,32.211845012997976,-0.7820022460374911,-0.023595505256142752,0.0,0.4,1.2525934331343223,0.0
1,0.5,5.9,0.15,0.55,2.0,D21_guard,2.102217055050133,1.3915418994079403,1.3517346995320891,2.102232425909044,1.3915586879166426,1.3517525675180266,0.27941187776712856,0.013279133906535467,1.0,0.6666666666666666,0.750493734730199,0.04878048780487805
2,0.5,5.9,0.15,0.7,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.1990694130915,31.28639526077564,32.17805183432292,32.19954153357953,-0.7755417159302557,-0.017134975148907067,0.0,0.2,1.2194316778709975,0.0
2,0.5,5.9,0.15,0.7,2.0,D21_guard,2.102217055050133,1.3915418994079403,1.3666136602224974,2.102232425909044,1.3915586879166426,1.3666310670720705,0.27444925382505,0.008316509964456925,1.0,0.6666666666666666,0.7356126721234979,0.04878048780487805
3,0.5,5.9,0.25,0.55,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.205376609953376,31.28639526077564,32.17805183432292,32.20584919921813,-0.778367182959894,-0.01996044217854555,0.0,0.4,1.2290055364497845,0.0
3,0.5,5.9,0.25,0.55,2.0,D21_guard,2.102217055050133,1.3915418994079403,1.358766220717944,2.102232425909044,1.3915586879166426,1.3587839504114356,0.2770676606295536,0.01093491676896063,1.0,0.6666666666666666,0.7434615818272569,0.04878048780487805
4,0.5,5.9,0.25,0.7,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.195897352480394,31.28639526077564,32.17805183432292,32.19636937379334,-0.7738541979793626,-0.015447457198014039,0.0,0.2,1.2059802493295364,0.0
4,0.5,5.9,0.25,0.7,2.0,D21_guard,2.102217055050133,1.3915418994079403,1.370395173919261,2.102232425909044,1.3915586879166426,1.3704125065227046,0.27318856788143386,0.00705582402084082,1.0,0.6666666666666666,0.7318308188077716,0.04878048780487805
5,0.5,6.1,0.15,0.55,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.20612880018227,31.28639526077564,32.17805183432292,32.20660141295351,-0.7685341740881085,-0.01012743330675989,0.0,0.6,1.2009721016405053,0.0
5,0.5,6.1,0.15,0.55,2.0,D21_guard,2.102217055050133,1.3915418994079403,1.3598294568953584,2.102232425909044,1.3915586879166426,1.3598471653370083,0.27671350045187154,0.010580756591278434,1.0,0.6666666666666666,0.7423982501257775,0.04878048780487805
6,0.5,6.1,0.15,0.7,2.0,D60_hotspot,31.28593012120719,32.17758058738692,32.19629517271041,31.28639526077564,32.17805183432292,32.19676720646759,-0.7676308141902449,-0.009224073408896433,0.0,0.4,1.1900116908064888,0.0
