point,D,eta,chi_interp,chi_direct,delta_chi_rel,winner_surrogate,winner_direct,winner_match,R3_surrogate,R3_direct,delta_R3_abs,P1_surrogate,P2_surrogate,P3_surrogate,P1_direct,P2_direct,P3_direct,mu_mumu_surrogate,mu_mumu_direct,delta_mu_abs,delta_mu_rel,solve_s_direct,build_s_direct
gen3_zone,4.0,0.2,0.0004018269779724134,0.00052658181469949,0.310469041567541,2,2,1,0.8993599543434376,0.8993599543961401,5.2702509023561106e-11,0.025985538057879325,0.5157346058313924,0.35763981045416593,0.025985538018184713,0.5157346064701077,0.3576398099078477,115.07422849860227,115.0742288169002,3.182979355642601e-07,2.7660227638904073e-09,0.43225979804992676,0.003676176071166992
gen2_zone,5.0,2.0,0.0004018269779724134,0.0003311295553755475,-0.17593996041181548,2,2,1,0.9335643547263444,0.9335643547263546,1.021405182655144e-14,0.05924346916935498,0.5993854602225069,0.2749354253344825,0.05924346916935563,0.5993854602225134,0.2749354253344855,451.6040385108498,451.6040385108498,0.0,0.0,0.40761804580688477,0.006885051727294922
gen1_zone,11.0,1.4,0.00025148276173943523,0.0003064312992693082,0.2184982268757089,2,2,1,0.9539289441768836,0.9539289441768836,0.0,0.1541173899617255,0.5785390154196226,0.22127253879553546,0.1541173899617255,0.5785390154196226,0.22127253879553546,0.6487766522129884,0.6487766522129884,0.0,0.0,0.40180397033691406,0.004001140594482422
