beta_peak,sigma_D,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
0.0,0.05,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.0,0.05,6.169491525423728,31.555427859883423,31.55654848497108,0.0
0.0,0.05,6.4406779661016955,22.084295155929965,22.08437637417388,0.0
0.0,0.1,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.0,0.1,6.169491525423728,31.555427859883423,31.55654848497108,0.0
0.0,0.1,6.4406779661016955,22.084295155929965,22.08437637417388,0.0
0.0,0.15,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.0,0.15,6.169491525423728,31.555427859883423,31.55654848497108,0.0
0.0,0.15,6.4406779661016955,22.084295155929965,22.08437637417388,0.0
0.0,0.2,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.0,0.2,6.169491525423728,31.555427859883423,31.55654848497108,0.0
0.0,0.2,6.4406779661016955,22.084295155929965,22.08437637417388,0.0
0.0,0.3,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.0,0.3,6.169491525423728,31.555427859883423,31.55654848497108,0.0
0.0,0.3,6.4406779661016955,22.084295155929965,22.08437637417388,0.0
0.25,0.05,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.25,0.05,6.169491525423728,31.55542930486922,31.556549929913366,0.0
0.25,0.05,6.4406779661016955,8.880180808536778,8.880226436352153,0.0
0.25,0.1,5.898305084745763,41.816496926731055,41.816977661583785,0.0
0.25,0.1,6.169491525423728,31.644625213148124,31.645743152145222,0.0
0.25,0.1,6.4406779661016955,8.880180808536778,8.880226436352153,0.0
0.25,0.15,5.898305084745763,41.81654829198676,41.81702902466125,0.0
0.25,0.15,6.169491525423728,32.23965131998138,32.24075134035286,0.0
0.25,0.15,6.4406779661016955,8.880180808536778,8.880226436352153,0.0
0.25,0.2,5.898305084745763,41.817394046916775,41.81787474372382,0.0
0.25,0.2,6.169491525423728,32.945079492154605,32.94615826925094,0.0
0.25,0.2,6.4406779661016955,8.880180808536778,8.880226436352153,0.0
0.25,0.3,5.898305084745763,41.823415592126516,41.82389603356725,0.0
0.25,0.3,6.169491525423728,33.85182881783988,33.8528802890728,0.0
0.25,0.3,6.4406779661016955,8.880180808536778,8.880226436352153,0.0
0.5,0.05,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.5,0.05,6.169491525423728,31.555430749854956,31.556551374855708,0.0
0.5,0.05,6.4406779661016955,2.0076901699861196,2.0077064442259243,0.0
0.5,0.1,5.898305084745763,41.81649694125298,41.8169776761051,0.0
0.5,0.1,6.169491525423728,31.73367893289869,31.734794190130692,0.0
0.5,0.1,6.4406779661016955,2.0076901699861196,2.0077064442259243,0.0
0.5,0.15,5.898305084745763,41.816599671710506,41.817080402206024,0.0
0.5,0.15,6.169491525423728,32.91542300809218,32.91650267826441,0.0
0.5,0.15,6.4406779661016955,2.0076901699861196,2.0077064442259243,0.0
0.5,0.2,5.898305084745763,41.818291165192925,41.81877182395418,0.0
0.5,0.2,6.169491525423728,34.2998682064462,34.30090618541395,0.0
0.5,0.2,6.4406779661016955,2.0076901699861196,2.0077064442259243,0.0
0.5,0.3,5.898305084745763,41.830333294786755,41.83081344285651,0.0
0.5,0.3,6.169491525423728,36.053027509013894,36.054012693314455,0.0
0.5,0.3,6.4406779661016955,2.0076901699861196,2.0077064442259243,0.0
0.75,0.05,5.898305084745763,41.816496912209146,41.816977647062465,0.0
0.75,0.05,6.169491525423728,31.555432194840577,31.5565528197978,0.0
0.75,0.05,6.4406779661016955,10.984853227393927,10.984861143880018,0.0
0.75,0.1,5.898305084745763,41.81649695577474,41.81697769062632,0.0
0.75,0.1,6.169491525423728,31.82258925042656,31.82370183021188,0.0
0.75,0.1,6.4406779661016955,10.984853227393927,10.984861143880018,0.0
0.75,0.15,5.898305084745763,41.81665105138042,41.81713177969682,0.0
0.75,0.15,6.169491525423728,33.5828473235152,33.5839068948611,0.0
0.75,0.15,6.4406779661016955,10.984853227393927,10.984861143880018,0.0
0.75,0.2,5.898305084745763,41.81918826703792,41.81966888775426,0.0
0.75,0.2,6.169491525423728,35.62066862703262,35.62166683139534,0.0
0.75,0.2,6.4406779661016955,10.984853227393927,10.984861143880018,0.0
0.75,0.3,5.898305084745763,41.8372500203279,41.83772987506792,0.0
0.75,0.3,6.169491525423728,38.16297074921251,38.163892394648975,0.0
0.75,0.3,6.4406779661016955,10.984853227393927,10.984861143880018,0.0
1.0,0.05,5.898305084745763,41.816496912209146,41.816977647062465,0.0
1.0,0.05,6.169491525423728,31.555433639826255,31.55655426473985,0.0
1.0,0.05,6.4406779661016955,18.387299933623034,18.387327802697385,0.0
1.0,0.1,5.898305084745763,41.81649697029667,41.816977705147615,0.0
1.0,0.1,6.169491525423728,31.911356396650675,31.912466303300775,0.0
1.0,0.1,6.4406779661016955,18.387299933623034,18.387327802697385,0.0
1.0,0.15,5.898305084745763,41.81670243099638,41.81718315713384,0.0
1.0,0.15,6.169491525423728,34.24202737597233,34.243067096759546,0.0
1.0,0.15,6.4406779661016955,18.387299933623034,18.387327802697385,0.0
1.0,0.2,5.898305084745763,41.820085352451905,41.82056593512396,0.0
1.0,0.2,6.169491525423728,36.90833343603068,36.90929286363507,0.0
1.0,0.2,6.4406779661016955,18.387299933623034,18.387327802697385,0.0
1.0,0.3,5.898305084745763,41.84416576888795,41.844645330339745,0.0
1.0,0.3,6.169491525423728,40.18544173046034,40.186302471173946,0.0
1.0,0.3,6.4406779661016955,18.387299933623034,18.387327802697385,0.0
