scenario,g_mode,chi_mode,b_mode,f_R3_gt_0p90,delta_f_R3_gt_0p90_vs_baseline,f_hmumu_chi2_le_4,delta_f_hmumu_chi2_le_4_vs_baseline,f_winner_gt_3,delta_f_winner_gt_3_vs_baseline,best_chi2,mean_tail_prob,chi_ratio_mean,chi_ratio_min,chi_ratio_max
baseline_fp2d_full_action_grid,fp_2d_full,localized_grid,overlap_2d,0.9269444444444443,0.0,0.1613888888888889,0.0,0.0002777777777777,0.0,6.392023399609519e-05,0.1267091594590792,1.0,1.0,1.0
legacy_cardy_action_grid,cardy,localized_grid,overlap_2d,0.8769444444444444,-0.04999999999999993,0.1591666666666666,-0.002222222222222292,0.0002777777777777,0.0,5.963054606141829e-05,0.1125030053957775,1.0,1.0,1.0
chi_open_system_base,fp_2d_full,open_system,overlap_2d,0.9269444444444443,0.0,0.15,-0.011388888888888893,0.0002777777777777,0.0,7.473410801952949e-06,,0.1269252027712161,0.0852013509089455,0.2126636713788224
