D,level,Nz,zmax,N_ref,E_ref,omega_ref,S_l1,gamma_geo_l1,A1_fp,S_l2,gamma_geo_l2,A2_fp,A21_ratio,A1_profile,A2_profile
6.0,coarse,4001,80.0,2.0,-0.4538946018865313,0.7389894438444089,12.747832878223644,6.251889368136011e-12,9.511897720040853e-11,20.70332888705046,7.690511915377106e-19,3.923360343086247e-17,4.124687269103012e-07,12936.198222177443,55304.773897950596
6.0,mid,6001,80.0,2.0,-0.4531867563300145,0.7394682168085289,12.764379259126095,6.052301546575502e-12,9.154717508392378e-11,20.70725050444943,7.63537291979026e-19,3.8625720533724706e-17,4.219214901859665e-07,12451.849020271613,54667.46077016399
6.0,fine,8001,80.0,2.0,-0.4529484009921401,0.7396293659718088,12.771071954781556,5.973130317742312e-12,9.017261760538548e-11,20.708830806124098,7.612937324447662e-19,3.8403283441905874e-17,4.2588631074199035e-07,12652.40331272029,56813.93735736838
12.0,coarse,4001,80.0,2.0,-0.4786653193976268,0.7220350965170413,17.574564794930378,3.921798567854423e-16,7.352931330113612e-15,26.302895474309217,1.0283799080355947e-23,7.094071752875629e-22,9.64795050352526e-08,1.0,1.0
12.0,mid,6001,80.0,2.0,-0.47797472016870424,0.7225131693134014,17.57197408113925,3.944782003706364e-16,7.352094852329558e-15,26.300936404714797,1.0331007302179834e-23,7.0655779488491575e-22,9.610292155861378e-08,1.0,1.0
12.0,fine,8001,80.0,2.0,-0.47774214229986417,0.7226741019990517,17.586636550835088,3.8316344819051896e-16,7.126916157875639e-15,26.321744329534603,9.912104196101104e-24,6.759482836111733e-22,9.484442760901752e-08,1.0,1.0
18.0,coarse,4001,80.0,2.0,-0.48245268562269605,0.7194076135107995,21.999994173206368,5.597871010904215e-20,1.0845451088605765e-18,31.04649195980474,7.768456683253006e-28,5.619004280257819e-26,5.180977936603436e-08,0.00014749833232072614,7.920704041342855e-05
18.0,mid,6001,80.0,2.0,-0.4817609744028326,0.7198882035407772,22.005969053310206,5.535071043352988e-20,1.0659520914483598e-18,31.05499606648977,7.6425484855703765e-28,5.480150190025937e-26,5.1410848892653296e-08,0.00014498617235747524,7.756124452520611e-05
18.0,fine,8001,80.0,2.0,-0.48152804504382507,0.7200499669857467,22.004256024315726,5.555315073920771e-20,1.067689525240435e-18,31.05729887585063,7.6091401906407305e-28,5.440281009045324e-26,5.095377336234723e-08,0.00014981087213444748,8.048368700607197e-05
