D,level,Nz,zmax,N_ref,E_ref,omega_ref,S_l1,gamma_geo_l1,A1_fp,S_l2,gamma_geo_l2,A2_fp,A21_ratio,A1_profile,A2_profile
4.0,fine,8001,80.0,2.0,-0.3900972960948542,0.7809626776646537,10.815010368885392,3.1537817049054014e-10,2.9184960858256078e-09,18.151442987581873,1.3380958482119617e-16,3.3288451356672013e-15,1.1406029125187299e-06,409503.3561746769,4924703.8810177045
5.0,fine,8001,80.0,2.0,-0.43261847416885746,0.7532473204938352,11.840124754315966,3.915037296901451e-11,5.015307257398065e-10,19.51041475354334,8.519353933528741e-18,3.3901422415649607e-16,6.759590325326872e-07,70371.35201676073,501538.70107540314
6.0,fine,8001,80.0,2.0,-0.4529484009921401,0.7396293659718088,12.771071954781556,5.973130317742312e-12,9.017261760538548e-11,20.708830806124098,7.612937324447662e-19,3.8403283441905874e-17,4.2588631074199035e-07,12652.40331272029,56813.93735736838
7.0,fine,8001,80.0,2.0,-0.46342458054626545,0.7325130848344857,13.64212283268925,1.0361390733932214e-12,1.7063949991334045e-11,21.770517749094807,9.019530544863681e-20,5.159218299361232e-18,3.023460747354129e-07,2394.296440891539,7632.5636508738835
8.0,fine,8001,80.0,2.0,-0.46923861819477536,0.7285337204311305,14.473138876745903,1.9554240758267543e-13,3.382159118198002e-12,22.772706030669404,1.2087278363472022e-20,7.421350945794379e-19,2.1942642810218932e-07,474.5613731488237,1097.9169746754433
9.0,fine,8001,80.0,2.0,-0.4727234393802028,0.7261381140112377,15.276405844507778,3.909324396057049e-14,6.965120169581523e-13,23.71549163315241,1.828120964539793e-21,1.171534011956074e-19,1.6820011477654977e-07,97.72978964940786,173.31710729366645
10.0,fine,8001,80.0,2.0,-0.4749831609578434,0.7245804572593416,16.05984621058191,8.141069035041287e-15,1.4787742836460134e-13,24.614646014421087,3.020485396403306e-22,1.9904474969031914e-20,1.3460117063948492e-07,20.74914662791263,29.446742379009567
11.0,fine,8001,80.0,2.0,-0.4765628656887004,0.7234895536988074,16.828726193883824,1.7465716958192153e-15,3.2158518598658236e-14,25.480891269067286,5.333487978656836e-23,3.584197048633168e-21,1.1145404716443354e-07,4.512262791687437,5.302472297858384
12.0,fine,8001,80.0,2.0,-0.47774214229986417,0.7226741019990517,17.586636550835088,3.8316344819051896e-16,7.126916157875639e-15,26.321744329534603,9.912104196101104e-24,6.759482836111733e-22,9.484442760901752e-08,1.0,1.0
13.0,fine,8001,80.0,2.0,-0.47867013640788747,0.7220317607918038,18.336083898561057,8.551379651983402e-17,1.6033541938986622e-15,27.142613511385772,1.917704807196138e-24,1.3229695057975534e-22,8.251261703944936e-08,0.22497166493629459,0.19572052150643038
14.0,fine,8001,80.0,2.0,-0.479429966048492,0.7215053942636244,19.078857753946444,1.9344356857306486e-17,3.6508841631022137e-16,27.947479680464234,3.831485318314212e-25,2.6684102150629175e-23,7.308942425594592e-08,0.05122670285755759,0.03947654398657917
15.0,fine,8001,80.0,2.0,-0.48007031637855224,0.7210614978082298,19.816262113037624,4.423700653177965e-18,8.395275912207777e-17,28.739333473452504,7.857862483267112e-26,5.5165104033822895e-24,6.570969746641199e-08,0.011779675425156405,0.008161142704455124
16.0,fine,8001,80.0,2.0,-0.48062131146560116,0.7206793243422478,20.549260973397303,1.0206592288586215e-18,1.946266029465729e-17,29.52046337549352,1.6466199325640075e-26,1.1639827737643303e-24,5.980594410743818e-08,0.0027308670206748495,0.0017219997475929531
17.0,fine,8001,80.0,2.0,-0.48110267652872435,0.7203452807308977,21.278556878678508,2.372580981155992e-19,4.543124173577613e-18,30.292649851034454,3.513009872017375e-27,2.4983315448220175e-25,5.499148712139723e-08,0.0006374600280034455,0.0003696039483190901
18.0,fine,8001,80.0,2.0,-0.48152804504382507,0.7200499669857467,22.004256024315726,5.555315073920771e-20,1.067689525240435e-18,31.05729887585063,7.6091401906407305e-28,5.440281009045324e-26,5.095377336234723e-08,0.00014981087213444748,8.048368700607197e-05
19.0,fine,8001,80.0,2.0,-0.4819073013535794,0.719786564647063,22.717137558284435,1.3345927570333778e-20,2.5734464755565074e-19,31.81553557196133,1.669477846884337e-28,1.1993117622773616e-26,4.6603330345855e-08,3.610883611578208e-05,1.77426556343953e-05
20.0,fine,8001,80.0,2.0,-0.48224790141830554,0.7195499277893748,23.439152455581038,3.148268688344037e-21,6.088683294151193e-20,32.568271072680304,3.703566183152201e-29,2.67194779619995e-27,4.3883836079413605e-08,8.54322284600312e-06,3.952887907230693e-06
