D,level,rel_A1_profile_vs_fine,rel_A2_profile_vs_fine,rel_A21_ratio_vs_fine
6.0,coarse,0.02243011880374035,0.02656326122804888,0.03150508361800284
6.0,mid,0.015851082793657545,0.03778081025616513,0.009309575011031019
6.0,fine,0.0,0.0,0.0
12.0,coarse,0.0,0.0,0.01723957292436254
12.0,mid,0.0,0.0,0.013269034157538714
12.0,fine,0.0,0.0,0.0
18.0,coarse,0.0154363951078661,0.015862178288963146,0.016799658733805987
18.0,mid,0.03220527127458629,0.036310991575788217,0.008970396108952804
18.0,fine,0.0,0.0,0.0
