D,level,Nz,zmax,N_ref,E_ref,omega_ref,S_l1,gamma_geo_l1,A1_fp,S_l2,gamma_geo_l2,A2_fp,A21_ratio,grid_index,A1_profile,A2_profile,D_ref_profile
4.0,fine,8001,80.0,2.0,-0.3900972960948542,0.7809626776646537,10.815010368885392,3.1537817049054014e-10,2.9184960858256078e-09,18.151442987581873,1.3380958482119617e-16,3.3288451356672013e-15,1.1406029125187299e-06,0,409503.3561746769,4924703.8810177045,12.0
4.271186440677966,fine,8001,80.0,2.0,-0.4050615460743625,0.7713225356007936,11.110314211030726,1.7255983313501645e-10,1.7857289105964052e-09,18.531958332531417,6.174211963062156e-17,1.8051498996795175e-15,1.010875664815566e-06,1,250561.2344861214,2670544.3943665614,12.0
4.5423728813559325,fine,8001,80.0,2.0,-0.4171394488862205,0.76345304447214,11.393847429093245,9.687510786939821e-11,1.0994391997446248e-09,18.916530823266,2.8319946247464676e-17,9.460674874477288e-16,8.605000509964346e-07,2,154265.76872658776,1399615.1930344077,12.0
4.813559322033898,fine,8001,80.0,2.0,-0.426944858773883,0.7570040562811516,11.649338793096717,5.762502081546375e-11,7.058740818736824e-10,19.258419768529592,1.417252837935065e-17,5.286529371885729e-16,7.489337698663037e-07,3,99043.41039478236,782090.8048827456,12.0
5.084745762711864,fine,8001,80.0,2.0,-0.43495115821535874,0.7516973072884067,11.919529346987071,3.3332765727057336e-11,4.349951343813477e-10,19.61505925124978,6.8963453952521325e-18,2.8187728228023746e-16,6.48001000473545e-07,4,61035.53412799081,417010.1309738396,12.0
5.3559322033898304,fine,8001,80.0,2.0,-0.4415252594247397,0.7473116756583296,12.181879117909062,1.96090253194549e-11,2.697367369869824e-10,19.956047162392288,3.466565743939799e-18,1.5288907854545404e-16,5.668085120820325e-07,5,37847.609121780995,226184.57987445773,12.0
5.627118644067797,fine,8001,80.0,2.0,-0.44695315557433846,0.7436711937581431,12.436529608911409,1.1725964984518627e-11,1.6854658556445075e-10,20.26211806950207,1.8703755679558265e-18,8.78974648862327e-17,5.215024949444703e-07,6,23649.301020357507,130035.78382750075,12.0
5.898305084745763,fine,8001,80.0,2.0,-0.45145905206570924,0.7406355027503683,12.67012008203995,7.319443335496857e-12,1.0915341202732506e-10,20.58451005323088,9.775213886409833e-19,4.8447059903836435e-17,4.438437516887551e-07,7,15315.658218695959,71672.73159569809,12.0
6.169491525423728,fine,8001,80.0,2.0,-0.45521970938262424,0.7380923320407656,12.917987371704072,4.443134169631883e-12,6.834286584070366e-11,20.89574520011676,5.227535877980122e-19,2.709305673863472e-17,3.964284553384741e-07,8,9589.402250113604,40081.55268017442,12.0
6.4406779661016955,fine,8001,80.0,2.0,-0.4583752381502444,0.7359516029262764,13.160653784032336,2.726783279445634e-12,4.305338693966628e-11,21.1951894668541,2.8637928393975513e-19,1.541350035614619e-17,3.5800900815878216e-07,9,6040.9560019995315,22802.780523091795,12.0
6.711864406779661,fine,8001,80.0,2.0,-0.461037267041862,0.7341408127587908,13.397869608433949,1.6925351154823866e-12,2.7322684882803288e-11,21.47317209671069,1.638396709819094e-19,9.105153662284067e-18,3.3324520270754166e-07,10,3833.731768067764,13470.19273965882,12.0
6.983050847457627,fine,8001,80.0,2.0,-0.4632951598052012,0.7326014197329942,13.61703326221836,1.0895895882428063e-12,1.7924751393100972e-11,21.76310625866573,9.155326598742636e-20,5.2286914446494475e-18,2.9170231318588384e-07,11,2515.078190346483,7735.3424387969235,12.0
7.254237288135593,fine,8001,80.0,2.0,-0.4652207769146076,0.7312860063514086,13.850892515277714,6.813258792511342e-13,1.1391201087124628e-11,22.04492110211266,5.201302179967385e-20,3.04072865544392e-18,2.6693661468945785e-07,12,1598.335217475053,4498.463461138164,12.0
7.525423728813559,fine,8001,80.0,2.0,-0.466872145392232,0.7301560481210629,14.081101771216145,4.292656033348445e-13,7.277545134729885e-12,22.302195736391692,3.10437803323466e-20,1.85170019010298e-18,2.5444022068187534e-07,13,1021.1352250422917,2739.4110392743246,12.0
7.796610169491526,fine,8001,80.0,2.0,-0.46829630444847387,0.7291801530153753,14.307350063237307,2.726644216683266e-13,4.67858924756496e-12,22.576298850065548,1.791887808491461e-20,1.0875717100347999e-18,2.3245719008157055e-07,14,656.4675581871212,1608.9569814787862,12.0
8.067796610169491,fine,8001,80.0,2.0,-0.4695315250772669,0.7283326677574836,14.516289318337027,1.793251044154263e-13,3.1093741590087434e-12,22.84445129170055,1.046867008703305e-20,6.450661417808151e-19,2.0745851376936242e-07,15,436.28605839184905,954.3128630116878,12.0
8.338983050847457,fine,8001,80.0,2.0,-0.47060905095560374,0.7275925707732289,14.740952766264556,1.143034574670962e-13,2.000161499916661e-12,23.10628463237509,6.1947592054098185e-21,3.8679166081098846e-19,1.9338021496119418e-07,16,280.6489448744772,572.2207899465327,12.0
8.610169491525424,fine,8001,80.0,2.0,-0.47155447109798126,0.7269425898253717,14.962949505225886,7.325669267416233e-14,1.2922492320727846e-12,23.347985051625436,3.816787409291405e-21,2.4109960037193794e-19,1.8657360700088096e-07,17,181.3195502019169,356.68350111622743,12.0
8.881355932203391,fine,8001,80.0,2.0,-0.47238880752715173,0.7263684963383588,15.182015700872155,4.7230844812670075e-14,8.390980549690281e-13,23.605467714791626,2.2788107387650516e-21,1.4543443839755375e-19,1.7332234002487573e-07,18,117.73648467041079,215.15616197823238,12.0
9.152542372881356,fine,8001,80.0,2.0,-0.473129381091697,0.7258585391853588,15.383427025102517,3.1548379096294954e-14,5.640390048854723e-13,23.85843072645288,1.373037401624514e-21,8.843139847675065e-20,1.5678241701512572e-07,19,79.142085074507,130.8256868473967,12.0
9.423728813559322,fine,8001,80.0,2.0,-0.4737905036222576,0.7254029889501024,15.601835898136784,2.0370273706868717e-14,3.6625435551071926e-13,24.106335315200226,8.357618212918733e-22,5.426891000361446e-20,1.4817273620661736e-07,20,51.390299450343306,80.28559479978152,12.0
9.694915254237287,fine,8001,80.0,2.0,-0.4743840334106759,0.7249937700348356,15.818229797906053,1.3206704032031198e-14,2.3866348253192003e-13,24.336301542848865,5.273407525858949e-22,3.449417515909351e-20,1.4453059510048878e-07,21,33.48762315215166,51.03079036581391,12.0
9.966101694915254,fine,8001,80.0,2.0,-0.47491982261804067,0.7246241628471682,16.032402343134738,8.600923266158126e-15,1.561456062856936e-13,24.581876883726352,3.225268245868694e-22,2.1237299387117855e-20,1.360095867715982e-07,22,21.909280651933027,31.41852698206453,12.0
10.237288135593221,fine,8001,80.0,2.0,-0.47540607888522896,0.7242885620488363,16.243332458629126,5.638094072638208e-15,1.0278451144057982e-13,24.823923659962986,1.9866689193428874e-22,1.3160559347379564e-20,1.2804029676190795e-07,23,14.42201776528509,19.469772564656637,12.0
10.508474576271187,fine,8001,80.0,2.0,-0.4758496585004619,0.7239822798242634,16.442150171962243,3.7866725893379524e-15,6.929570651323531e-14,25.06192329530908,1.2337238215937176e-22,8.217785012677092e-21,1.1859010357456294e-07,24,9.723098318851374,12.157416790489581,12.0
10.779661016949152,fine,8001,80.0,2.0,-0.4762563047125515,0.7237013854397741,16.65460125365128,2.4748937477085085e-15,4.5448747815524564e-14,25.282605075710663,7.93172519313578e-23,5.310010826746435e-21,1.1683514028372461e-07,25,6.377056613090806,7.855646586419798,12.0
11.050847457627118,fine,8001,80.0,2.0,-0.4766308419755109,0.7234425741028025,16.865322038474908,1.6231978898704683e-15,2.990438679744848e-14,25.51940749062169,4.93774154336658e-23,3.321050911980103e-21,1.1105564325644236e-07,26,4.195978475824003,4.913173082173955,12.0
11.322033898305085,fine,8001,80.0,2.0,-0.4769773346450854,0.7232030595585963,17.073787229001514,1.069441658268579e-15,1.9761267826821622e-14,25.753398929005996,3.091307193812742e-23,2.0881363441444996e-21,1.0566813639913875e-07,27,2.7727655817845314,3.0891954233375363,12.0
11.593220338983052,fine,8001,80.0,2.0,-0.47729921697173083,0.7229804859249447,17.267503767872817,7.2571043872787485e-16,1.3446962445267073e-14,25.984160324126897,1.9479225447341062e-23,1.3210711382879566e-21,9.824308974350814e-08,28,1.8867855531606657,1.9543967642469497,12.0
11.864406779661017,fine,8001,80.0,2.0,-0.4775993997805961,0.7227728552037659,17.47709962261333,4.770742564340986e-16,8.862770009458194e-15,26.19731865712717,1.2714519925006064e-23,8.655180504667645e-22,9.765773562250838e-08,29,1.2435631082406295,1.2804501046187102,12.0
