D_left,D_right,delta_D,cluster,sin_theta_max,sigma_min_overlap,sigma_max_overlap,cluster_drift_pass
4.0,4.8,0.7999999999999998,1:3,0.00542236185023812,0.9999852988879212,0.9999993375483828,True
4.8,5.6,0.7999999999999998,1:3,0.0048351732570505465,0.9999883104814647,0.9999993227912346,True
5.6,6.4,0.8000000000000007,1:3,0.004324285388544996,0.9999906502342302,0.9999994099147315,True
6.4,7.2,0.7999999999999998,1:3,0.004061836204948908,0.9999917507092967,0.9999995536927874,True
7.2,8.0,0.7999999999999998,1:3,0.005018069785827151,0.9999874094085508,0.9999996890253124,True
8.0,8.8,0.8000000000000007,1:3,0.006155401576893174,0.9999810553362635,0.9999997870850151,True
8.8,9.6,0.7999999999999989,1:3,0.007314293817522111,0.9999732501951994,0.9999998511315759,True
9.6,10.4,0.8000000000000007,1:3,0.008404344964256993,0.999964682869211,0.9999998916845014,True
10.4,11.2,0.7999999999999989,1:3,0.009373836965926257,0.9999560646251096,0.9999999147519131,True
11.2,12.0,0.8000000000000007,1:3,0.010193453952720817,0.9999480453986166,0.9999999248425103,True
12.0,12.8,0.8000000000000007,1:3,0.010848477124854601,0.9999411535405829,0.9999999285610595,True
12.8,13.6,0.7999999999999989,1:3,0.011334695340117463,0.9999357602774024,0.9999999312202832,True
13.6,14.4,0.8000000000000007,1:3,0.011655850972634529,0.9999320682616913,0.9999999348866289,True
14.4,15.2,0.7999999999999989,1:3,0.011821707354244879,0.9999301211760903,0.9999999396602495,True
15.2,16.0,0.8000000000000007,1:3,0.011846382262997952,0.9999298291516655,0.9999999450171774,True
16.0,16.8,0.8000000000000007,1:3,0.011746840931409574,0.9999310034838065,0.9999999504049126,True
16.8,17.6,0.8000000000000007,1:3,0.01154154864093564,0.9999333941093121,0.9999999554174037,True
17.6,18.4,0.7999999999999972,1:3,0.011249317802673983,0.9999367244225879,0.9999999598133378,True
18.4,19.200000000000003,0.8000000000000043,1:3,0.010888382242993946,0.9999407198089947,0.9999999634873705,True
19.200000000000003,20.0,0.7999999999999972,1:3,0.010475712321179206,0.9999451282202259,0.9999999664324867,True
