D_left,D_right,delta_D,cluster,sin_theta_max,sigma_min_overlap,sigma_max_overlap,cluster_drift_pass
4.0,4.8,0.7999999999999998,1:3,0.024044428824804735,0.999710890929217,0.9999994720895803,True
4.8,5.6,0.7999999999999998,1:3,0.024446878218631864,0.9997011304111662,0.9999995793754162,True
5.6,6.4,0.8000000000000007,1:3,0.02317687159688941,0.9997313802332011,0.9999997139332324,True
6.4,7.2,0.7999999999999998,1:3,0.020641021018959704,0.999786951430801,0.9999998178860858,True
7.2,8.0,0.7999999999999998,1:3,0.017429545616585294,0.999848093932073,0.9999998718437882,True
8.0,8.8,0.8000000000000007,1:3,0.01415122690099623,0.9998998663752269,0.9999998957900489,True
8.8,9.6,0.7999999999999989,1:3,0.011307796886138534,0.9999360648209373,0.9999998749246911,True
9.6,10.4,0.8000000000000007,1:3,0.009195564606779883,0.9999577199019779,0.9999996264123211,True
10.4,11.2,0.7999999999999989,1:3,0.010641493148654986,0.9999433777087416,0.9999988685215494,True
11.2,12.0,0.8000000000000007,1:3,0.013745224288798057,0.9999055299423294,0.99999766734182,True
12.0,12.8,0.8000000000000007,1:3,0.017320428269430865,0.9998499901308013,0.9999966553863218,True
12.8,13.6,0.7999999999999989,1:3,0.021005037951640222,0.9997793698514938,0.9999967328849192,True
13.6,14.4,0.8000000000000007,1:3,0.024390853129946703,0.999702498888341,0.9999979688225946,True
14.4,15.2,0.7999999999999989,1:3,0.02704241198900035,0.9996342871039474,0.9999992069172,True
15.2,16.0,0.8000000000000007,1:3,0.028567380841237656,0.9995918690905162,0.9999997983920519,True
16.0,16.8,0.8000000000000007,1:3,0.028715419399639706,0.9995876273187373,0.999999938636472,True
16.8,17.6,0.8000000000000007,1:3,0.027455985706193963,0.9996230133649892,0.9999999312595318,True
17.6,18.4,0.7999999999999972,1:3,0.024988754420767666,0.9996877323206975,0.9999999081965634,True
18.4,19.200000000000003,0.8000000000000043,1:3,0.021681187755683576,0.9997649354210733,0.9999998949715566,True
19.200000000000003,20.0,0.7999999999999972,1:3,0.022048093489146485,0.9997569112406745,0.99999988772096,True
