D_left,D_right,delta_D,N,lambda_left_fixed,lambda_right_fixed,lambda_displacement_fixed,overlap_signed,overlap_abs,actual_rank_one_projector_sin,rank_one_drift_pass,rayleigh_shift_mean_deltaU,rayleigh_mu,residual_rms_centered_deltaU,raw_davis_kahan_gap,raw_davis_kahan_bound,raw_davis_kahan_bound_clipped,raw_davis_kahan_pass_unclipped,t3a_endpoint_max_Pprime_bound,t3a_integrated_path_bound,t3a_path_bound_pass
4.0,4.8,0.7999999999999998,1,0.6811077461823438,0.6814762211209378,0.0003684749385939323,0.9998705513417999,0.9998705513417999,0.016089765674024193,True,0.00042895907252443424,0.6815367052548682,0.045547752652872996,0.012374762814753915,3.680697023022397,1.0,False,0.0629616851696871,0.05036934813574967,True
4.0,4.8,0.7999999999999998,2,0.69295164039636,0.6939114680696221,0.0009598276732620814,0.9999677639844363,0.9999677639844363,0.008029383037737963,True,0.0009723377159394249,0.6939239781122994,0.021412784237976698,0.012447756991361691,1.720212264172286,1.0,False,0.0360208781767226,0.028816702541378074,True
4.0,4.8,0.7999999999999998,3,0.7575702026025912,0.7556856286702316,0.0018845739323596344,0.9997020935156793,0.9997020935156793,0.024407462390998808,True,-0.001769697941739334,0.7558005046608519,0.06624037276567538,0.061889036591229796,1.0703086752373554,1.0,False,0.0418892533420482,0.03351140267363855,True
4.8,5.6,0.7999999999999998,1,0.6814762211209378,0.6817945946872601,0.0003183735663223608,0.9997905943005129,0.9997905943005129,0.02046381069662586,True,0.00039355334135865954,0.6818697744622965,0.04757356949938457,0.013137368178458675,3.6212404838733905,1.0,False,0.0641889322695095,0.05135114581560759,True
4.8,5.6,0.7999999999999998,2,0.6939114680696221,0.6950071426407551,0.0010956745711330207,0.9999656854344027,0.9999656854344027,0.008284199038242242,True,0.0011105711757835792,0.6950220392454057,0.0250230192008247,0.013227444558145618,1.8917500724216023,1.0,False,0.0418534578982922,0.033482766318633755,True
4.8,5.6,0.7999999999999998,3,0.7556856286702316,0.7534798982705666,0.0022057303996649846,0.9996400530996249,0.9996400530996249,0.026828422223066452,True,-0.0021114736775425225,0.7535741549926891,0.06259806008245578,0.058567012351933956,1.0688279556809033,1.0,False,0.037730119650144,0.030184095720115194,True
5.6,6.4,0.8000000000000007,1,0.6817945946872601,0.682020394507286,0.00022579982002590704,0.9996825867376329,0.9996825867376329,0.025193764576876082,True,0.00031723302463542813,0.6821118277118955,0.04951706581873874,0.014111895780586692,3.508888287487063,1.0,False,0.0642317120232867,0.051385369618629405,True
5.6,6.4,0.8000000000000007,2,0.6950071426407551,0.6962237234924822,0.0012165808517270449,0.9999665231074385,0.9999665231074385,0.008182460780272285,True,0.0012337305098453761,0.6962408731506005,0.028579815605952345,0.014220478643314438,2.009764672681306,1.0,False,0.0477497982675296,0.038199838614023714,True
5.6,6.4,0.8000000000000007,3,0.7534798982705666,0.7510912319456504,0.002388666324916189,0.9995800133950558,0.9995800133950558,0.02897924811205605,True,-0.0023296573400355862,0.7511502409305311,0.05737694830170526,0.05492651743804888,1.0446128933337198,1.0,False,0.0324282016649115,0.02594256133192922,True
6.4,7.2,0.7999999999999998,1,0.682020394507286,0.6821102695870278,8.987507974178577e-05,0.9995495847642969,0.9995495847642969,0.030010458135817094,True,0.0001983556824325756,0.6822187501897186,0.051291439525629486,0.015325777841015409,3.3467429880368913,1.0,False,0.0642317120232867,0.05138536961862935,True
6.4,7.2,0.7999999999999998,2,0.6962237234924822,0.697544528030734,0.0013208045382517852,0.9999696175054327,0.9999696175054327,0.007795130918638954,True,0.0013402947333909121,0.6975640182258731,0.032101429212722986,0.0154537486388453,2.077258402665568,1.0,False,0.0539440110804959,0.043155208864396714,True
6.4,7.2,0.7999999999999998,3,0.7510912319456504,0.7486923216321073,0.0023989103135431122,0.9995069178204377,0.9995069178204377,0.03139938262273504,True,-0.002382886074704389,0.748708345870946,0.050714502172607,0.05116381784021207,0.9912180973474594,0.9912180973474594,False,0.0349459305959856,0.027956744476788475,True
7.2,8.0,0.7999999999999998,1,0.6821102695870278,0.6820229748196749,8.729476735291897e-05,0.9994043817830577,0.9994043817830577,0.03450915346432492,True,3.744621898583185e-05,0.6821477158060136,0.052789419503519334,0.0168025700264125,3.1417467340137817,1.0,False,0.0639854267116785,0.05118834136934279,True
7.2,8.0,0.7999999999999998,2,0.697544528030734,0.6989502858324261,0.0014057578016921646,0.9999735983022605,0.9999735983022605,0.007266546527019064,True,0.001427994161860711,0.6989725221925946,0.035601773985691434,0.01694954737291976,2.1004557350346875,1.0,False,0.0578261550376704,0.04626092403013631,True
7.2,8.0,0.7999999999999998,3,0.7486923216321073,0.7464629538720464,0.0022293677600608852,0.9994132694467288,0.9994132694467288,0.03425079347694419,True,-0.0022559913222763802,0.7464363303098309,0.04285877130791704,0.04748604447740479,0.9025550933877103,0.9025550933877103,False,0.0392655787167428,0.031412462973394235,True
8.0,8.8,0.8000000000000007,1,0.6820229748196749,0.6817241195286998,0.00029885529097506414,0.9992707471755693,0.9992707471755693,0.03818342361784036,True,-0.00016097000475281988,0.6818620048149221,0.053891174998367895,0.018556087999022863,2.9042314846321986,1.0,False,0.0612928410668952,0.0490342728535162,True
8.0,8.8,0.8000000000000007,2,0.6989502858324261,0.700418092813945,0.0014678069815188266,0.9999763130685413,0.9999763130685413,0.006882826588450125,True,0.0014936029886863653,0.7004438888211125,0.03908758935599508,0.018719769292412702,2.0880379851603004,1.0,False,0.062737636380032,0.050190109104025646,True
8.0,8.8,0.8000000000000007,3,0.7464629538720464,0.7445644047367943,0.0018985491352521144,0.9993104114063674,0.9993104114063674,0.03713087199133178,True,-0.0019606283400584908,0.7445023255319879,0.034123524603843734,0.04408423271804296,0.7740528188863663,0.7740528188863663,False,0.043150606873416,0.03452048549873283,True
