D_left,D_right,N,lambda_left,lambda_right,delta_D,lambda_displacement,local_nearest_gap_floor,step_gap_ratio,step_ratio_pass
4.0,4.8,1,0.7359089334327527,0.7288862929173978,0.7999999999999998,0.007022640515354839,0.09267065642404648,0.0757806277234115,True
4.0,4.8,2,0.8355420903543915,0.8215569493414443,0.7999999999999998,0.013985141012947233,0.09267065642404648,0.15091229039053536,True
4.0,4.8,3,1.024913561448241,0.9889954921757392,0.7999999999999998,0.03591806927250174,0.16743854283429493,0.21451494180792025,True
4.8,5.6,1,0.7288862929173978,0.7224393313381143,0.7999999999999998,0.006446961579283483,0.08696021874074078,0.07413690619275189,True
4.8,5.6,2,0.8215569493414443,0.8093995500788551,0.7999999999999998,0.012157399262589186,0.08696021874074078,0.13980414767394617,True
4.8,5.6,3,0.9889954921757392,0.9582383065824018,0.7999999999999998,0.0307571855933374,0.14883875650354672,0.20664769254911422,True
5.6,6.4,1,0.7224393313381143,0.7166248225288177,0.8000000000000007,0.005814508809296681,0.08252032989660285,0.0704615313169761,True
5.6,6.4,2,0.8093995500788551,0.7991451524254205,0.8000000000000007,0.01025439765343461,0.08252032989660285,0.12426510735334273,True
5.6,6.4,3,0.9582383065824018,0.9327388291448732,0.8000000000000007,0.025499477437528673,0.13359367671945266,0.19087338610402715,True
6.4,7.2,1,0.7166248225288177,0.71113764093293,0.7999999999999998,0.00548718159588768,0.07839776562461376,0.06999155590940624,True
6.4,7.2,2,0.7991451524254205,0.7895354065575437,0.7999999999999998,0.009609745867876773,0.07839776562461376,0.12257678253090032,True
6.4,7.2,3,0.9327388291448732,0.9098906462267656,0.7999999999999998,0.02284818291810753,0.1203552396692219,0.1898395365328696,True
7.2,8.0,1,0.71113764093293,0.7060786762005951,0.7999999999999998,0.005058964732334914,0.07479321421520546,0.06763935452457699,True
7.2,8.0,2,0.7895354065575437,0.7808718904158005,0.7999999999999998,0.00866351614174321,0.07479321421520546,0.11583291656399916,True
7.2,8.0,3,0.9098906462267656,0.8901055886351561,0.7999999999999998,0.019785057591609534,0.10923369821935558,0.18112595210205687,True
8.0,8.8,1,0.7060786762005951,0.7014845758182553,0.8000000000000007,0.004594100382339761,0.07182754923235568,0.06396014386455338,True
8.0,8.8,2,0.7808718904158005,0.773312125050611,0.8000000000000007,0.007559765365189541,0.07182754923235568,0.10524882786595402,True
8.0,8.8,3,0.8901055886351561,0.8735285896544218,0.8000000000000007,0.01657699898073428,0.10021646460381084,0.16541193152511113,True
8.8,9.6,1,0.7014845758182553,0.6971714776158304,0.7999999999999989,0.00431309820242487,0.06887519525511832,0.0626219379335168,True
8.8,9.6,2,0.773312125050611,0.7660466728709487,0.7999999999999989,0.007265452179662235,0.06887519525511832,0.10548720991280701,True
8.8,9.6,3,0.8735285896544218,0.8583549285020315,0.7999999999999989,0.015173661152390272,0.0923082556310828,0.16438032599200011,True
9.6,10.4,1,0.6971714776158304,0.6931953315764028,0.8000000000000007,0.0039761460394276416,0.06614438465943628,0.06011313068977802,True
9.6,10.4,2,0.7660466728709487,0.7593397162358391,0.8000000000000007,0.006706956635109673,0.06614438465943628,0.10139873051419862,True
9.6,10.4,3,0.8583549285020315,0.8449575346912837,0.8000000000000007,0.013397393810747893,0.08561781845544458,0.15647903733636803,True
10.4,11.2,1,0.6931953315764028,0.6895727290628133,0.7999999999999989,0.003622602513589479,0.06376854365490203,0.05680861292981718,True
10.4,11.2,2,0.7593397162358391,0.7533412727177153,0.7999999999999989,0.0059984435181237306,0.06376854365490203,0.09406586969565545,True
10.4,11.2,3,0.8449575346912837,0.833542251945695,0.7999999999999989,0.011415282745588673,0.08020097922797964,0.14233345846239037,True
11.2,12.0,1,0.6895727290628133,0.6861864751125417,0.8000000000000007,0.0033862539502715894,0.06132381310180701,0.05521923342649754,True
11.2,12.0,2,0.7533412727177153,0.7475102882143487,0.8000000000000007,0.00583098450336661,0.06132381310180701,0.0950851587406392,True
11.2,12.0,3,0.833542251945695,0.8228303945121758,0.8000000000000007,0.010711857433519212,0.07532010629782704,0.14221776840254202,True
12.0,12.8,1,0.6861864751125417,0.6830638620519325,0.8000000000000007,0.003122613060609236,0.058990067008580116,0.05293455693405216,True
12.0,12.8,2,0.7475102882143487,0.7420539290605126,0.8000000000000007,0.005456359153836132,0.058990067008580116,0.0924962359009103,True
12.0,12.8,3,0.8228303945121758,0.8131709891437531,0.8000000000000007,0.009659405368422691,0.07111706008324048,0.13582402530583568,True
