D,i,j,lambda_i,lambda_j,A_ij,abs_A_ij,gap_abs
4.0,1,1,0.7359089334327868,0.7359089334327868,-0.002478449072974972,0.002478449072974972,0.0
4.0,1,2,0.7359089334327868,0.8355420903544075,-1.5311405924824257e-05,1.5311405924824257e-05,0.09963315692162067
4.0,1,3,0.7359089334327868,1.02491356144823,0.006781640601163478,0.006781640601163478,0.28900462801544324
4.0,1,4,0.7359089334327868,1.3016179943485513,-2.8966706494360434e-05,2.8966706494360434e-05,0.5657090609157645
4.0,1,5,0.7359089334327868,1.6419653290034086,-0.006487972945471995,0.006487972945471995,0.9060563955706218
4.0,1,6,0.7359089334327868,2.066705423812488,2.4546446028141462e-05,2.4546446028141462e-05,1.3307964903797012
4.0,1,7,0.7359089334327868,2.5669612895002767,-0.0024569339592045623,0.0024569339592045623,1.8310523560674898
4.0,1,8,0.7359089334327868,3.142531806823218,-8.287272491190739e-07,8.287272491190739e-07,2.406622873390431
4.0,2,1,0.8355420903544075,0.7359089334327868,-1.5311405924824423e-05,1.5311405924824423e-05,0.09963315692162067
4.0,2,2,0.8355420903544075,0.8355420903544075,0.003779455755604381,0.003779455755604381,0.0
4.0,2,3,0.8355420903544075,1.02491356144823,2.07351691034116e-05,2.07351691034116e-05,0.18937147109382257
4.0,2,4,0.8355420903544075,1.3016179943485513,-6.852704341817425e-05,6.852704341817425e-05,0.4660759039941438
4.0,2,5,0.8355420903544075,1.6419653290034086,-1.6117601620745485e-06,1.6117601620745485e-06,0.8064232386490011
4.0,2,6,0.8355420903544075,2.066705423812488,0.003847374603723312,0.003847374603723312,1.2311633334580805
4.0,2,7,0.8355420903544075,2.5669612895002767,2.284372546417503e-05,2.284372546417503e-05,1.7314191991458692
4.0,2,8,0.8355420903544075,3.142531806823218,0.003801645600157579,0.003801645600157579,2.3069897164688102
4.0,3,1,1.02491356144823,0.7359089334327868,0.006781640601163478,0.006781640601163478,0.28900462801544324
4.0,3,2,1.02491356144823,0.8355420903544075,2.0735169103411606e-05,2.0735169103411606e-05,0.18937147109382257
4.0,3,3,1.02491356144823,1.02491356144823,-0.0034581894550130515,0.0034581894550130515,0.0
4.0,3,4,1.02491356144823,1.3016179943485513,1.2733056047911776e-05,1.2733056047911776e-05,0.2767044329003212
4.0,3,5,1.02491356144823,1.6419653290034086,0.0031837845846486466,0.0031837845846486466,0.6170517675551785
4.0,3,6,1.02491356144823,2.066705423812488,-4.34035258321805e-06,4.34035258321805e-06,1.041791862364258
4.0,3,7,1.02491356144823,2.5669612895002767,0.002686838887633641,0.002686838887633641,1.5420477280520466
4.0,3,8,1.02491356144823,3.142531806823218,1.662555719331498e-06,1.662555719331498e-06,2.117618245374988
4.0,4,1,1.3016179943485513,0.7359089334327868,-2.8966706494360457e-05,2.8966706494360457e-05,0.5657090609157645
4.0,4,2,1.3016179943485513,0.8355420903544075,-6.852704341817439e-05,6.852704341817439e-05,0.4660759039941438
4.0,4,3,1.3016179943485513,1.02491356144823,1.273305604791176e-05,1.273305604791176e-05,0.2767044329003212
4.0,4,4,1.3016179943485513,1.3016179943485513,-0.00016663052806069003,0.00016663052806069003,0.0
4.0,4,5,1.3016179943485513,1.6419653290034086,9.47117726705291e-06,9.47117726705291e-06,0.34034733465485734
4.0,4,6,1.3016179943485513,2.066705423812488,0.004411886169366634,0.004411886169366634,0.7650874294639367
4.0,4,7,1.3016179943485513,2.5669612895002767,3.1334279745938005e-05,3.1334279745938005e-05,1.2653432951517254
4.0,4,8,1.3016179943485513,3.142531806823218,0.00586542647147848,0.00586542647147848,1.8409138124746667
4.0,5,1,1.6419653290034086,0.7359089334327868,-0.006487972945471994,0.006487972945471994,0.9060563955706218
4.0,5,2,1.6419653290034086,0.8355420903544075,-1.6117601620746182e-06,1.6117601620746182e-06,0.8064232386490011
4.0,5,3,1.6419653290034086,1.02491356144823,0.0031837845846486466,0.0031837845846486466,0.6170517675551785
