D,N,lambda_N,lambda_ref,lambda_abs_diff_vs_ref,hf_lambda_prime_diag,hf_abs_diag,weighted_rms_dD_U,weighted_std_dD_U,included_basis_coupling_power,tail_residual_coupling,tail_gap_floor_reserved_last_mode,nearest_gap_within_computed,max_offdiag_abs_A_mn,included_projector_derivative_bound,tail_projector_derivative_bound,total_projector_derivative_bound,n_eigs,reserved_tail_mode_index,fd_slope_ref_placeholder
4.0,1,0.7359089334327868,0.7359089334327527,3.419486915845482e-14,-0.002478449072974972,0.002478449072974972,0.3890159737257284,0.3890080784559226,0.00016392804534152815,0.388805220860568,11.050621512573025,0.09963315692162067,0.006781640601163478,0.02464579150177276,0.035184013896249956,0.05982980539802271,40,40,nan
4.0,2,0.8355420903544075,0.8355420903543915,1.5987211554602254e-14,0.003779455755604381,0.003779455755604381,0.2872587333688524,0.2872338691917596,7.389678641908298e-05,0.2871300804692158,10.950988355651406,0.09963315692162067,0.0038473746037233116,0.003767543793009925,0.026219558558934857,0.02998710235194478,40,40,nan
4.0,3,1.02491356144823,1.024913561448241,1.0880185641326534e-14,-0.0034581894550130515,0.0034581894550130515,0.19118478102136569,0.1911535022433039,0.000103252024731108,0.19091455803436375,10.761616884557583,0.18937147109382257,0.006781640601163478,0.02414893048142708,0.017740322860621178,0.04188925334204826,40,40,nan
4.8,1,0.7288862929173103,0.7288862929173978,8.748557434046234e-14,-0.0027586067084400304,0.0027586067084400304,0.3732039092467149,0.3731937137279491,0.00014527517538242963,0.37300922602751774,10.277938761478842,0.09267065642413885,0.006706328223914245,0.02666946406543851,0.03629222110424866,0.06296168516968717,40,40,nan
4.8,2,0.8215569493414492,0.8215569493414443,4.884981308350689e-15,0.0035893444929310345,0.0035893444929310345,0.31130076625230246,0.3112800727245188,8.385409009110554e-05,0.3111660537063443,10.185268105054703,0.09267065642413885,0.004789362121472055,0.005470277986638341,0.03055060019008435,0.03602087817672269,40,40,nan
4.8,3,0.9889954921757056,0.9889954921757392,3.3639757646142243e-14,-0.0023854656844558573,0.0023854656844558573,0.11705790917960368,0.1170336005383438,7.733124614279978e-05,0.11672712990285311,10.017829562220447,0.1674385428342564,0.006706328223914246,0.026078181555383644,0.011651938094760379,0.03773011965014402,40,40,nan
5.6,1,0.7224393313380941,0.7224393313381143,2.020605904817785e-14,-0.002969930971066978,0.002969930971066978,0.3565174531067852,0.3565050825441004,0.00012845732255667365,0.3563372518376266,9.774187451194456,0.08696021874076365,0.006390555818863669,0.027731962969818013,0.03645696929969154,0.06418893226950956,40,40,nan
5.6,2,0.8093995500788578,0.8093995500788551,2.6645352591003757e-15,0.0032682506899184755,0.0032682506899184755,0.3289227471529214,0.32890650971370655,9.023469380067243e-05,0.3287855515390298,9.687227232453692,0.08696021874076365,0.005301758490765463,0.007913348551259733,0.033940109347032545,0.04185345789829228,40,40,nan
5.6,3,0.9582383065824134,0.9582383065824018,1.1546319456101628e-14,-0.0012468699694853584,0.0012468699694853584,0.050371214001742055,0.05035577936333118,5.94350191401045e-05,0.04977774784850345,9.538388475950136,0.1488387565035556,0.006390555818863669,0.027209526835928425,0.0052186748289831004,0.032428201664911525,40,40,nan
6.4,1,0.7166248225287692,0.7166248225288177,4.8405723873656825e-14,-0.0031261878770770107,0.0031261878770770107,0.33947155101323057,0.33945715620190664,0.00011727093088966636,0.3392987813365069,9.326727946831578,0.08252032989664349,0.005924187126839988,0.02785252488812737,0.03637918713515939,0.06423171202328676,40,40,nan
6.4,2,0.7991451524254127,0.7991451524254205,7.771561172376096e-15,0.0028611725158270533,0.0028611725158270533,0.34213877623101646,0.34212681258956046,9.468901679243993e-05,0.3420003701519416,9.244207616934936,0.08252032989664349,0.0053840370506953944,0.010753618137886781,0.036996180129642876,0.04774979826752966,40,40,nan
6.4,3,0.9327388291448655,0.9327388291448732,7.66053886991358e-15,-0.00016200395673006645,0.00016200395673006645,0.020336923154949126,0.020336277882845467,4.885550820608559e-05,0.019098034851895637,9.110613940215483,0.13359367671945277,0.005924187126839988,0.027464035983946044,0.0020962401630909115,0.029560276147036955,40,40,nan
7.2,1,0.7111376409329686,0.71113764093293,3.863576125695545e-14,-0.0032047743349248674,0.0032047743349248674,0.32207155348315336,0.3220556085282694,0.00010312852654901184,0.3219114117835879,8.776873199232892,0.07839776562457024,0.005359973525172065,0.027308195028335588,0.036677231683342915,0.0639854267116785,40,40,nan
7.2,2,0.7895354065575388,0.7895354065575437,4.884981308350689e-15,0.0024090222141901793,0.0024090222141901793,0.35039984383449985,0.3503915626427289,9.846207743995837e-05,0.3502593160528381,8.698475433608321,0.07839776562457024,0.005074828302907389,0.01367726333530599,0.04026674774518996,0.05394401108049594,40,40,nan
7.2,3,0.9098906462267788,0.9098906462267656,1.3211653993039363e-14,0.000752721472542097,0.000752721472542097,0.06824619034167648,0.06824203914404309,4.345214731909938e-05,0.0679270958368841,8.57812019393908,0.12035523966924,0.005359973525172065,0.027027284750375,0.0079186458456106,0.0349459305959856,40,40,nan
8.0,1,0.7060786762006757,0.7060786762005951,8.060219158778636e-14,-0.0032276642526009995,0.0032276642526009995,0.30476240372599234,0.304745311544439,9.125684107565142e-05,0.3046126489228067,8.676654316909122,0.07479321421512708,0.004758116765838885,0.02618568595882832,0.03510715510806689,0.06129284106689521,40,40,nan
