D_left,D_right,delta_D,N,L_left,L_right,dy_ref,dz_phys_left,dz_phys_right,lambda_left_pullback,lambda_right_pullback,lambda_displacement_pullback,overlap_signed,overlap_abs,actual_rank_one_projector_sin,rank_one_drift_pass,rayleigh_mu_pullback,residual_norm_Mdual,raw_davis_kahan_gap,raw_davis_kahan_bound,raw_davis_kahan_bound_clipped,raw_davis_kahan_pass_unclipped
4.0,4.8,0.7999999999999998,1,8.0,8.4,0.0018744142455482662,0.01499531396438613,0.015745079662605438,0.7359422214827005,0.7289659653533505,0.006976256129350045,-0.9999369779738928,0.9999369779738928,0.011226757342999542,True,0.7290479997281403,0.08209761783791315,0.09278966593394866,0.8847711327719777,0.8847711327719777,False
4.0,4.8,0.7999999999999998,2,8.0,8.4,0.0018744142455482662,0.01499531396438613,0.015745079662605438,0.8356552428201005,0.8218376656620889,0.013817577158011574,0.9999915892660108,0.9999915892660108,0.004101389671551514,True,0.8218695908792958,0.0646313610455404,0.09290362552594533,0.6956817958357363,0.6956817958357363,False
4.0,4.8,0.7999999999999998,3,8.0,8.4,0.0018744142455482662,0.01499531396438613,0.015745079662605438,1.0251429487798955,0.989552169272655,0.035590779507240544,-0.9999481829910601,0.9999481829910601,0.01017994758715752,True,0.9895377875984718,0.034474496686805634,0.16770012193638284,0.20557228157462853,0.20557228157462853,True
4.8,5.6,0.7999999999999998,1,8.4,8.8,0.0018744142455482662,0.015745079662605438,0.016494845360824743,0.7289659653533505,0.722550029797379,0.006415935555971419,0.999920590266959,0.999920590266959,0.012602109354242906,True,0.7226300108435673,0.07860731698916049,0.087177331641906,0.9016944601155248,0.9016944601155248,False
4.8,5.6,0.7999999999999998,2,8.4,8.8,0.0018744142455482662,0.015745079662605438,0.016494845360824743,0.8218376656620889,0.8098073424854733,0.012030323176615676,0.9999935252817352,0.9999935252817352,0.003598526727356303,True,0.8098411191205857,0.06902006922858336,0.08729108932320662,0.7906886002192913,0.7906886002192913,False
4.8,5.6,0.7999999999999998,3,8.4,8.8,0.0018744142455482662,0.015745079662605438,0.016494845360824743,0.989552169272655,0.9590408803802617,0.030511288892393296,0.9999313122798758,0.9999313122798758,0.011720525681283336,True,0.9590137535361074,0.019697406700848186,0.14920641105063415,0.13201447955318585,0.13201447955318585,True
5.6,6.4,0.8000000000000007,1,8.8,9.2,0.0018744142455482662,0.016494845360824743,0.017244611059044047,0.722550029797379,0.7166358620772506,0.005914167720128427,-0.9999092950615543,0.9999092950615543,0.013468542961486939,True,0.7167112503228021,0.07491990802052194,0.08247701010089736,0.9083732294474481,0.9083732294474481,False
5.6,6.4,0.8000000000000007,2,8.8,9.2,0.0018744142455482662,0.016494845360824743,0.017244611059044047,0.8098073424854733,0.7991882604236995,0.010619082061773755,0.999993766816571,0.999993766816571,0.003530768755573476,True,0.7992241447561075,0.07213645177617134,0.08258828267885687,0.8734465645286839,0.8734465645286839,False
5.6,6.4,0.8000000000000007,3,8.8,9.2,0.0018744142455482662,0.016494845360824743,0.017244611059044047,0.9590408803802617,0.9328253577549184,0.026215522625343324,-0.9999178355827184,0.9999178355827184,0.012818817557472106,True,0.932792781970767,0.008436200621098962,0.13360452154706748,0.06314307722083325,0.06314307722083325,True
6.4,7.2,0.7999999999999998,1,9.2,9.6,0.0018744142455482662,0.017244611059044047,0.017994376757263356,0.7166358620772506,0.7111778020331962,0.005458060044054358,0.9999035866911848,0.9999035866911848,0.01388586771160479,True,0.7112468993948174,0.07111281572761703,0.07845276046372163,0.9064412177121701,0.9064412177121701,False
6.4,7.2,0.7999999999999998,2,9.2,9.6,0.0018744142455482662,0.017244611059044047,0.017994376757263356,0.7991882604236995,0.7896996598585391,0.009488600565160432,-0.9999917507092965,0.9999917507092965,0.004061836205003573,True,0.7897378780249206,0.07421307384984668,0.07856007599172432,0.944666523205304,0.944666523205304,False
6.4,7.2,0.7999999999999998,3,9.2,9.6,0.0018744142455482662,0.017244611059044047,0.017994376757263356,0.9328253577549184,0.9102172386656178,0.022608119089300605,0.9999093622919951,0.9999093622919951,0.013463550824937765,True,0.9101845663856825,0.010605419912155682,0.12048490652714339,0.08802280897953342,0.08802280897953342,True
