D,N,lambda_N,gap12,gap23,gap34,nearest_gap_N,riesz_radius_N,contour_fraction,strict_gap_pass
4.0,1,0.7359089334327527,0.09963315692163888,0.18937147109384944,0.27670443290031166,0.09963315692163888,0.0448349206147375,0.45,True
4.0,2,0.8355420903543915,0.09963315692163888,0.18937147109384944,0.27670443290031166,0.09963315692163888,0.0448349206147375,0.45,True
4.0,3,1.024913561448241,0.09963315692163888,0.18937147109384944,0.27670443290031166,0.18937147109384944,0.08521716199223225,0.45,True
4.8,1,0.7288862929173978,0.09267065642404648,0.16743854283429493,0.2529334458239535,0.09267065642404648,0.04170179539082092,0.45,True
4.8,2,0.8215569493414443,0.09267065642404648,0.16743854283429493,0.2529334458239535,0.09267065642404648,0.04170179539082092,0.45,True
4.8,3,0.9889954921757392,0.09267065642404648,0.16743854283429493,0.2529334458239535,0.16743854283429493,0.07534734427543273,0.45,True
5.6,1,0.7224393313381143,0.08696021874074078,0.14883875650354672,0.23123010208358985,0.08696021874074078,0.03913209843333335,0.45,True
5.6,2,0.8093995500788551,0.08696021874074078,0.14883875650354672,0.23123010208358985,0.08696021874074078,0.03913209843333335,0.45,True
5.6,3,0.9582383065824018,0.08696021874074078,0.14883875650354672,0.23123010208358985,0.14883875650354672,0.06697744042659602,0.45,True
6.4,1,0.7166248225288177,0.08252032989660285,0.13359367671945266,0.2119044004481102,0.08252032989660285,0.03713414845347129,0.45,True
6.4,2,0.7991451524254205,0.08252032989660285,0.13359367671945266,0.2119044004481102,0.08252032989660285,0.03713414845347129,0.45,True
6.4,3,0.9327388291448732,0.08252032989660285,0.13359367671945266,0.2119044004481102,0.13359367671945266,0.0601171545237537,0.45,True
7.2,1,0.71113764093293,0.07839776562461376,0.1203552396692219,0.19348349751427507,0.07839776562461376,0.03527899453107619,0.45,True
7.2,2,0.7895354065575437,0.07839776562461376,0.1203552396692219,0.19348349751427507,0.07839776562461376,0.03527899453107619,0.45,True
7.2,3,0.9098906462267656,0.07839776562461376,0.1203552396692219,0.19348349751427507,0.1203552396692219,0.05415985785114986,0.45,True
8.0,1,0.7060786762005951,0.07479321421520546,0.10923369821935558,0.17663815977083575,0.07479321421520546,0.03365694639684246,0.45,True
8.0,2,0.7808718904158005,0.07479321421520546,0.10923369821935558,0.17663815977083575,0.07479321421520546,0.03365694639684246,0.45,True
8.0,3,0.8901055886351561,0.07479321421520546,0.10923369821935558,0.17663815977083575,0.10923369821935558,0.049155164198710015,0.45,True
8.8,1,0.7014845758182553,0.07182754923235568,0.10021646460381084,0.16171672746584997,0.07182754923235568,0.032322397154560055,0.45,True
8.8,2,0.773312125050611,0.07182754923235568,0.10021646460381084,0.16171672746584997,0.07182754923235568,0.032322397154560055,0.45,True
8.8,3,0.8735285896544218,0.07182754923235568,0.10021646460381084,0.16171672746584997,0.10021646460381084,0.04509740907171488,0.45,True
9.6,1,0.6971714776158304,0.06887519525511832,0.0923082556310828,0.14782506941331897,0.06887519525511832,0.030993837864803243,0.45,True
9.6,2,0.7660466728709487,0.06887519525511832,0.0923082556310828,0.14782506941331897,0.06887519525511832,0.030993837864803243,0.45,True
9.6,3,0.8583549285020315,0.06887519525511832,0.0923082556310828,0.14782506941331897,0.0923082556310828,0.04153871503398726,0.45,True
10.4,1,0.6931953315764028,0.06614438465943628,0.08561781845544458,0.13534333329159232,0.06614438465943628,0.02976497309674633,0.45,True
10.4,2,0.7593397162358391,0.06614438465943628,0.08561781845544458,0.13534333329159232,0.06614438465943628,0.02976497309674633,0.45,True
10.4,3,0.8449575346912837,0.06614438465943628,0.08561781845544458,0.13534333329159232,0.08561781845544458,0.03852801830495006,0.45,True
11.2,1,0.6895727290628133,0.06376854365490203,0.08020097922797964,0.12445844846843379,0.06376854365490203,0.028695844644705915,0.45,True
11.2,2,0.7533412727177153,0.06376854365490203,0.08020097922797964,0.12445844846843379,0.06376854365490203,0.028695844644705915,0.45,True
11.2,3,0.833542251945695,0.06376854365490203,0.08020097922797964,0.12445844846843379,0.08020097922797964,0.03609044065259084,0.45,True
12.0,1,0.6861864751125417,0.06132381310180701,0.07532010629782704,0.11448747806490567,0.06132381310180701,0.027595715895813156,0.45,True
12.0,2,0.7475102882143487,0.06132381310180701,0.07532010629782704,0.11448747806490567,0.06132381310180701,0.027595715895813156,0.45,True
12.0,3,0.8228303945121758,0.06132381310180701,0.07532010629782704,0.11448747806490567,0.07532010629782704,0.03389404783402217,0.45,True
12.8,1,0.6830638620519325,0.058990067008580116,0.07111706008324048,0.10563086328082816,0.058990067008580116,0.026545530153861054,0.45,True
12.8,2,0.7420539290605126,0.058990067008580116,0.07111706008324048,0.10563086328082816,0.058990067008580116,0.026545530153861054,0.45,True
12.8,3,0.8131709891437531,0.058990067008580116,0.07111706008324048,0.10563086328082816,0.07111706008324048,0.03200267703745822,0.45,True
13.6,1,0.6802096145824572,0.05688257696482091,0.06769334867029864,0.09800083571079321,0.05688257696482091,0.02559715963416941,0.45,True
13.6,2,0.7370921915472781,0.05688257696482091,0.06769334867029864,0.09800083571079321,0.05688257696482091,0.02559715963416941,0.45,True
13.6,3,0.8047855402175768,0.05688257696482091,0.06769334867029864,0.09800083571079321,0.06769334867029864,0.03046200690163439,0.45,True
14.4,1,0.6775461771711009,0.05471157613067135,0.06448638515126759,0.0910372485541806,0.05471157613067135,0.024620209258802105,0.45,True
14.4,2,0.7322577533017722,0.05471157613067135,0.06448638515126759,0.0910372485541806,0.05471157613067135,0.024620209258802105,0.45,True
14.4,3,0.7967441384530398,0.05471157613067135,0.06448638515126759,0.0910372485541806,0.06448638515126759,0.029018873318070414,0.45,True
15.2,1,0.6750856516280581,0.05261797678792113,0.061652180975739324,0.08487664147932028,0.05261797678792113,0.02367808955456451,0.45,True
15.2,2,0.7277036284159792,0.05261797678792113,0.061652180975739324,0.08487664147932028,0.05261797678792113,0.02367808955456451,0.45,True
15.2,3,0.7893558093917186,0.05261797678792113,0.061652180975739324,0.08487664147932028,0.061652180975739324,0.027743481439082698,0.45,True
16.0,1,0.6728274944423072,0.050690912221833084,0.05930705519311874,0.07961648803803345,0.050690912221833084,0.02281091049982489,0.45,True
16.0,2,0.7235184066641402,0.050690912221833084,0.05930705519311874,0.07961648803803345,0.050690912221833084,0.02281091049982489,0.45,True
16.0,3,0.782825461857259,0.050690912221833084,0.05930705519311874,0.07961648803803345,0.05930705519311874,0.026688174836903434,0.45,True
16.8,1,0.6707191581295668,0.048731108383981425,0.0570147455131742,0.07478283162707577,0.048731108383981425,0.02192899877279164,0.45,True
16.8,2,0.7194502665135483,0.048731108383981425,0.0570147455131742,0.07478283162707577,0.048731108383981425,0.02192899877279164,0.45,True
16.8,3,0.7764650120267225,0.048731108383981425,0.0570147455131742,0.07478283162707577,0.0570147455131742,0.02565663548092839,0.45,True
17.6,1,0.6687655269340034,0.04684205533161845,0.05492705321145319,0.07049824364991197,0.04684205533161845,0.021078924899228302,0.45,True
17.6,2,0.7156075822656218,0.04684205533161845,0.05492705321145319,0.07049824364991197,0.04684205533161845,0.021078924899228302,0.45,True
17.6,3,0.770534635477075,0.04684205533161845,0.05492705321145319,0.07049824364991197,0.05492705321145319,0.024717173945153936,0.45,True
18.4,1,0.6669643237777407,0.04508830897886473,0.05315623406016612,0.06686345815815531,0.04508830897886473,0.02028973904048913,0.45,True
18.4,2,0.7120526327566055,0.04508830897886473,0.05315623406016612,0.06686345815815531,0.04508830897886473,0.02028973904048913,0.45,True
18.4,3,0.7652088668167716,0.04508830897886473,0.05315623406016612,0.06686345815815531,0.05315623406016612,0.023920305327074756,0.45,True
19.200000000000003,1,0.6652792876061728,0.043331425290528136,0.05136402525042527,0.06347036535978723,0.043331425290528136,0.01949914138073766,0.45,True
19.200000000000003,2,0.708610712896701,0.043331425290528136,0.05136402525042527,0.06347036535978723,0.043331425290528136,0.01949914138073766,0.45,True
19.200000000000003,3,0.7599747381471262,0.043331425290528136,0.05136402525042527,0.06347036535978723,0.05136402525042527,0.02311381136269137,0.45,True
20.0,1,0.663712104006247,0.041644263548268556,0.04968688976205282,0.06044111359843818,0.041644263548268556,0.01873991859672085,0.45,True
20.0,2,0.7053563675545156,0.041644263548268556,0.04968688976205282,0.06044111359843818,0.041644263548268556,0.01873991859672085,0.45,True
20.0,3,0.7550432573165684,0.041644263548268556,0.04968688976205282,0.06044111359843818,0.04968688976205282,0.02235910039292377,0.45,True
