D_target,D_used_cardy,D_used_fp2d,N,g_cardy,g_fp2d,g_cardy_over_g3,g_fp2d_over_g3,ratio_fp2d_to_cardy
6.0,6.0,6.0,1,6.133707406236226,5.74188361593941,72.62201799250954,67.9828931591505,0.9361195824407204
6.0,6.0,6.0,2,0.3943027583836226,0.3850724535549269,4.668475379950128,4.559190192550358,0.9765908185209412
6.0,6.0,6.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
6.0,6.0,6.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
6.0,6.0,6.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
6.0,6.0,6.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
12.0,12.0,12.0,1,6.133707406236226,5.752817124184272,72.62201799250954,68.11234397574347,0.9379021109378811
12.0,12.0,12.0,2,0.3943027583836226,0.3857025682399265,4.668475379950128,4.566650639709096,0.978188866395581
12.0,12.0,12.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
12.0,12.0,12.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
12.0,12.0,12.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
12.0,12.0,12.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
18.0,18.0,18.0,1,6.133707406236226,5.757314608233647,72.62201799250954,68.1655933966765,0.9386353516602544
18.0,18.0,18.0,2,0.3943027583836226,0.3858120789271976,4.668475379950128,4.567947227005269,0.9784665988865229
18.0,18.0,18.0,3,0.0844607128222308,0.0844607128222308,1.0,1.0,1.0
18.0,18.0,18.0,4,0.0280470147940624,0.0280470147940624,0.33207172727862866,0.33207172727862866,1.0
18.0,18.0,18.0,5,0.011431176378737,0.011431176378737,0.13534311985735709,0.13534311985735709,1.0
18.0,18.0,18.0,6,0.0051646682545882,0.0051646682545882,0.06114876469795569,0.06114876469795569,1.0
