case,g_mode_requested,g_mode_active,g_fp_blend,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,mean_tail_prob,max_tail_prob,f_tail_gt_0p10,g1_D12,g2_D12,g3_D12
baseline_fp_2d_full,fp_2d_full,fp_2d_full,1.0,0.9272222222222222,0.9263888888888889,0.15,2.2079807637329057e-05,0.0002777777777777778,0.0890926060351153,1.0,0.07277777777777777,29.997742106255217,26.871381411441558,8.378771647580486
legacy_cardy,cardy,cardy,0.01,0.9272222222222222,0.9172222222222223,0.1486111111111111,5.594937464835432e-06,0.0002777777777777778,0.08125484943437984,1.0,0.07277777777777777,6.133707406236226,0.3943027583836226,0.08446071282223085
first_principles_fp_1d,fp_1d,fp_1d,0.01,0.9272222222222222,0.9158333333333334,0.1486111111111111,5.553319556343446e-06,0.0002777777777777778,0.08155772143693857,1.0,0.07277777777777777,5.876185226714984,0.38827511623878097,0.08446071282223085
first_principles_fp_2d,fp_2d,fp_2d,0.01,0.9272222222222222,0.915,0.14916666666666667,2.4910079732809114e-05,0.0002777777777777778,0.08171568826013163,1.0,0.07277777777777777,5.752817124184272,0.3857025682399265,0.08446071282223085
