case,g_mode_requested,g_mode_active,g_fp_blend,n_max,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,mean_tail_prob,max_tail_prob,g1_D12,g2_D12,g3_D12,g4_D12,g6_D12,ref_n_max,delta_f_R3_gt_0p90_vs_ref,delta_f_hmumu_chi2_le_4_vs_ref,delta_f_winner_gt_3_vs_ref,delta_f_R3_gt_0p90_vs_baseline,delta_f_hmumu_chi2_le_4_vs_baseline,delta_f_winner_gt_3_vs_baseline
baseline_cardy,cardy,cardy,0.01,20,0.8,0.0,0.09416666666666666,3.045043359054686e-07,0.0,0.08728375028277201,0.2780091625426818,6.133707406236226,0.3943027583836226,0.08446071282223085,0.028047014794062436,0.005164668254588233,40,0.0,0.0,0.0,0.0,0.0,0.0
replacement_fp_2d_full,fp_2d_full,fp_2d_full,1.0,20,0.8,0.0,0.09083333333333334,2.026057412855439e-05,0.0,0.08643430719972034,0.1321814714629086,0.3023868877108488,0.27087216646890916,0.08446071282223085,0.015867501781511285,9.674802750236638e-05,40,0.0,0.0,0.0,0.0,-0.003333333333333327,0.0
