level,dz,Nz,E1,E2,E3,g1_ps,g2_ps,g3_ps,rel_g1_ps_vs_fine,rel_g2_ps_vs_fine,rel_g3_ps_vs_fine,max_rel_g_vs_fine
coarse,0.04,4001,-0.6366963209326681,-0.6080741882563215,-0.5750099837626146,1.0567253150222524,1.0544205919058112,1.0559399799106042,0.006761256392428867,0.013115051169671125,0.011352964147851934,0.013115051169671125
mid,0.02,8001,-0.6370608785063288,-0.6084192451439968,-0.5753346492308133,1.066812564040586,1.0740993316861425,1.0662720640157595,0.0027199648852268853,0.005303265250018459,0.001679323108517808,0.005303265250018459
fine,0.01,16001,-0.6372327774377403,-0.6085822243316711,-0.5754884928515349,1.0639187424204677,1.068433147304077,1.068065691412764,0.0,0.0,0.0,0.0
