D,dz_target,dz_actual,zmax,Nz,E1,E2,delta_E,omega2_1,stable1,S1,has_tp
6.0,0.04,0.04,60.0,3001,-0.48032802312828965,-0.4538946018868043,0.026433421241485344,0.5196719768717104,True,4.28295330215218,True
6.0,0.04,0.04,80.0,4001,-0.4803280231279658,-0.45389460188646025,0.02643342124150555,0.5196719768720341,True,4.282953302150961,True
6.0,0.02,0.02,60.0,6001,-0.4794374275201105,-0.4529484009939739,0.026489026526136605,0.5205625724798895,True,4.281584505006485,True
6.0,0.02,0.02,80.0,8001,-0.479437427519251,-0.45294840099311257,0.026489026526138437,0.520562572480749,True,4.281584505003245,True
6.0,0.01,0.01,60.0,12001,-0.4792227355403187,-0.4527202780674727,0.026502457472845964,0.5207772644596813,True,4.290936601159128,True
6.0,0.01,0.01,80.0,16001,-0.4792227355400033,-0.4527202780674805,0.026502457472522778,0.5207772644599967,True,4.290936601157931,True
12.0,0.04,0.04,60.0,3001,-0.4790325919143867,-0.47866531939760354,0.0003672725167831459,0.5209674080856133,True,8.512695079170644,True
12.0,0.04,0.04,80.0,4001,-0.4790325919144585,-0.4786653193976757,0.0003672725167828128,0.5209674080855415,True,8.512695079171223,True
12.0,0.02,0.02,60.0,6001,-0.4781115780421215,-0.47774214230167056,0.00036943574045095184,0.5218884219578785,True,8.507335077580025,True
12.0,0.02,0.02,80.0,8001,-0.47811157804216176,-0.47774214230171236,0.00036943574044939753,0.5218884219578382,True,8.50733507758035,True
12.0,0.01,0.01,60.0,12001,-0.4778895328999169,-0.47751957374771886,0.00036995915219806275,0.5221104671000831,True,8.515468967630678,True
12.0,0.01,0.01,80.0,16001,-0.4778895329014004,-0.4775195737492152,0.00036995915218518416,0.5221104670985997,True,8.51546896764263,True
18.0,0.04,0.04,60.0,3001,-0.4824579660644801,-0.4824526856225974,5.2804418826934985e-06,0.5175420339355199,True,12.755071025721016,True
18.0,0.04,0.04,80.0,4001,-0.4824579660643584,-0.48245268562247573,5.2804418826934985e-06,0.5175420339356416,True,12.755071025719527,True
18.0,0.02,0.02,60.0,6001,-0.48153337700726767,-0.4815280450461101,5.331961157595266e-06,0.5184666229927324,True,12.745759620636498,True
18.0,0.02,0.02,80.0,8001,-0.4815333770069206,-0.481528045045763,5.331961157595266e-06,0.5184666229930794,True,12.74575962063224,True
18.0,0.01,0.01,60.0,12001,-0.4813104650816182,-0.4813051206264366,5.3444551815773345e-06,0.5186895349183818,True,12.752939200541771,True
18.0,0.01,0.01,80.0,16001,-0.48131046508219194,-0.48130512062701053,5.344455181410801e-06,0.518689534917808,True,12.752939200548829,True
