gate,kappa,modes,steps,A,q_mean,stable_all,ordering_pass,min_quasi_frequency_gap,max_abs_log_multiplier,max_det_residual,max_abs_quasi_shift,verdict
D2,0,6,8000,1.5947599366191568e+01,4.1527617572215358e-01,True,True,3.1415926535878071e+00,6.9944050551385107e-15,1.3766765505351941e-14,3.1334934647020418e-12,TOY_FLOQUET_PHASE_ORDERING_STABLE_NO_GROWTH_CLAIM
D2,0.25,6,8000,1.5947599366191568e+01,4.1527617572215358e-01,True,True,3.1415818255576164e+00,7.2164496600635443e-15,1.3766765505351941e-14,1.0372276388226354e-05,TOY_FLOQUET_PHASE_ORDERING_STABLE_NO_GROWTH_CLAIM
D2,0.5,6,8000,1.5947599366191568e+01,4.1527617572215358e-01,True,True,3.1415493419832021e+00,7.9936057773011586e-15,1.5987211554602254e-14,4.1488246317555877e-05,TOY_FLOQUET_PHASE_ORDERING_STABLE_NO_GROWTH_CLAIM
D2,1,6,8000,1.5947599366191568e+01,4.1527617572215358e-01,True,True,3.1414194097883561e+00,3.9968028886505557e-15,8.4376949871511897e-15,1.6594349880616477e-04,TOY_FLOQUET_PHASE_ORDERING_STABLE_NO_GROWTH_CLAIM
