gate,kappa,mode,omega0,quasi_frequency_unwrapped,quasi_shift,gap_from_previous,stable_unit_circle,max_abs_log_multiplier,det_residual,trace,theta_principal,eigval_0,eigval_1
D2,0,1,1.5707963267948966e+00,1.5707963267948959e+00,-6.6613381477509392e-16,,True,1.7763568394002489e-15,3.5527136788005009e-15,1.4180009163394791e-15,1.5707963267948959e+00,(7.090004581697396e-16+1.0000000000000018j),(7.090004581697396e-16-1.0000000000000018j)
D2,0,2,4.7123889803846897e+00,4.7123889803846861e+00,-3.5527136788005009e-15,3.1415926535897905e+00,True,1.3322676295501871e-15,2.4424906541753444e-15,-7.9684522868994634e-15,1.5707963267949006e+00,(-3.984226143449732e-15+1.0000000000000013j),(-3.984226143449732e-15-1.0000000000000013j)
D2,0,3,7.8539816339744828e+00,7.8539816339744224e+00,-6.0396132539608516e-14,3.1415926535897363e+00,True,2.2204460492503154e-15,4.4408920985006262e-15,1.2153017307781067e-13,1.5707963267948357e+00,(6.076508653890533e-14+0.9999999999999978j),(6.076508653890533e-14-0.9999999999999978j)
D2,0,4,1.0995574287564276e+01,1.0995574287563947e+01,-3.2862601528904634e-13,3.1415926535895249e+00,True,8.8817841970012484e-16,2.2204460492503131e-15,-6.5579551337957565e-13,1.5707963267952245e+00,(-3.278977566897878e-13+1.0000000000000009j),(-3.278977566897878e-13-1.0000000000000009j)
D2,0,5,1.4137166941154069e+01,1.4137166941152920e+01,-1.1493028750919621e-12,3.1415926535889724e+00,True,1.3322676295501888e-15,2.6645352591003757e-15,2.2973721449520701e-12,1.5707963267937479e+00,(1.148686072476035e-12+0.9999999999999987j),(1.148686072476035e-12-0.9999999999999987j)
D2,0,6,1.7278759594743860e+01,1.7278759594740727e+01,-3.1334934647020418e-12,3.1415926535878071e+00,True,6.9944050551385107e-15,1.3766765505351941e-14,-6.2696436584075421e-12,1.5707963267980314e+00,(-3.134821829203771e-12+0.999999999999993j),(-3.134821829203771e-12-0.999999999999993j)
D2,0.25,1,1.5707963267948966e+00,1.5708066990712848e+00,1.0372276388226354e-05,,True,8.8817841970012484e-16,1.5543122344752192e-15,-2.0744552775882742e-05,1.5708066990712848e+00,(-1.0372276387941313e-05+0.9999999999462088j),(-1.0372276387941313e-05-0.9999999999462088j)
D2,0.25,2,4.7123889803846897e+00,4.7123963763333077e+00,7.3959486179830947e-06,3.1415896772620231e+00,True,0.0000000000000000e+00,4.4408920985006262e-16,1.4791897234779638e-05,1.5707889308462790e+00,(7.395948617389797e-06+0.9999999999726502j),(7.395948617389797e-06-0.9999999999726502j)
D2,0.25,3,7.8539816339744828e+00,7.8539782018909241e+00,-3.4320835586854059e-06,3.1415818255576164e+00,True,2.8865798640254113e-15,5.3290705182007514e-15,6.8641671168959313e-06,1.5707928947113381e+00,(3.4320835584479098e-06+0.9999999999941076j),(3.4320835584479098e-06-0.9999999999941076j)
D2,0.25,4,1.0995574287564276e+01,1.0995573639671939e+01,-6.4789233711337602e-07,3.1415954377810147e+00,True,8.8817841970012484e-16,1.7763568394002505e-15,-1.2957846739418237e-06,1.5707969746872334e+00,(-6.478923369709169e-07+0.9999999999997912j),(-6.478923369709169e-07-0.9999999999997912j)
D2,0.25,5,1.4137166941154069e+01,1.4137166660382340e+01,-2.8077172942175821e-07,3.1415930207104008e+00,True,5.5511151231257847e-16,1.3322676295501878e-15,5.6154345955258464e-07,1.5707960460231667e+00,(2.8077172977628713e-07+0.9999999999999601j),(2.8077172977628713e-07-0.9999999999999601j)
D2,0.25,6,1.7278759594743860e+01,1.7278759456761929e+01,-1.3798193165825978e-07,3.1415927963795891e+00,True,7.2164496600635443e-15,1.3766765505351941e-14,-2.7596386713074281e-07,1.5707964647768302e+00,(-1.3798193356536325e-07+0.9999999999999832j),(-1.3798193356536325e-07-0.9999999999999832j)
D2,0.5,1,1.5707963267948966e+00,1.5708378150412141e+00,4.1488246317555877e-05,,True,3.9968028886505714e-15,8.1046280797636427e-15,-8.2976492611177774e-05,1.5708378150412141e+00,(-4.1488246305588914e-05+0.9999999991393587j),(-4.1488246305588914e-05-0.9999999991393587j)
D2,0.5,2,4.7123889803846897e+00,4.7124185639063096e+00,2.9583521619969133e-05,3.1415807488650955e+00,True,4.4408920985006252e-16,1.1102230246251565e-15,5.9167043231309752e-05,1.5707667432732766e+00,(2.9583521615654923e-05+0.999999999562408j),(2.9583521615654923e-05-0.999999999562408j)
D2,0.5,3,7.8539816339744828e+00,7.8539679058895118e+00,-1.3728084971020849e-05,3.1415493419832021e+00,True,3.3306690738754641e-15,6.6613381477509392e-15,2.7456169941735085e-05,1.5707825987099253e+00,(1.372808497086761e-05+0.9999999999057733j),(1.372808497086761e-05-0.9999999999057733j)
D2,0.5,4,1.0995574287564276e+01,1.0995571696137821e+01,-2.5914264547566290e-06,3.1416037902483094e+00,True,2.6645352591003792e-15,5.3290705182007514e-15,-5.1828529104404678e-06,1.5707989182213518e+00,(-2.591426455220277e-06+0.9999999999966396j),(-2.591426455220277e-06-0.9999999999966396j)
D2,0.5,5,1.4137166941154069e+01,1.4137165818024346e+01,-1.1231297225577919e-06,3.1415941218865253e+00,True,0.0000000000000000e+00,4.4408920985006262e-16,2.2462594467293102e-06,1.5707952036651731e+00,(1.1231297233646733e-06+0.9999999999993695j),(1.1231297233646733e-06-0.9999999999993695j)
D2,0.5,6,1.7278759594743860e+01,1.7278759042820962e+01,-5.5192289849514964e-07,3.1415932247966154e+00,True,7.9936057773011586e-15,1.5987211554602254e-14,-1.1038458030293054e-06,1.5707968787177982e+00,(-5.519229015146523e-07+0.9999999999998397j),(-5.519229015146523e-07-0.9999999999998397j)
D2,1,1,1.5707963267948966e+00,1.5709622702937027e+00,1.6594349880616477e-04,,True,6.6613381477509412e-16,1.5543122344752192e-15,-3.3188699608899816e-04,1.5709622702937027e+00,(-0.00016594349804449876+0.9999999862313769j),(-0.00016594349804449876-0.9999999862313769j)
D2,1,2,4.7123889803846897e+00,4.7125073135746458e+00,1.1833318995613240e-04,3.1415450432809431e+00,True,3.9968028886505557e-15,8.4376949871511897e-15,2.3666637936024717e-04,1.5706779936049402e+00,(0.00011833318968012373+0.9999999929986322j),(0.00011833318968012373-0.9999999929986322j)
D2,1,3,7.8539816339744828e+00,7.8539267233630019e+00,-5.4910611480885052e-05,3.1414194097883561e+00,True,1.1102230246251559e-15,2.2204460492503131e-15,1.0982122290594779e-04,1.5707414161834159e+00,(5.491061145297292e-05+0.9999999984924135j),(5.491061145297292e-05-0.9999999984924135j)
D2,1,4,1.0995574287564276e+01,1.0995563923014828e+01,-1.0364549448027560e-05,3.1416371996518260e+00,True,1.2212453270876730e-15,1.7763568394002505e-15,-2.0729098895232861e-05,1.5708066913443444e+00,(-1.0364549447616404e-05+0.9999999999462869j),(-1.0364549447616404e-05-0.9999999999462869j)
