gate,policy,window,required,core_exclusion,D_sep,eps,a,R,R_scan_min,R_scan_max,max_lobe_distance,max_x_used,domain_safe,c0,c1,rel_C0_sup,rel_C1_sup,rel_C2_sup,rel_C012_max,rel_C012_rms,min_candidate_Omega,max_candidate_Omega,min_target_Omega,max_target_Omega,pass_C0,pass_C1,pass_C2,pass_positive,window_pass
D3,domain_safe,full_axial,True,0.0,10.0,0.2,1.0,18.60335195530726,10.0,30.0,10.0,0.5375375375375376,True,85.69783795655619,-89.14939893160418,0.3299171869876872,0.870656122415794,1.001809537624721,1.001809537624721,0.14102788072882558,0.8210287886225132,4.0937857601945495,1.3996803834887157,6.099980005998001,False,False,False,True,False
D3,domain_safe,core_excluded_2p5eps,True,0.5,10.0,0.2,1.0,9.5,9.5,30.0,9.5,1.0,True,34.209834418148986,-39.66527497977716,0.09303930411793862,0.7475804885033633,0.9748112409937157,0.9748112409937157,0.12667585577620305,1.1787834846410377,2.7129804709732532,1.3996803834887157,2.962193220400925,False,False,False,True,False
D3,domain_safe,shoulder_excluded_5eps,True,1.0,10.0,0.2,1.0,9.0,9.0,30.0,9.0,1.0,True,27.194787459853554,-31.692757742246414,0.0604723978375798,0.43274591064664847,0.8798956871054806,0.8798956871054806,0.12462626042027031,1.296131286262252,2.142767919232032,1.3996803834887157,2.0916643621166546,False,False,False,True,False
D3,domain_safe,central_barrier_only_10eps,False,2.0,10.0,0.2,1.0,8.0,8.0,30.0,8.0,1.0,True,24.6793699690025,-29.847571226356003,0.005180460020711656,0.047183279892660225,0.2795242912561587,0.2795242912561587,0.04512154666114827,1.4080855739366065,1.6218371858712466,1.3996803834887157,1.62247955090601,True,True,False,True,False
D3,analytic_extension,full_axial,True,0.0,10.0,0.2,1.0,0.2670391061452514,0.1,30.0,10.0,37.44769874476987,False,1.4410325494850227,9.213431794765349,0.027915759288744173,0.12477935239767864,0.212569546994096,0.212569546994096,0.02323601636647031,1.490856176294868,6.0722613828535605,1.3996803834887157,6.099980005998001,True,False,False,True,False
D3,analytic_extension,core_excluded_2p5eps,True,0.5,10.0,0.2,1.0,0.2670391061452514,0.1,30.0,9.5,35.57531380753138,False,1.4600293716886046,8.40332585094145,0.07822571072588154,0.05876992614806835,0.1489792782073488,0.1489792782073488,0.031086826372102676,1.5054721752481544,2.7356992018893136,1.3996803834887157,2.962193220400925,False,True,True,True,False
D3,analytic_extension,shoulder_excluded_5eps,True,1.0,10.0,0.2,1.0,0.4340782122905028,0.1,30.0,9.0,20.733590733590734,False,1.3600388845312439,5.789927486714113,0.02961851686781023,0.050532431043330765,0.0806051238918185,0.0806051238918185,0.02491562874592116,1.4399143005589072,2.030447651728295,1.3996803834887157,2.0916643621166546,True,True,True,True,True
D3,analytic_extension,central_barrier_only_10eps,False,2.0,10.0,0.2,1.0,0.7681564245810055,0.1,30.0,8.0,10.414545454545456,False,1.2726930936634684,3.3195721214503826,0.004553104687649229,0.031575959516648426,0.050523375880851866,0.050523375880851866,0.018920604694057486,1.405912766482638,1.6151019518761984,1.3996803834887157,1.62247955090601,True,True,True,True,True
